"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/fs_unix_time.csv --fs --unix --time 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"filesystem",,"unix sockets",,,,"system"
"files","inodes","dgm","str","lis","act","time"
13792,181456,56,981,55,926,23-03 14:04:41
13952,181616,56,981,55,926,23-03 14:04:42
13984,181613,56,981,55,926,23-03 14:04:43
14016,181613,56,981,55,926,23-03 14:04:44
13984,181613,56,981,55,926,23-03 14:04:45
13984,181624,56,981,55,926,23-03 14:04:46
13952,181577,56,981,55,926,23-03 14:04:47
13984,181623,56,981,55,926,23-03 14:04:48
13952,181643,56,981,55,926,23-03 14:04:49
13984,181644,56,981,55,926,23-03 14:04:50
13952,180536,56,981,55,926,23-03 14:04:51
13952,180535,56,981,55,926,23-03 14:04:52
13952,180533,56,981,55,926,23-03 14:04:53
13920,180544,56,981,55,926,23-03 14:04:54
13920,180547,56,981,55,926,23-03 14:04:55
13952,180556,56,981,55,926,23-03 14:04:56
14016,180556,56,981,55,926,23-03 14:04:57
14016,180557,56,981,55,926,23-03 14:04:58
14016,180559,56,981,55,926,23-03 14:04:59
14016,180560,56,981,55,926,23-03 14:05:00
13952,181630,56,981,55,926,23-03 14:05:01
13984,181631,56,981,55,926,23-03 14:05:02
14016,181686,56,981,55,926,23-03 14:05:03
14048,181640,56,981,55,926,23-03 14:05:04
14048,181641,56,981,55,926,23-03 14:05:05
14016,181639,56,981,55,926,23-03 14:05:06
14016,181639,56,981,55,926,23-03 14:05:07
14016,181639,56,981,55,926,23-03 14:05:08
14016,181650,56,981,55,926,23-03 14:05:09
14016,181661,56,981,55,926,23-03 14:05:10
14016,181665,56,983,55,928,23-03 14:05:11
14016,181663,56,983,55,928,23-03 14:05:12
13984,181663,56,983,55,928,23-03 14:05:13
13984,181608,56,984,55,929,23-03 14:05:14
13984,181610,56,983,55,928,23-03 14:05:15
13984,181618,56,983,55,928,23-03 14:05:16
13984,181628,56,984,55,929,23-03 14:05:17
14048,181628,56,983,55,928,23-03 14:05:18
14016,181629,56,983,55,928,23-03 14:05:19
14016,181630,56,983,55,928,23-03 14:05:20
13984,181630,56,983,55,928,23-03 14:05:21
14016,181628,56,983,55,928,23-03 14:05:22
14048,181630,56,983,55,928,23-03 14:05:23
14048,181660,56,983,55,928,23-03 14:05:24
14016,181661,56,983,55,928,23-03 14:05:25
13984,181661,56,983,55,928,23-03 14:05:26
14048,181659,56,983,55,928,23-03 14:05:27
14048,181664,56,985,55,930,23-03 14:05:28
14048,181884,56,983,55,928,23-03 14:05:29
14048,180774,56,983,55,928,23-03 14:05:30
14048,180791,56,981,55,926,23-03 14:05:31
14080,180783,56,981,55,926,23-03 14:05:32
14048,180777,56,981,55,926,23-03 14:05:33
13984,180778,56,981,55,926,23-03 14:05:34
13984,180779,56,981,55,926,23-03 14:05:35
13984,180778,56,981,55,926,23-03 14:05:36
14016,180778,56,981,55,926,23-03 14:05:37
14016,180788,56,981,55,926,23-03 14:05:38
13984,181858,56,981,55,926,23-03 14:05:39
14016,181858,56,981,55,926,23-03 14:05:40
13984,181858,56,981,55,926,23-03 14:05:41
13984,181864,56,981,55,926,23-03 14:05:42
13952,181858,56,981,55,926,23-03 14:05:43
13984,182326,56,981,55,926,23-03 14:05:44
14016,182335,56,981,55,926,23-03 14:05:45
14016,182344,56,981,55,926,23-03 14:05:46
13984,182345,56,981,55,926,23-03 14:05:47
14016,182271,56,981,55,926,23-03 14:05:48
14016,182335,56,985,55,930,23-03 14:05:49
14048,182332,56,985,55,930,23-03 14:05:50
14016,182316,56,985,55,930,23-03 14:05:51
14016,182325,56,985,55,930,23-03 14:05:52
14016,182326,56,985,55,930,23-03 14:05:53
14080,182327,56,985,55,930,23-03 14:05:54
14112,182330,56,985,55,930,23-03 14:05:55
14080,182480,56,999,55,944,23-03 14:05:56
14048,182484,56,999,55,944,23-03 14:05:57
14048,182487,56,999,55,944,23-03 14:05:58
14080,182508,56,999,55,944,23-03 14:05:59
14080,182507,56,999,55,944,23-03 14:06:00
14048,182506,56,999,55,944,23-03 14:06:01
14080,182518,56,999,55,944,23-03 14:06:02
14112,182515,56,999,55,944,23-03 14:06:03
14112,182520,56,999,55,944,23-03 14:06:04
14144,182520,56,999,55,944,23-03 14:06:05
14144,181420,56,999,55,944,23-03 14:06:06
14112,181420,56,999,55,944,23-03 14:06:07
14144,181418,56,999,55,944,23-03 14:06:08
14112,181380,56,999,55,944,23-03 14:06:09
14112,181426,56,999,55,944,23-03 14:06:10
14080,181425,56,999,55,944,23-03 14:06:11
14080,181426,56,999,55,944,23-03 14:06:12
14112,181441,56,999,55,944,23-03 14:06:13
14080,181436,56,999,55,944,23-03 14:06:14
14048,181366,56,993,55,938,23-03 14:06:15
14016,181366,56,993,55,938,23-03 14:06:16
14016,182438,56,993,55,938,23-03 14:06:17
14016,182437,56,993,55,938,23-03 14:06:18
14048,182380,56,989,55,934,23-03 14:06:19
14048,182390,56,989,55,934,23-03 14:06:20
14048,182389,56,989,55,934,23-03 14:06:21
14048,182389,56,989,55,934,23-03 14:06:22
14080,182390,56,989,55,934,23-03 14:06:23
14080,182340,56,989,55,934,23-03 14:06:24
14080,182337,56,989,55,934,23-03 14:06:25
14080,182337,56,989,55,934,23-03 14:06:26
14048,182347,56,989,55,934,23-03 14:06:27
14048,182346,56,989,55,934,23-03 14:06:28
14016,182348,56,989,55,934,23-03 14:06:29
14016,182260,56,981,55,926,23-03 14:06:30
14016,182260,56,981,55,926,23-03 14:06:31
13984,182224,56,981,55,926,23-03 14:06:32
14048,182270,56,981,55,926,23-03 14:06:33
14048,182291,56,981,55,926,23-03 14:06:34
13984,182291,56,981,55,926,23-03 14:06:35
13984,182290,56,981,55,926,23-03 14:06:36
13984,182290,56,981,55,926,23-03 14:06:37
14016,182291,56,981,55,926,23-03 14:06:38
13984,182302,56,981,55,926,23-03 14:06:39
14016,182302,56,981,55,926,23-03 14:06:40
14016,182311,56,981,55,926,23-03 14:06:41
13984,182310,56,981,55,926,23-03 14:06:42
13984,182310,56,981,55,926,23-03 14:06:43
13984,181201,56,981,55,926,23-03 14:06:44
13984,181200,56,981,55,926,23-03 14:06:45
13984,181201,56,981,55,926,23-03 14:06:46
13952,181210,56,981,55,926,23-03 14:06:47
14016,181220,56,981,55,926,23-03 14:06:48
14048,181221,56,981,55,926,23-03 14:06:49
13984,181219,56,981,55,926,23-03 14:06:50
13984,181220,56,981,55,926,23-03 14:06:51
13984,181220,56,981,55,926,23-03 14:06:52
14016,181219,56,981,55,926,23-03 14:06:53
15040,182285,56,981,55,926,23-03 14:06:54
14016,182346,56,981,55,926,23-03 14:06:55
14016,182301,56,981,55,926,23-03 14:06:56
13984,182302,56,981,55,926,23-03 14:06:57
13952,182242,56,981,55,926,23-03 14:06:58
13952,182242,56,981,55,926,23-03 14:06:59
13952,182241,56,981,55,926,23-03 14:07:00
13952,182241,56,981,55,926,23-03 14:07:01
14016,182263,56,981,55,926,23-03 14:07:02
13984,182308,56,981,55,926,23-03 14:07:03
13984,182261,56,981,55,926,23-03 14:07:04
13984,182262,56,981,55,926,23-03 14:07:05
13984,182251,56,981,55,926,23-03 14:07:06
14048,182252,56,981,55,926,23-03 14:07:07
14016,182252,56,981,55,926,23-03 14:07:08
14016,182282,56,981,55,926,23-03 14:07:09
14048,182281,56,981,55,926,23-03 14:07:10
14016,182281,56,981,55,926,23-03 14:07:11
13984,182281,56,981,55,926,23-03 14:07:12
14048,182288,56,981,55,926,23-03 14:07:13
14048,182282,56,981,55,926,23-03 14:07:14
14016,182281,56,981,55,926,23-03 14:07:15
14016,182290,56,981,55,926,23-03 14:07:16
14016,182301,56,982,55,927,23-03 14:07:17
14048,182301,56,981,55,926,23-03 14:07:18
14016,182300,56,981,55,926,23-03 14:07:19
14016,182301,56,981,55,926,23-03 14:07:20
13984,182301,56,981,55,926,23-03 14:07:21
14016,182301,56,981,55,926,23-03 14:07:22
14016,182312,56,981,55,926,23-03 14:07:23
13984,181209,56,981,55,926,23-03 14:07:24
13984,181210,56,981,55,926,23-03 14:07:25
14016,181210,56,981,55,926,23-03 14:07:26
13984,181209,56,981,55,926,23-03 14:07:27
14016,181210,56,981,55,926,23-03 14:07:28
14048,181209,56,981,55,926,23-03 14:07:29
14016,181219,56,981,55,926,23-03 14:07:30
14016,181222,56,981,55,926,23-03 14:07:31
14048,182292,56,981,55,926,23-03 14:07:32
14048,182205,56,981,55,926,23-03 14:07:33
14016,182203,56,981,55,926,23-03 14:07:34
