"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/int.csv --time --int 1 600",,,,"Date:","22 Mar 2023 22:03:09 -03"
"system","interrupts",,
"time","138","139","140"
22-03 22:03:09,0.000,43.219,0.023
22-03 22:03:10,0,27,0
22-03 22:03:11,0,24,0
22-03 22:03:12,0,18,0
22-03 22:03:13,0,64,0
22-03 22:03:14,0,46,0
22-03 22:03:15,0,16,0
22-03 22:03:16,0,18,0
22-03 22:03:17,0,20,0
22-03 22:03:18,0,17,0
22-03 22:03:19,0,61,0
22-03 22:03:20,0,19,0
22-03 22:03:21,0,25,0
22-03 22:03:22,0,27,0
22-03 22:03:23,0,23,0
22-03 22:03:24,0,20,0
22-03 22:03:25,0,55,0
22-03 22:03:26,0,18,0
22-03 22:03:27,0,17,0
22-03 22:03:28,0,18,0
22-03 22:03:29,0,16,0
22-03 22:03:30,0,21,0
22-03 22:03:31,0,53,0
22-03 22:03:32,0,15,0
22-03 22:03:33,0,15,0
22-03 22:03:34,0,15,0
22-03 22:03:35,0,24,0
22-03 22:03:36,0,40,0
22-03 22:03:37,0,39,0
22-03 22:03:38,0,15,0
22-03 22:03:39,0,15,0
22-03 22:03:40,0,17,0
22-03 22:03:41,0,14,0
22-03 22:03:42,0,20,0
22-03 22:03:43,0,31,0
22-03 22:03:44,0,16,0
22-03 22:03:45,0,18,0
22-03 22:03:46,0,30,0
22-03 22:03:47,0,30,0
22-03 22:03:48,0,15,0
22-03 22:03:49,0,44,0
22-03 22:03:50,0,19,0
22-03 22:03:51,0,14,0
22-03 22:03:52,0,19,0
22-03 22:03:53,0,14,0
22-03 22:03:54,0,15,0
22-03 22:03:55,0,45,0
22-03 22:03:56,0,15,0
22-03 22:03:57,0,27,0
22-03 22:03:58,0,26,0
22-03 22:03:59,0,15,0
22-03 22:04:00,0,15,0
22-03 22:04:01,0,53,0
22-03 22:04:02,0,16,0
22-03 22:04:03,0,16,0
22-03 22:04:04,0,16,0
22-03 22:04:05,0,17,0
22-03 22:04:06,0,14,0
22-03 22:04:07,0,44,0
22-03 22:04:08,0,35,0
22-03 22:04:09,0,21,0
22-03 22:04:10,0,20,0
22-03 22:04:11,0,20,0
22-03 22:04:12,0,15,0
22-03 22:04:13,0,47,0
22-03 22:04:14,0,16,0
22-03 22:04:15,0,14,0
22-03 22:04:16,0,16,0
22-03 22:04:17,0,15,0
22-03 22:04:18,0,17,0
22-03 22:04:19,0,74,0
22-03 22:04:20,0,15,0
22-03 22:04:21,0,15,0
22-03 22:04:22,0,17,0
22-03 22:04:23,0,15,0
22-03 22:04:24,0,18,0
22-03 22:04:25,0,74,0
22-03 22:04:26,0,26,0
22-03 22:04:27,0,15,0
22-03 22:04:28,0,15,0
22-03 22:04:29,0,23,0
22-03 22:04:30,0,39,0
22-03 22:04:31,0,40,0
22-03 22:04:32,0,15,0
22-03 22:04:33,0,15,0
22-03 22:04:34,0,17,0
22-03 22:04:35,0,16,0
22-03 22:04:36,0,15,0
22-03 22:04:37,0,59,0
22-03 22:04:38,0,15,0
22-03 22:04:39,0,17,0
22-03 22:04:40,0,19,0
22-03 22:04:41,0,37,0
22-03 22:04:42,0,16,0
22-03 22:04:43,0,58,0
22-03 22:04:44,0,16,0
22-03 22:04:45,0,16,0
22-03 22:04:46,0,18,0
22-03 22:04:47,0,18,0
22-03 22:04:48,0,14,0
22-03 22:04:49,0,42,0
22-03 22:04:50,0,35,0
22-03 22:04:51,0,27,0
22-03 22:04:52,0,36,0
22-03 22:04:53,0,17,0
22-03 22:04:54,0,14,0
22-03 22:04:55,0,33,0
22-03 22:04:56,0,16,0
22-03 22:04:57,0,17,0
22-03 22:04:58,0,19,0
22-03 22:04:59,0,16,0
22-03 22:05:00,0,15,0
22-03 22:05:01,0,59,0
22-03 22:05:02,0,21,0
22-03 22:05:03,0,29,0
22-03 22:05:04,0,16,0
22-03 22:05:05,0,16,0
22-03 22:05:06,0,18,0
22-03 22:05:07,0,56,0
22-03 22:05:08,0,15,0
22-03 22:05:09,0,12,0
22-03 22:05:10,0,18,0
22-03 22:05:11,0,19,0
22-03 22:05:12,0,18,0
22-03 22:05:13,0,85,0
22-03 22:05:14,0,28,0
22-03 22:05:15,0,16,0
22-03 22:05:16,0,23,0
22-03 22:05:17,0,16,0
22-03 22:05:18,0,16,0
22-03 22:05:19,0,39,0
22-03 22:05:20,0,17,0
22-03 22:05:21,0,16,0
22-03 22:05:22,0,18,0
22-03 22:05:23,0,17,0
22-03 22:05:24,0,23,0
22-03 22:05:25,0,72,0
22-03 22:05:26,0,36,0
22-03 22:05:27,0,22,0
22-03 22:05:28,0,15,0
22-03 22:05:29,0,15,0
22-03 22:05:30,0,20,0
22-03 22:05:31,0,39,0
22-03 22:05:32,0,16,0
22-03 22:05:33,0,16,0
22-03 22:05:34,0,19,0
22-03 22:05:35,0,26,0
22-03 22:05:36,0,19,0
22-03 22:05:37,0,54,0
22-03 22:05:38,0,19,0
22-03 22:05:39,0,15,0
22-03 22:05:40,0,15,0
22-03 22:05:41,0,22,0
22-03 22:05:42,0,18,0
22-03 22:05:43,0,44,0
22-03 22:05:44,0,19,0
22-03 22:05:45,0,15,0
22-03 22:05:46,0,21,0
22-03 22:05:47,0,23,0
22-03 22:05:48,0,33,0
22-03 22:05:49,0,53,0
22-03 22:05:50,0,17,0
22-03 22:05:51,0,21,0
22-03 22:05:52,0,15,0
22-03 22:05:53,0,14,0
22-03 22:05:54,0,17,0
22-03 22:05:55,0,48,0
22-03 22:05:56,0,39,0
22-03 22:05:57,0,16,0
22-03 22:05:58,0,22,0
22-03 22:05:59,0,37,0
22-03 22:06:00,0,16,0
22-03 22:06:01,0,53,0
22-03 22:06:02,0,15,0
22-03 22:06:03,0,16,0
22-03 22:06:04,0,17,0
22-03 22:06:05,0,17,0
22-03 22:06:06,0,20,0
22-03 22:06:07,0,59,0
22-03 22:06:08,0,18,0
22-03 22:06:09,0,28,0
22-03 22:06:10,0,31,0
22-03 22:06:11,0,17,0
22-03 22:06:12,0,15,0
22-03 22:06:13,0,59,0
22-03 22:06:14,0,15,0
22-03 22:06:15,0,20,0
22-03 22:06:16,0,16,0
22-03 22:06:17,0,15,0
22-03 22:06:18,0,14,0
22-03 22:06:19,0,48,0
22-03 22:06:20,0,37,0
22-03 22:06:21,0,36,0
22-03 22:06:22,0,15,0
22-03 22:06:23,0,17,0
22-03 22:06:24,0,16,0
22-03 22:06:25,0,64,0
22-03 22:06:26,0,18,0
22-03 22:06:27,0,44,0
22-03 22:06:28,0,17,0
22-03 22:06:29,0,15,0
22-03 22:06:30,0,18,0
22-03 22:06:31,0,78,0
22-03 22:06:32,0,22,0
22-03 22:06:33,0,11,0
22-03 22:06:34,0,10,0
22-03 22:06:35,0,11,0
22-03 22:06:36,0,9,0
22-03 22:06:37,0,57,0
22-03 22:06:38,0,19,0
22-03 22:06:39,0,20,0
22-03 22:06:40,0,15,0
