"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/int_raw_aio_net_cpu.csv --int --raw --aio --net --cpu 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"interrupts",,,"raw","async","net/total",,"total cpu usage",,,,
"138","139","140","raw","#aio","recv","send","usr","sys","idl","wai","stl"
0.000,44.063,0.018,0,0,0,0,4.312,1.589,94.001,0.097,0
0,129,0,0,0,17040,12765,11.083,4.234,84.558,0.125,0
0,127,0,0,0,8597,9427,7.838,3.034,89.001,0.126,0
0,153,0,0,0,6432,7990,12.673,3.011,84.191,0.125,0
0,118,0,0,0,5750,6992,7.828,2.273,89.899,0,0
0,116,0,0,0,5880,6850,9.193,2.857,87.826,0.124,0
0,117,0,0,0,5860,7181,8.449,2.648,88.903,0,0
0,112,0,0,0,5750,6713,8.614,3.620,87.516,0.250,0
0,124,0,0,0,6367,7658,8.772,3.383,87.594,0.251,0
0,147,0,0,0,5750,7468,8.955,3.358,87.562,0.124,0
0,155,0,0,0,13400,102783,8.417,4.146,87.312,0.126,0
0,171,0,0,0,55033,17842,9.387,3.254,87.359,0,0
0,120,0,0,0,5917,7037,7.799,2.767,89.308,0.126,0
0,118,0,0,0,6029,7332,9.476,3.117,87.282,0.125,0
0,118,0,0,0,5860,7402,9.102,3.242,87.656,0,0
0,161,0,0,0,5750,7110,8.260,3.129,88.486,0.125,0
0,118,0,0,0,5860,7303,8.668,2.889,88.442,0,0
0,122,0,0,0,6456,7037,8.955,3.358,87.438,0.249,0
0,123,0,0,0,7048,11056,8.375,3.625,87.875,0.125,0
0,155,0,0,0,14495,14302,9.080,2.861,87.935,0.124,0
0,112,0,0,0,5750,7129,9.926,4.218,85.732,0.124,0
0,178,0,0,0,21527,11866,10.247,4.074,85.556,0.123,0
0,117,0,0,0,7264,7928,9.159,3.011,87.829,0,0
0,121,0,0,0,6029,7474,8.593,2.740,88.543,0.125,0
0,119,0,0,0,6034,6770,9.181,2.730,88.089,0,0
0,122,0,0,0,6404,7345,9.080,2.861,87.935,0.124,0
0,114,0,0,0,6132,7353,9.046,3.346,87.485,0.124,0
0,158,0,0,0,5860,7044,9.011,2.503,88.486,0,0
0,116,0,0,0,5750,6850,9.840,2.337,87.700,0.123,0
