"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/io.csv --time --io 1 600",,,,"Date:","23 Mar 2023 13:54:36 -03"
"system","io/total",
"time","read","writ"
23-03 13:54:36,5.501,48.375
23-03 13:54:37,0,0
23-03 13:54:38,0,0
23-03 13:54:39,0,0
23-03 13:54:40,0,294
23-03 13:54:41,0,52
23-03 13:54:42,0,0
23-03 13:54:43,0,0
23-03 13:54:44,0,0
23-03 13:54:45,0,48
23-03 13:54:46,0,30
23-03 13:54:47,0,0
23-03 13:54:48,0,0
23-03 13:54:49,0,0
23-03 13:54:50,0,500
23-03 13:54:51,0,42
23-03 13:54:52,0,0
23-03 13:54:53,0,0
23-03 13:54:54,0,0
23-03 13:54:55,0,48
23-03 13:54:56,0,22
23-03 13:54:57,0,0
23-03 13:54:58,0,0
23-03 13:54:59,0,0
23-03 13:55:00,0,388
23-03 13:55:01,0,16
23-03 13:55:02,0,0
23-03 13:55:03,0,0
23-03 13:55:04,0,48
23-03 13:55:05,0,108
23-03 13:55:06,0,0
23-03 13:55:07,0,0
23-03 13:55:08,0,0
23-03 13:55:09,0,34
23-03 13:55:10,0,164
23-03 13:55:11,0,0
23-03 13:55:12,0,0
23-03 13:55:13,0,0
23-03 13:55:14,0,40
23-03 13:55:15,0,296
23-03 13:55:16,0,222
23-03 13:55:17,0,0
23-03 13:55:18,0,0
23-03 13:55:19,0,10
23-03 13:55:20,0,0
23-03 13:55:21,0,42
23-03 13:55:22,0,0
23-03 13:55:23,0,0
23-03 13:55:24,0,132
23-03 13:55:25,0,0
23-03 13:55:26,0,36
23-03 13:55:27,0,0
23-03 13:55:28,0,0
23-03 13:55:29,0,40
23-03 13:55:30,0,44
23-03 13:55:31,0,1496
23-03 13:55:32,0,0
23-03 13:55:33,0,0
23-03 13:55:34,0,0
23-03 13:55:35,0,0
23-03 13:55:36,0,700
23-03 13:55:37,0,0
23-03 13:55:38,0,0
23-03 13:55:39,0,40
23-03 13:55:40,0,0
23-03 13:55:41,0,56
23-03 13:55:42,0,50
23-03 13:55:43,0,0
23-03 13:55:44,0,0
23-03 13:55:45,0,0
23-03 13:55:46,0,22
23-03 13:55:47,0,40
23-03 13:55:48,0,0
23-03 13:55:49,0,0
23-03 13:55:50,0,66
23-03 13:55:51,0,360
23-03 13:55:52,0,0
23-03 13:55:53,0,0
23-03 13:55:54,0,0
23-03 13:55:55,0,0
23-03 13:55:56,6,172
23-03 13:55:57,0,0
23-03 13:55:58,0,0
23-03 13:55:59,0,32
23-03 13:56:00,0,0
23-03 13:56:01,0,28
23-03 13:56:02,0,0
23-03 13:56:03,0,0
23-03 13:56:04,0,20
23-03 13:56:05,0,0
23-03 13:56:06,0,26
23-03 13:56:07,0,1742
23-03 13:56:08,0,0
23-03 13:56:09,0,0
23-03 13:56:10,0,0
23-03 13:56:11,0,20
23-03 13:56:12,0,536
23-03 13:56:13,0,0
23-03 13:56:14,0,0
23-03 13:56:15,0,0
23-03 13:56:16,0,46
23-03 13:56:17,0,24
23-03 13:56:18,0,0
23-03 13:56:19,0,62
23-03 13:56:20,4,0
23-03 13:56:21,0,0
23-03 13:56:22,0,38
23-03 13:56:23,0,0
23-03 13:56:24,0,20
23-03 13:56:25,0,32
23-03 13:56:26,0,108
23-03 13:56:27,0,318
23-03 13:56:28,0,0
23-03 13:56:29,0,0
23-03 13:56:30,0,44
23-03 13:56:31,0,0
23-03 13:56:32,0,134
23-03 13:56:33,0,0
23-03 13:56:34,0,0
23-03 13:56:35,0,12
23-03 13:56:36,0,0
23-03 13:56:37,0,136
23-03 13:56:38,0,0
23-03 13:56:39,0,0
23-03 13:56:40,0,4
23-03 13:56:41,0,40
23-03 13:56:42,0,58
23-03 13:56:43,0,0
23-03 13:56:44,0,14
23-03 13:56:45,0,0
23-03 13:56:46,0,0
23-03 13:56:47,0,0
23-03 13:56:48,0,1968
23-03 13:56:49,0,34
23-03 13:56:50,0,52
23-03 13:56:51,0,0
23-03 13:56:52,0,0
23-03 13:56:53,0,14
23-03 13:56:54,0,0
23-03 13:56:55,0,28
23-03 13:56:56,0,46
23-03 13:56:57,0,0
23-03 13:56:58,0,36
23-03 13:56:59,0,0
23-03 13:57:00,0,4
23-03 13:57:01,0,22
23-03 13:57:02,0,314
23-03 13:57:03,0,42
23-03 13:57:04,0,0
23-03 13:57:05,0,0
23-03 13:57:06,0,58
23-03 13:57:07,0,0
23-03 13:57:08,0,38
23-03 13:57:09,2,20
23-03 13:57:10,0,0
23-03 13:57:11,0,0
23-03 13:57:12,0,0
23-03 13:57:13,0,166
23-03 13:57:14,0,12
23-03 13:57:15,0,0
23-03 13:57:16,0,0
23-03 13:57:17,0,0
23-03 13:57:18,0,70
23-03 13:57:19,0,40
23-03 13:57:20,0,24
23-03 13:57:21,0,0
23-03 13:57:22,0,0
23-03 13:57:23,0,2310
23-03 13:57:24,0,0
23-03 13:57:25,0,20
23-03 13:57:26,0,40
23-03 13:57:27,0,0
23-03 13:57:28,0,0
23-03 13:57:29,0,72
23-03 13:57:30,0,42
23-03 13:57:31,0,0
23-03 13:57:32,0,0
23-03 13:57:33,0,38
23-03 13:57:34,0,96
23-03 13:57:35,0,0
23-03 13:57:36,0,0
23-03 13:57:37,0,0
23-03 13:57:38,0,0
23-03 13:57:39,0,60
23-03 13:57:40,0,0
23-03 13:57:41,0,0
23-03 13:57:42,0,0
23-03 13:57:43,0,0
23-03 13:57:44,0,318
23-03 13:57:45,0,18
23-03 13:57:46,0,0
23-03 13:57:47,0,0
23-03 13:57:48,0,0
23-03 13:57:49,0,130
23-03 13:57:50,0,42
23-03 13:57:51,0,0
23-03 13:57:52,0,0
23-03 13:57:53,0,0
23-03 13:57:54,0,32
23-03 13:57:55,0,40
23-03 13:57:56,0,54
23-03 13:57:57,0,70
23-03 13:57:58,2,8
23-03 13:57:59,0,2108
23-03 13:58:00,0,22
23-03 13:58:01,0,20
23-03 13:58:02,0,0
23-03 13:58:03,0,8
23-03 13:58:04,0,120
23-03 13:58:05,0,0
23-03 13:58:06,0,0
23-03 13:58:07,0,0
23-03 13:58:08,0,0
23-03 13:58:09,0,92
23-03 13:58:10,0,0
23-03 13:58:11,0,0
23-03 13:58:12,0,0
23-03 13:58:13,0,0
23-03 13:58:14,0,26
23-03 13:58:15,0,26
23-03 13:58:16,0,0
23-03 13:58:17,0,0
23-03 13:58:18,0,0
23-03 13:58:19,0,26
23-03 13:58:20,0,358
23-03 13:58:21,0,0
23-03 13:58:22,0,0
23-03 13:58:23,0,0
23-03 13:58:24,0,0
23-03 13:58:25,0,138
23-03 13:58:26,0,0
23-03 13:58:27,0,0
23-03 13:58:28,0,0
23-03 13:58:29,0,0
23-03 13:58:30,0,426
23-03 13:58:31,0,8
23-03 13:58:32,0,0
23-03 13:58:33,0,12
23-03 13:58:34,0,0
23-03 13:58:35,0,424
23-03 13:58:36,0,0
23-03 13:58:37,0,0
23-03 13:58:38,0,14
23-03 13:58:39,0,38
23-03 13:58:40,0,2066
23-03 13:58:41,0,0
