"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/io_zones_net_ipc.csv --io --zones --net --ipc 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"io/total",,"zones memory",,,,"net/total",,"sysv ipc",,
"read","writ","d32F","d32H","normF","normH","recv","send","msg","sem","shm"
5.210,36.480,315892,3141,207125,22176,0,0,0,0,6
0,0,315892,3141,203495,22176,345,172,0,0,6
0,18,315892,3141,203372,22176,78,464,0,0,6
0,0,315892,3141,203060,22176,0,0,0,0,6
0,0,315892,3141,203000,22176,434,1224,0,0,6
0,0,315892,3141,203000,22176,16963,4790,0,0,6
0,0,315892,3141,202944,22176,167,1107,0,0,6
0,22,315892,3141,203197,22176,0,1278,0,0,6
0,0,315892,3141,198790,22176,0,920,0,0,6
0,0,315892,3141,198538,22176,0,920,0,0,6
0,514,315892,3141,199730,22176,0,0,0,0,6
0,0,315892,3141,199740,22176,201,0,0,0,6
0,0,315892,3141,199684,22176,0,358,0,0,6
0,20,315892,3141,199576,22176,167,187,0,0,6
0,0,315892,3141,199527,22176,0,0,0,0,6
0,0,315892,3141,199780,22176,298,1707,0,0,6
0,0,315892,3141,196192,22176,16923,4233,0,0,6
0,0,315892,3141,196255,22176,167,259,0,0,6
0,0,315892,3141,196201,22176,229,545,0,0,6
0,16,315892,3141,196204,22176,548,537,0,0,6
0,0,315892,3141,196141,22176,0,0,0,0,6
0,0,315892,3141,196141,22176,0,0,0,0,6
0,0,315892,3141,196085,22176,424,0,0,0,6
0,34,315892,3141,192371,22176,0,358,0,0,6
0,0,315892,3141,192326,22176,1249,3192,0,0,6
0,588,315892,3141,192353,22176,30242,2814,0,0,6
0,0,315892,3141,192353,22176,298,1707,0,0,6
0,0,315892,3141,192353,22176,16923,4193,0,0,6
0,0,315892,3141,191981,22176,0,358,0,0,6
0,16,315892,3141,191981,22176,167,187,0,0,6
0,0,315892,3141,191800,22176,0,0,0,0,6
0,0,315892,3141,190794,22176,0,0,0,0,6
0,0,315892,3141,190798,22176,407,187,0,0,6
0,0,315892,3141,190609,22176,167,545,0,0,6
0,28,315892,3141,190237,22176,0,0,0,0,6
0,0,315892,3141,190300,22176,0,0,0,0,6
0,0,315892,3141,190300,22176,0,0,0,0,6
0,0,315892,3141,190300,22176,1526,3258,0,0,6
0,0,315892,3141,193289,22176,11779,2182,0,0,6
0,0,315892,3141,193425,22176,698,358,0,0,6
0,30,315892,3141,193366,22176,7158,1318,0,0,6
0,0,315892,3141,193366,22176,0,0,0,0,6
0,0,315892,3141,193310,22176,86,106,0,0,6
0,0,315892,3141,193457,22176,0,0,0,0,6
0,0,315892,3141,193460,22176,167,187,0,0,6
0,24,315892,3141,193463,22176,0,0,0,0,6
8,632,315892,3141,189134,22176,0,0,0,0,6
0,0,315892,3141,189903,22176,1066,836,0,0,6
0,0,315892,3141,189792,22176,106,0,0,0,6
0,30,315892,3141,189357,22176,82,0,0,0,6
0,0,315892,3141,189234,22176,12623,4764,0,0,6
0,0,315892,3141,189234,22176,4598,1238,0,0,6
0,0,315892,3141,189108,22176,0,0,0,0,6
0,0,315892,3141,186336,22176,167,187,0,0,6
0,16,315892,3141,192024,22176,0,0,0,0,6
0,0,315892,3141,192024,22176,0,0,0,0,6
0,44,315892,3141,193876,22176,0,0,0,0,6
0,36,315892,3141,193814,22176,237,259,0,0,6
0,0,315892,3141,193691,22176,229,187,0,0,6
0,0,315892,3141,193628,22176,167,187,0,0,6
0,0,315892,3141,193453,22176,0,0,0,0,6
0,0,315892,3141,189863,22176,15817,5309,0,0,6
0,26,315892,3141,189488,22176,1404,631,0,0,6
0,0,315892,3141,189749,22176,0,0,0,0,6
0,0,315892,3141,189879,22176,0,358,0,0,6
0,0,315892,3141,189826,22176,0,0,0,0,6
0,0,315892,3141,189770,22176,56,74,0,0,6
0,0,315892,3141,189770,22176,0,0,0,0,6
0,16,315892,3141,198628,22176,167,187,0,0,6
0,0,315892,3141,197003,22176,0,0,0,0,6
0,0,315892,3141,196829,22176,0,358,0,0,6
0,0,315892,3141,198603,22176,0,0,0,0,6
0,0,315892,3141,198165,22176,13007,5100,0,0,6
0,40,315892,3141,197725,22176,5031,1631,0,0,6
0,0,315892,3141,197665,22176,0,0,0,0,6
0,16,315892,3141,197602,22176,0,358,0,0,6
0,0,315892,3141,190864,22176,0,0,0,0,6
0,4,315892,3141,189418,22176,334,446,0,0,6
0,40,315892,3141,190081,22176,229,187,0,0,6
0,0,315892,3141,189660,22176,0,0,0,0,6
0,0,315892,3141,189537,22176,0,358,0,0,6
0,0,315892,3141,189481,22176,0,0,0,0,6
2,636,315892,3141,189863,22176,240,0,0,0,6
0,0,315892,3141,191030,22176,1619,4490,0,0,6
0,30,315892,3141,190513,22176,15797,1410,0,0,6
0,0,315892,3141,190460,22176,1328,3550,0,0,6
0,0,315892,3141,190432,22176,30349,3014,0,0,6
0,0,315892,3141,190629,22176,128,106,0,0,6
0,44,315892,3141,191744,22176,82,0,0,0,6
0,28,315892,3141,194106,22176,213,187,0,0,6
0,0,315892,3141,195012,22176,167,187,0,0,6
0,0,315892,3141,191901,22176,0,358,0,0,6
0,0,315892,3141,191470,22176,124,106,0,0,6
0,32,315892,3141,190966,22176,167,187,0,0,6
0,0,315892,3141,190793,22176,1619,4490,0,0,6
0,16,315892,3141,191100,22176,15602,1324,0,0,6
0,0,315892,3141,191307,22176,0,358,0,0,6
0,0,315892,3141,191379,22176,866,446,0,0,6
0,26,315892,3141,192217,22176,0,0,0,0,6
0,0,315892,3141,190045,22176,0,0,0,0,6
0,0,315892,3141,189876,22176,13926,6872,0,0,6
0,14,315892,3141,191965,22176,163,619,0,0,6
0,0,315892,3141,191737,22176,0,0,0,0,6
0,64,315892,3141,191492,22176,0,0,0,0,6
0,0,315892,3141,191466,22176,0,0,0,0,6
0,0,315892,3141,193381,22176,1701,4552,0,0,6
0,0,315892,3141,188436,22176,15602,1768,0,0,6
0,18,315892,3141,188210,22176,0,0,0,0,6
0,46,315892,3141,188017,22176,0,0,0,0,6
2,0,315892,3141,188049,22176,0,0,0,0,6
0,0,315892,3141,188066,22176,0,0,0,0,6
0,56,315892,3141,188136,22176,0,0,0,0,6
0,0,315892,3141,194347,22176,0,358,0,0,6
