"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/load.csv --time --load 1 600",,,,"Date:","22 Mar 2023 22:03:08 -03"
"system","load avg",,
"time","1m","5m","15m"
22-03 22:03:08,41.850,10.510,4.240
22-03 22:03:09,41.850,10.510,4.240
22-03 22:03:10,47.470,12.190,4.820
22-03 22:03:11,47.470,12.190,4.820
22-03 22:03:12,47.470,12.190,4.820
22-03 22:03:13,47.470,12.190,4.820
22-03 22:03:14,47.470,12.190,4.820
22-03 22:03:15,51.190,13.550,5.300
22-03 22:03:16,51.190,13.550,5.300
22-03 22:03:17,51.190,13.550,5.300
22-03 22:03:18,51.190,13.550,5.300
22-03 22:03:19,51.190,13.550,5.300
22-03 22:03:20,47.090,13.320,5.270
22-03 22:03:21,47.090,13.320,5.270
22-03 22:03:22,47.090,13.320,5.270
22-03 22:03:23,47.090,13.320,5.270
22-03 22:03:24,47.090,13.320,5.270
22-03 22:03:25,43.400,13.120,5.250
22-03 22:03:26,43.400,13.120,5.250
22-03 22:03:27,43.400,13.120,5.250
22-03 22:03:28,43.400,13.120,5.250
22-03 22:03:29,43.400,13.120,5.250
22-03 22:03:30,39.930,12.900,5.220
22-03 22:03:31,39.930,12.900,5.220
22-03 22:03:32,39.930,12.900,5.220
22-03 22:03:33,39.930,12.900,5.220
22-03 22:03:34,39.930,12.900,5.220
22-03 22:03:35,36.810,12.700,5.200
22-03 22:03:36,36.810,12.700,5.200
22-03 22:03:37,36.810,12.700,5.200
22-03 22:03:38,36.810,12.700,5.200
22-03 22:03:39,36.810,12.700,5.200
22-03 22:03:40,33.940,12.510,5.170
22-03 22:03:41,33.940,12.510,5.170
22-03 22:03:42,33.940,12.510,5.170
22-03 22:03:43,33.940,12.510,5.170
22-03 22:03:44,33.940,12.510,5.170
22-03 22:03:45,31.300,12.320,5.150
22-03 22:03:46,31.300,12.320,5.150
22-03 22:03:47,31.300,12.320,5.150
22-03 22:03:48,31.300,12.320,5.150
22-03 22:03:49,31.300,12.320,5.150
22-03 22:03:50,29.120,12.180,5.150
22-03 22:03:51,29.120,12.180,5.150
22-03 22:03:52,29.120,12.180,5.150
22-03 22:03:53,29.120,12.180,5.150
22-03 22:03:54,29.120,12.180,5.150
22-03 22:03:55,26.860,11.990,5.120
22-03 22:03:56,26.860,11.990,5.120
22-03 22:03:57,26.860,11.990,5.120
22-03 22:03:58,26.860,11.990,5.120
22-03 22:03:59,26.860,11.990,5.120
22-03 22:04:00,24.710,11.790,5.100
22-03 22:04:01,24.710,11.790,5.100
22-03 22:04:02,24.710,11.790,5.100
22-03 22:04:03,24.710,11.790,5.100
22-03 22:04:04,24.710,11.790,5.100
22-03 22:04:05,22.730,11.600,5.070
22-03 22:04:06,22.730,11.600,5.070
22-03 22:04:07,22.730,11.600,5.070
22-03 22:04:08,22.730,11.600,5.070
22-03 22:04:09,22.730,11.600,5.070
22-03 22:04:10,20.910,11.410,5.040
22-03 22:04:11,20.910,11.410,5.040
22-03 22:04:12,20.910,11.410,5.040
22-03 22:04:13,20.910,11.410,5.040
22-03 22:04:14,20.910,11.410,5.040
22-03 22:04:15,19.240,11.220,5.010
22-03 22:04:16,19.240,11.220,5.010
22-03 22:04:17,19.240,11.220,5.010
22-03 22:04:18,19.240,11.220,5.010
22-03 22:04:19,19.240,11.220,5.010
22-03 22:04:20,17.700,11.030,4.990
22-03 22:04:21,17.700,11.030,4.990
22-03 22:04:22,17.700,11.030,4.990
22-03 22:04:23,17.700,11.030,4.990
22-03 22:04:24,17.700,11.030,4.990
22-03 22:04:25,16.280,10.850,4.960
22-03 22:04:26,16.280,10.850,4.960
22-03 22:04:27,16.280,10.850,4.960
22-03 22:04:28,16.280,10.850,4.960
22-03 22:04:29,16.280,10.850,4.960
22-03 22:04:30,14.980,10.670,4.930
22-03 22:04:31,14.980,10.670,4.930
22-03 22:04:32,14.980,10.670,4.930
22-03 22:04:33,14.980,10.670,4.930
22-03 22:04:34,14.980,10.670,4.930
22-03 22:04:35,13.860,10.510,4.910
22-03 22:04:36,13.860,10.510,4.910
22-03 22:04:37,13.860,10.510,4.910
22-03 22:04:38,13.860,10.510,4.910
22-03 22:04:39,13.860,10.510,4.910
22-03 22:04:40,12.750,10.330,4.880
22-03 22:04:41,12.750,10.330,4.880
22-03 22:04:42,12.750,10.330,4.880
22-03 22:04:43,12.750,10.330,4.880
