"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/load_lock_tcp.csv --load --lock --tcp 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"load avg",,,"file locks",,,,"tcp sockets",,,,
"1m","5m","15m","pos","lck","rea","wri","lis","act","syn","tim","clo"
0.470,2.120,2.910,56,12,10,58,7,15,0,7,0
0.470,2.120,2.910,56,12,10,58,7,14,0,7,0
0.470,2.120,2.910,56,12,10,58,7,14,0,7,0
0.430,2.080,2.890,56,12,10,58,7,14,0,7,0
0.430,2.080,2.890,56,12,10,58,7,14,0,7,0
0.430,2.080,2.890,56,12,10,58,7,14,0,7,0
0.430,2.080,2.890,56,12,10,58,7,14,0,7,0
0.430,2.080,2.890,56,12,10,58,7,14,0,7,0
0.470,2.060,2.880,56,12,10,58,7,14,0,7,0
0.470,2.060,2.880,56,12,10,58,7,14,0,6,0
0.470,2.060,2.880,56,12,10,58,7,14,0,6,0
0.470,2.060,2.880,56,12,10,58,7,14,0,6,0
0.470,2.060,2.880,56,12,10,58,7,14,0,6,0
0.440,2.030,2.870,56,12,10,58,7,14,0,6,0
0.440,2.030,2.870,56,12,10,58,7,14,0,6,0
0.440,2.030,2.870,56,12,10,58,7,13,1,6,1
0.440,2.030,2.870,56,12,10,58,7,14,0,7,0
0.440,2.030,2.870,56,12,10,58,7,14,0,7,0
0.400,1.990,2.850,56,12,10,58,7,14,0,7,0
0.400,1.990,2.850,56,12,10,58,7,12,0,7,1
0.400,1.990,2.850,56,12,10,58,7,12,0,7,1
0.400,1.990,2.850,56,12,10,58,7,12,0,6,1
0.400,1.990,2.850,56,12,10,58,7,12,0,6,1
0.370,1.960,2.840,57,12,10,59,7,12,0,6,1
0.370,1.960,2.840,56,12,10,58,7,12,0,6,1
0.370,1.960,2.840,56,12,10,58,7,12,0,6,1
0.370,1.960,2.840,56,12,10,58,7,11,1,6,2
0.370,1.960,2.840,56,12,10,58,7,12,0,7,1
0.340,1.930,2.820,56,12,10,58,7,12,0,7,1
0.340,1.930,2.820,56,12,10,58,7,12,0,7,1
0.340,1.930,2.820,56,12,10,58,7,12,0,7,1
0.340,1.930,2.820,56,12,10,58,7,12,0,7,1
0.340,1.930,2.820,56,12,10,58,7,12,0,6,1
0.390,1.910,2.810,56,12,10,58,7,12,0,6,1
0.390,1.910,2.810,56,12,10,58,7,12,0,6,1
0.390,1.910,2.810,56,12,10,58,7,12,0,6,1
0.390,1.910,2.810,56,12,10,58,7,12,0,6,1
0.390,1.910,2.810,56,12,10,58,7,11,1,6,2
0.520,1.910,2.810,56,12,10,58,7,10,0,7,2
