"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/load_vm-adv_net_socket_io_lock_mem.csv --load --vm-adv --net --socket --io --lock --mem 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"load avg",,,"advanced virtual memory",,,,,"net/total",,"sockets",,,,,"io/total",,"file locks",,,,"memory usage",,,
"1m","5m","15m","steal","scanK","scanD","pgoru","astll","recv","send","tot","tcp","udp","raw","frg","read","writ","pos","lck","rea","wri","used","free","buff","cach"
0.470,2.120,2.910,10.938,0,0,0.004,0,0,0,1080,21,20,0,0,5.210,36.480,56,12,10,58,3198066688,2154815488,194342912,10574008320
0.470,2.120,2.910,0,0,0,0,0,345,172,1077,20,20,0,0,0,0,56,12,10,58,3210584064,2141040640,194342912,10575216640
0.470,2.120,2.910,0,0,0,0,0,78,464,1077,20,20,0,0,0,18,56,12,10,58,3211079680,2140536832,194351104,10575740928
0.430,2.080,2.890,0,0,0,0,0,0,0,1077,20,20,0,0,0,0,56,12,10,58,3212345344,2139258880,194351104,10576535552
0.430,2.080,2.890,0,0,0,0,0,434,1224,1078,21,20,0,0,0,0,56,12,10,58,3212591104,2139013120,194351104,10576535552
0.430,2.080,2.890,0,0,0,0,0,16963,4790,1077,20,20,0,0,0,0,56,12,10,58,3212500992,2139013120,194351104,10575568896
0.430,2.080,2.890,0,0,0,0,0,167,1107,1080,20,23,0,0,0,0,56,12,10,58,3212730368,2138783744,194351104,10575319040
0.430,2.080,2.890,0,0,0,0,0,0,1278,1080,20,23,0,0,0,22,56,12,10,58,3211374592,2139574272,194359296,10575876096
0.470,2.060,2.880,0,0,0,0,0,0,920,1080,20,23,0,0,0,0,56,12,10,58,3228377088,2121768960,194359296,10576678912
0.470,2.060,2.880,0,0,0,0,0,0,920,1080,20,23,0,0,0,0,56,12,10,58,3229184000,2120736768,194359296,10576904192
0.470,2.060,2.880,0,0,0,0,0,0,0,1080,20,23,0,0,0,514,56,12,10,58,3231596544,2125619200,194359296,10569609216
0.470,2.060,2.880,0,0,0,0,0,201,0,1077,20,20,0,0,0,0,56,12,10,58,3231666176,2125660160,194359296,10569580544
0.470,2.060,2.880,0,0,0,0,0,0,358,1077,20,20,0,0,0,0,56,12,10,58,3231793152,2125430784,194359296,10570207232
0.440,2.030,2.870,0,0,0,0,0,167,187,1077,20,20,0,0,0,20,56,12,10,58,3232223232,2124988416,194371584,10569682944
0.440,2.030,2.870,0,0,0,0,0,0,0,1077,20,20,0,0,0,0,56,12,10,58,3232116736,2124787712,194371584,10569990144
0.440,2.030,2.870,0,0,0,0,0,338,1707,1078,21,20,0,0,0,0,56,12,10,58,3230842880,2125824000,194371584,10570227712
0.440,2.030,2.870,0,0,0,0,0,16883,4233,1079,20,20,0,0,0,0,56,12,10,58,3244503040,2111127552,194371584,10571264000
0.440,2.030,2.870,0,0,0,0,0,167,259,1077,20,20,0,0,0,0,56,12,10,58,3244244992,2111385600,194371584,10571264000
0.400,1.990,2.850,0,0,0,0,0,229,545,1077,20,20,0,0,0,0,56,12,10,58,3244466176,2111164416,194371584,10571329536
0.400,1.990,2.850,0,0,0,0,0,548,537,1076,19,20,0,0,0,16,56,12,10,58,3244355584,2111176704,194379776,10571419648
0.400,1.990,2.850,0,0,0,0,0,0,0,1076,19,20,0,0,0,0,56,12,10,58,3244601344,2110918656,194379776,10571366400
0.400,1.990,2.850,0,0,0,0,0,0,0,1076,19,20,0,0,0,0,56,12,10,58,3244285952,2110918656,194379776,10571681792
0.400,1.990,2.850,0,0,0,0,0,424,0,1076,19,20,0,0,0,0,56,12,10,58,3244277760,2110689280,194379776,10572443648
0.370,1.960,2.840,0,0,0,0,0,0,358,1076,19,20,0,0,0,34,56,12,10,58,3258953728,2095476736,194396160,10572697600
0.370,1.960,2.840,0,0,0,0,0,1249,3192,1076,19,20,0,0,0,0,56,12,10,58,3258630144,2095292416,194396160,10572947456
0.370,1.960,2.840,0,0,0,0,0,30242,2814,1076,19,20,0,0,0,588,56,12,10,58,3258507264,2095403008,194396160,10572959744
0.370,1.960,2.840,0,0,0,0,0,298,1707,1077,20,20,0,0,0,0,56,12,10,58,3258507264,2095403008,194396160,10572959744
0.370,1.960,2.840,0,0,0,0,0,16923,4193,1076,19,20,0,0,0,0,56,12,10,58,3258417152,2095403008,194396160,10573049856
0.340,1.930,2.820,0,0,0,0,0,0,358,1076,19,20,0,0,0,0,56,12,10,58,3259392000,2093879296,194400256,10573594624
0.340,1.930,2.820,0,0,0,0,0,167,187,1076,19,20,0,0,0,16,56,12,10,58,3259367424,2093879296,194404352,10573615104
0.340,1.930,2.820,0,0,0,0,0,0,0,1076,19,20,0,0,0,0,56,12,10,58,3260112896,2093137920,194404352,10573611008
0.340,1.930,2.820,0,0,0,0,0,0,0,1076,19,20,0,0,0,0,56,12,10,58,3263209472,2089017344,194404352,10574635008
0.340,1.930,2.820,0,0,0,0,0,407,187,1076,19,20,0,0,0,0,56,12,10,58,3263180800,2089033728,194404352,10575171584
0.390,1.910,2.810,0,0,0,0,0,167,545,1076,19,20,0,0,0,0,56,12,10,58,3263942656,2088259584,194404352,10576031744
0.390,1.910,2.810,0,0,0,0,0,0,0,1076,19,20,0,0,0,28,56,12,10,58,3265359872,2086735872,194412544,10574807040
0.390,1.910,2.810,0,0,0,0,0,0,0,1076,19,20,0,0,0,0,56,12,10,58,3264450560,2086993920,194412544,10575409152
0.390,1.910,2.810,0,0,0,0,0,0,0,1076,19,20,0,0,0,0,56,12,10,58,3264450560,2086993920,194412544,10575409152
0.390,1.910,2.810,0,0,0,0,0,1526,3258,1076,19,20,0,0,0,0,56,12,10,58,3264438272,2086993920,194412544,10575421440
0.520,1.910,2.810,0,0,0,0,0,11779,2182,1075,18,20,0,0,0,0,56,12,10,58,3251355648,2099236864,194412544,10576261120
0.520,1.910,2.810,0,0,0,0,0,698,358,1075,18,20,0,0,0,30,56,12,10,58,3250614272,2099793920,194420736,10576437248
0.520,1.910,2.810,0,0,0,0,0,7158,1318,1075,18,20,0,0,0,0,56,12,10,58,3250847744,2099552256,194420736,10576445440
0.520,1.910,2.810,0,0,0,0,0,0,0,1075,18,20,0,0,0,0,56,12,10,58,3250843648,2099552256,194420736,10576449536
0.520,1.910,2.810,0,0,0,0,0,86,106,1075,18,20,0,0,0,0,56,12,10,58,3250421760,2099322880,194420736,10577559552
