"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/lock_swap_time_proc_int_vm-adv_tcp_aio_page_load_zones_vm.csv --lock --swap --time --proc --int --vm-adv --tcp --aio --page --load --zones --vm 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"file locks",,,,"swap",,"system","procs",,,"interrupts",,,"advanced virtual memory",,,,,"tcp sockets",,,,,"async","paging",,"load avg",,,"zones memory",,,,"virtual memory",,,
"pos","lck","rea","wri","used","free","time","run","blk","new","138","139","140","steal","scanK","scanD","pgoru","astll","lis","act","syn","tim","clo","#aio","in","out","1m","5m","15m","d32F","d32H","normF","normH","majpf","minpf","alloc","free"
83,12,13,82,108527616,914878464,23-03 14:04:41,1,0,14.518,0.000,44.063,0.018,37.094,0,0,0.009,0,7,18,0,7,2,0,2.473,709.031,1.860,1.150,1.110,159767,3141,498412,22688,0.234,5095.283,5579.027,5648.696
83,12,13,82,108527616,914878464,23-03 14:04:42,2,0,15,0,127,0,0,0,0,0,0,7,18,0,7,2,0,0,0,1.710,1.130,1.100,159767,3141,506904,22688,0,3595,4574,13108
83,12,13,82,108527616,914878464,23-03 14:04:43,6,0,2,0,130,0,0,0,0,0,0,7,18,0,7,2,0,0,0,1.710,1.130,1.100,159767,3141,506789,22688,1,1679,2596,1863
83,12,13,82,108527616,914878464,23-03 14:04:44,0,0,0,0,150,0,0,0,0,0,0,7,18,0,7,2,0,0,0,1.710,1.130,1.100,159767,3141,506299,22688,0,295,1381,1651
83,12,13,82,108527616,914878464,23-03 14:04:45,2,0,0,0,117,0,0,0,0,0,0,7,18,0,7,2,0,0,0,1.710,1.130,1.100,159767,3141,506012,22688,0,31,494,633
83,12,13,82,108527616,914878464,23-03 14:04:46,2,0,0,0,119,0,0,0,0,0,0,7,18,0,7,2,0,0,0,1.710,1.130,1.100,159767,3141,505801,22688,0,1144,1544,1064
83,12,13,82,108527616,914878464,23-03 14:04:47,2,0,8,0,115,0,0,0,0,0,0,7,18,0,6,2,0,0,0,1.740,1.150,1.110,159767,3141,506257,22688,0,1379,1916,2446
83,12,13,82,108527616,914878464,23-03 14:04:48,2,0,8,0,112,0,0,0,0,0,0,7,18,0,6,2,0,0,0,1.740,1.150,1.110,159767,3141,502183,22688,0,6982,8734,3391
83,12,13,82,108527616,914878464,23-03 14:04:49,2,0,0,0,125,0,0,0,0,0,0,7,18,0,6,2,0,0,0,1.740,1.150,1.110,159767,3141,506726,22688,0,1004,2311,7575
83,12,13,82,108527616,914878464,23-03 14:04:50,3,0,0,0,148,0,0,0,0,0,0,7,18,0,6,2,0,0,0,1.740,1.150,1.110,159767,3141,506570,22688,0,263,535,527
83,12,13,82,108527616,914878464,23-03 14:04:51,0,0,0,0,161,0,0,0,0,0,0,7,18,0,7,2,0,0,0,1.740,1.150,1.110,159767,3141,504159,22688,0,7717,9710,7993
83,12,13,82,108527616,914878464,23-03 14:04:52,0,0,8,0,162,0,0,0,0,0,0,7,18,0,8,2,0,0,0,1.600,1.130,1.100,159767,3141,503788,22688,0,1653,2251,2430
83,12,13,82,108527616,914878464,23-03 14:04:53,0,0,8,0,120,0,0,0,0,0,0,7,18,0,7,2,0,0,0,1.600,1.130,1.100,159767,3141,503699,22688,0,1308,1861,2005
83,12,13,82,108527616,914878464,23-03 14:04:54,0,0,0,0,118,0,0,0,0,0,0,7,18,0,7,2,0,0,0,1.600,1.130,1.100,159767,3141,503915,22688,0,802,2372,1997
83,12,13,82,108527616,914878464,23-03 14:04:55,0,0,1,0,120,0,0,0,0,0,0,7,18,0,7,2,0,0,0,1.600,1.130,1.100,159767,3141,505979,22688,0,6025,7570,9927
83,12,13,82,108527616,914878464,23-03 14:04:56,0,0,0,0,159,0,0,0,0,0,0,7,18,0,7,2,0,0,0,1.600,1.130,1.100,159767,3141,508510,22688,0,216,906,3744
83,12,13,82,108527616,914878464,23-03 14:04:57,1,0,8,0,120,0,0,0,0,0,0,7,18,0,6,2,0,0,0,1.550,1.120,1.100,159767,3141,508289,22688,0,1329,1983,1849
83,12,13,82,108527616,914878464,23-03 14:04:58,2,0,8,0,122,0,0,0,0,0,0,7,18,0,6,2,0,0,0,1.550,1.120,1.100,159767,3141,508187,22688,0,1535,1907,1896
83,12,13,82,108527616,914878464,23-03 14:04:59,2,0,1,0,126,0,0,0,0,0,0,7,17,1,6,3,0,0,0,1.550,1.120,1.100,159767,3141,509926,22688,0,997,1660,2498
83,12,13,82,108527616,914878464,23-03 14:05:00,0,0,0,0,151,0,0,0,0,0,0,7,18,0,7,2,0,0,0,1.550,1.120,1.100,159767,3141,508396,22688,0,3029,4556,1571
83,12,13,82,108527616,914878464,23-03 14:05:01,1,0,0,0,113,0,0,0,0,0,0,7,18,0,7,2,0,0,0,1.550,1.120,1.100,159767,3141,504956,22688,0,39526,61404,54347
83,12,13,82,108527616,914878464,23-03 14:05:02,2,0,19,0,176,0,0,0,0,0,0,7,18,0,8,2,0,0,0,1.430,1.110,1.090,159767,3141,503785,22688,1,4152,4221,4215
83,12,13,82,108527616,914878464,23-03 14:05:03,0,0,8,0,120,0,0,0,0,0,0,7,18,0,8,2,0,0,0,1.430,1.110,1.090,159767,3141,502666,22688,0,7100,9054,7220
