"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/mem.csv --time --mem 1 600",,,,"Date:","23 Mar 2023 13:54:36 -03"
"system","memory usage",,,
"time","used","free","buff","cach"
23-03 13:54:36,4961230848,2640392192,795959296,8001495040
23-03 13:54:37,4951392256,2649423872,795959296,8002043904
23-03 13:54:38,4929335296,2671439872,795959296,8002150400
23-03 13:54:39,4937342976,2661793792,795959296,8004313088
23-03 13:54:40,4938489856,2662150144,795959296,8002277376
23-03 13:54:41,4938199040,2664816640,795979776,7999823872
23-03 13:54:42,4937109504,2665746432,795979776,7999983616
23-03 13:54:43,4937052160,2665803776,795979776,8000049152
23-03 13:54:44,4937166848,2665689088,795979776,8000049152
23-03 13:54:45,4933758976,2669051904,795979776,8000094208
23-03 13:54:46,4936175616,2668134400,795992064,7999107072
23-03 13:54:47,4934696960,2667962368,795992064,8000491520
23-03 13:54:48,4861911040,2748620800,795992064,7992360960
23-03 13:54:49,4863045632,2747486208,795992064,7992295424
23-03 13:54:50,4853383168,2757058560,795992064,7992451072
23-03 13:54:51,4852973568,2757455872,796008448,7992446976
23-03 13:54:52,4854124544,2756259840,796008448,7992958976
23-03 13:54:53,4854812672,2755571712,796008448,7993016320
23-03 13:54:54,4869795840,2740445184,796008448,7992893440
23-03 13:54:55,4871471104,2738769920,796008448,7992635392
23-03 13:54:56,4873990144,2738712576,796020736,7990095872
23-03 13:54:57,4989337600,2618212352,796020736,7995297792
23-03 13:54:58,4989784064,2617765888,796020736,7995297792
23-03 13:54:59,4975165440,2632282112,796020736,7995924480
23-03 13:55:00,4977631232,2629812224,796020736,7995404288
23-03 13:55:01,4980355072,2627088384,796033024,7995392000
23-03 13:55:02,4992659456,2614624256,796033024,7995551744
23-03 13:55:03,4996325376,2613420032,796033024,7993024512
23-03 13:55:04,4997218304,2612473856,796045312,7993065472
23-03 13:55:05,4998561792,2611081216,796045312,7993180160
23-03 13:55:06,4982874112,2626719744,796045312,7993753600
23-03 13:55:07,4983840768,2625753088,796045312,7993487360
23-03 13:55:08,4985024512,2624565248,796045312,7993233408
23-03 13:55:09,5007724544,2600206336,796049408,7994888192
23-03 13:55:10,5009711104,2602196992,796049408,7990910976
23-03 13:55:11,5010415616,2601492480,796049408,7990910976
23-03 13:55:12,5007171584,2604646400,796049408,7991468032
23-03 13:55:13,5007839232,2603933696,796049408,7991570432
23-03 13:55:14,5009006592,2602758144,796057600,7991037952
23-03 13:55:15,5033660416,2578100224,796057600,7991050240
23-03 13:55:16,4879454208,2732306432,796057600,7991050240
23-03 13:55:17,4892262400,2721816576,796057600,7988731904
23-03 13:55:18,4893179904,2720899072,796057600,7988666368
23-03 13:55:19,4894842880,2719207424,796069888,7989207040
23-03 13:55:20,4900286464,2713632768,796069888,7990734848
23-03 13:55:21,4900978688,2712940544,796069888,7988879360
23-03 13:55:22,4901380096,2712539136,796069888,7988879360
23-03 13:55:23,4901482496,2712436736,796069888,7988879360
23-03 13:55:24,4909395968,2706825216,796110848,7986536448
23-03 13:55:25,4905385984,2711633920,796110848,7985737728
23-03 13:55:26,4891500544,2730131456,796110848,7982915584
23-03 13:55:27,4889161728,2732335104,796110848,7981260800
23-03 13:55:28,4889845760,2731642880,796110848,7981268992
23-03 13:55:29,4897341440,2724118528,796123136,7981285376
23-03 13:55:30,4876472320,2747457536,796123136,7978815488
23-03 13:55:31,4884508672,2740936704,796135424,7977287680
23-03 13:55:32,4886822912,2736955392,796135424,7980285952
23-03 13:55:33,4883714048,2740064256,796135424,7980527616
23-03 13:55:34,4882489344,2741182464,796135424,7979302912
23-03 13:55:35,5009678336,2608873472,796135424,7984181248
23-03 13:55:36,5016526848,2602008576,796151808,7984181248
23-03 13:55:37,5015851008,2602684416,796151808,7984181248
23-03 13:55:38,5019463680,2601537536,796151808,7981715456
23-03 13:55:39,5035986944,2584891392,796160000,7982096384
23-03 13:55:40,5035520000,2585321472,796160000,7982391296
23-03 13:55:41,5034897408,2585894912,796160000,7981850624
23-03 13:55:42,4982558720,2638139392,796164096,7982006272
23-03 13:55:43,4983390208,2637303808,796164096,7982010368
23-03 13:55:44,4984590336,2636103680,796164096,7982010368
23-03 13:55:45,4984188928,2638901248,796164096,7979614208
23-03 13:55:46,4987043840,2636111872,796164096,7980072960
23-03 13:55:47,5003816960,2619195392,796164096,7979683840
23-03 13:55:48,4969562112,2653409280,796164096,7979667456
23-03 13:55:49,4982022144,2640932864,796164096,7996817408
23-03 13:55:50,4977152000,2645696512,796180480,7996645376
23-03 13:55:51,4978802688,2644037632,796184576,7993876480
23-03 13:55:52,4972220416,2650611712,796184576,7991001088
23-03 13:55:53,4974030848,2651271168,796184576,7988789248
23-03 13:55:54,4960251904,2663452672,796184576,7980544000
23-03 13:55:55,4963074048,2662039552,796184576,7979077632
23-03 13:55:56,4978585600,2646495232,796192768,7985995776
23-03 13:55:57,4982325248,2642739200,796205056,7986065408
23-03 13:55:58,4930088960,2694885376,796205056,7986155520
23-03 13:55:59,4935544832,2691911680,796209152,7983116288
23-03 13:56:00,4936491008,2690965504,796209152,7983374336
23-03 13:56:01,4937953280,2689503232,796209152,7983108096
23-03 13:56:02,4931047424,2696228864,796209152,7983030272
23-03 13:56:03,4895019008,2737672192,796209152,7977615360
23-03 13:56:04,4895064064,2737623040,796221440,7977607168
23-03 13:56:05,4895899648,2736689152,796221440,7977705472
23-03 13:56:06,4898836480,2733735936,796229632,7978237952
23-03 13:56:07,4897755136,2737287168,796229632,7975235584
23-03 13:56:08,4896620544,2738417664,796229632,7975247872
23-03 13:56:09,4905975808,2728824832,796229632,7975485440
23-03 13:56:10,4904779776,2730012672,796229632,7975428096
23-03 13:56:11,4864335872,2770427904,796241920,7969222656
23-03 13:56:12,4866076672,2768687104,796241920,7968616448
23-03 13:56:13,4986277888,2643349504,796241920,7974260736
23-03 13:56:14,4989935616,2642161664,796241920,7971258368
23-03 13:56:15,4990869504,2641227776,796241920,7971201024
23-03 13:56:16,4992016384,2640023552,796258304,7971373056
23-03 13:56:17,5013958656,2617917440,796258304,7971536896
23-03 13:56:18,5014646784,2617229312,796258304,7971405824
23-03 13:56:19,5007253504,2624622592,796274688,7969361920
23-03 13:56:20,4999757824,2631692288,796274688,7970045952
23-03 13:56:21,5004480512,2629705728,796274688,7967043584
23-03 13:56:22,5005914112,2628272128,796274688,7966785536
23-03 13:56:23,5006561280,2627584000,796274688,7966826496
23-03 13:56:24,5024718848,2607812608,796286976,7968428032
23-03 13:56:25,5027098624,2606866432,796291072,7966920704
23-03 13:56:26,5028524032,2605404160,796327936,7969308672
23-03 13:56:27,5028044800,2605883392,796327936,7967244288
23-03 13:56:28,5030821888,2605498368,796327936,7964594176
23-03 13:56:29,5031477248,2604843008,796327936,7964594176
23-03 13:56:30,5031469056,2604691456,796336128,7964745728
23-03 13:56:31,5000249344,2635894784,796336128,7964762112
23-03 13:56:32,5013520384,2622468096,796336128,7964852224
23-03 13:56:33,5015187456,2620801024,796336128,7965376512
23-03 13:56:34,4986568704,2651893760,796336128,7962701824
23-03 13:56:35,4987412480,2650959872,796348416,7962521600
23-03 13:56:36,4987793408,2650558464,796348416,7962542080
23-03 13:56:37,4988661760,2649616384,796348416,7962550272
23-03 13:56:38,4989468672,2648768512,796348416,7962656768
23-03 13:56:39,4986372096,2651811840,796348416,7962976256
23-03 13:56:40,4944560128,2698936320,796356608,7957835776
23-03 13:56:41,4945154048,2698334208,796368896,7957565440
23-03 13:56:42,4947542016,2698334208,796368896,7954984960
23-03 13:56:43,4947980288,2697887744,796368896,7954993152
23-03 13:56:44,4948635648,2697228288,796372992,7954993152
23-03 13:56:45,4879589376,2766233600,796372992,7955034112
23-03 13:56:46,4880236544,2765582336,796372992,7955304448
23-03 13:56:47,4872937472,2772725760,796372992,7955652608
23-03 13:56:48,4870049792,2778066944,796372992,7952916480
23-03 13:56:49,4872232960,2775871488,796385280,7952723968
23-03 13:56:50,4982353920,2660958208,796385280,7957516288
23-03 13:56:51,4979109888,2663813120,796397568,7957893120
23-03 13:56:52,4979548160,2663366656,796397568,7957835776
23-03 13:56:53,4980211712,2662703104,796397568,7958425600
23-03 13:56:54,4999139328,2643460096,796397568,7958208512
23-03 13:56:55,4998672384,2644086784,796397568,7958056960
23-03 13:56:56,5000339456,2642440192,796413952,7958253568
23-03 13:56:57,5002981376,2642239488,796413952,7955578880
23-03 13:56:58,4945965056,2699157504,796413952,7955677184
23-03 13:56:59,4946321408,2698760192,796413952,7955918848
23-03 13:57:00,4947292160,2697785344,796413952,7956242432
23-03 13:57:01,4948992000,2696081408,796422144,7955705856
23-03 13:57:02,4969889792,2675007488,796446720,7955800064
23-03 13:57:03,4971851776,2675523584,796446720,7953321984
23-03 13:57:04,4973109248,2674262016,796446720,7954440192
23-03 13:57:05,4972118016,2675240960,796446720,7953387520
23-03 13:57:06,4973101056,2674077696,796459008,7953772544
23-03 13:57:07,4973498368,2673676288,796459008,7954034688
23-03 13:57:08,4972855296,2674307072,796467200,7953838080
23-03 13:57:09,4987801600,2661707776,796479488,7951220736
23-03 13:57:10,4990255104,2659217408,796479488,7951192064
23-03 13:57:11,4975403008,2674069504,796479488,7951257600
23-03 13:57:12,4975738880,2673692672,796479488,7951298560
23-03 13:57:13,4977741824,2671513600,796479488,7951933440
23-03 13:57:14,4978671616,2670579712,796487680,7951663104
23-03 13:57:15,4980056064,2669187072,796487680,7951478784
23-03 13:57:16,4979888128,2669355008,796487680,7951478784
23-03 13:57:17,4980625408,2670960640,796487680,7949070336
23-03 13:57:18,4982325248,2669252608,796491776,7949074432
23-03 13:57:19,4966694912,2684841984,796499968,7949172736
23-03 13:57:20,4966957056,2690002944,796504064,7944269824
23-03 13:57:21,4967923712,2688946176,796504064,7944093696
23-03 13:57:22,4968693760,2688036864,796504064,7943974912
23-03 13:57:23,4967809024,2688921600,796504064,7943974912
23-03 13:57:24,4970545152,2687066112,796504064,7943028736
23-03 13:57:25,4973645824,2685407232,796516352,7941574656
23-03 13:57:26,4975816704,2683191296,796532736,7941935104
23-03 13:57:27,4974321664,2684669952,796532736,7942209536
23-03 13:57:28,5068816384,2585034752,796532736,7947001856
23-03 13:57:29,5070594048,2583257088,796532736,7946743808
