"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/mem_lock_vm_vm-adv_raw_int_disk_udp.csv --mem --lock --vm --vm-adv --raw --int --disk --udp 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"memory usage",,,,"file locks",,,,"virtual memory",,,,"advanced virtual memory",,,,,"raw","interrupts",,,"dsk/total",,"udp",
"used","free","buff","cach","pos","lck","rea","wri","majpf","minpf","alloc","free","steal","scanK","scanD","pgoru","astll","raw","138","139","140","read","writ","lis","act"
5006721024,2710671360,798113792,7881936896,83,12,13,82,0.234,5095.281,5579.024,5648.695,37.094,0,0,0.009,0,0,0.000,44.063,0.018,119995.742,1061308.578,25,14
4972453888,2744815616,798113792,7882616832,83,12,13,82,0,3392,4301,12558,0,0,0,0,0,0,0,129,0,0,0,25,14
4973424640,2743844864,798113792,7881850880,83,12,13,82,1,1602,2657,2538,0,0,0,0,0,0,0,128,0,122880,0,25,14
4975362048,2741837824,798121984,7881789440,83,12,13,82,0,901,1987,1648,0,0,0,0,0,0,0,152,0,0,4743168,25,14
4976537600,2740662272,798121984,7881789440,83,12,13,82,0,29,489,635,0,0,0,0,0,0,0,118,0,0,0,25,14
4976869376,2740240384,798121984,7882403840,83,12,13,82,0,1146,1549,1067,0,0,0,0,0,0,0,117,0,0,0,25,14
4977041408,2741665792,798121984,7880540160,83,12,13,82,0,1316,1868,2390,0,0,0,0,0,0,0,116,0,0,0,25,14
4992000000,2724978688,798121984,7882010624,83,12,13,82,0,7045,8784,3447,0,0,0,0,0,0,0,111,0,0,0,25,14
4973334528,2743586816,798134272,7882055680,83,12,13,82,0,1004,2308,7573,0,0,0,0,0,0,0,126,0,0,5120000,25,14
4973887488,2742947840,798134272,7882207232,83,12,13,82,0,263,537,530,0,0,0,0,0,0,0,149,0,0,0,25,14
4989231104,2733072384,798146560,7876993024,83,12,13,82,0,7717,9708,7991,0,0,0,0,0,0,0,156,0,0,1777664,25,14
4990738432,2731552768,798146560,7877263360,83,12,13,82,0,1653,2254,2432,0,0,0,0,0,0,0,166,0,0,0,25,14
4991102976,2731188224,798146560,7876730880,83,12,13,82,0,1308,1859,2004,0,0,0,0,0,0,0,120,0,0,0,25,14
4989628416,2732572672,798146560,7876763648,83,12,13,82,0,800,2371,1999,0,0,0,0,0,0,0,117,0,0,10387456,25,14
4981465088,2740527104,798146560,7877033984,83,12,13,82,0,6027,7571,9926,0,0,0,0,0,0,0,121,0,0,0,25,14
4970885120,2751123456,798158848,7877025792,83,12,13,82,0,216,905,3741,0,0,0,0,0,0,0,159,0,0,1556480,25,14
4972007424,2749988864,798158848,7877238784,83,12,13,82,0,1329,1986,1852,0,0,0,0,0,0,0,121,0,0,0,25,14
4972421120,2749571072,798162944,7877496832,83,12,13,82,0,1531,1900,1894,0,0,0,0,0,0,0,120,0,0,204800,25,14
4965289984,2756694016,798171136,7877492736,83,12,13,82,0,1001,1666,2501,0,0,0,0,0,0,0,125,0,0,1097728,25,15
4971536384,2750427136,798171136,7877054464,83,12,13,82,0,3029,4554,1567,0,0,0,0,0,0,0,153,0,0,4194304,25,15
4980572160,2736336896,798179328,7882100736,83,12,13,82,0,39526,61408,54351,0,0,0,0,0,0,0,113,0,0,425984,25,15
4985212928,2731540480,798179328,7882256384,83,12,13,82,1,4151,4214,4208,0,0,0,0,0,0,0,176,0,98304,0,25,15
5005541376,2709360640,798179328,7884374016,83,12,13,82,0,7100,9049,4006,0,0,0,0,0,0,0,119,0,0,0,25,15
4982112256,2734428160,798179328,7882928128,83,12,13,82,0,52,527,6412,0,0,0,0,0,0,0,118,0,0,0,25,15
4984557568,2731974656,798179328,7882735616,83,12,13,82,0,47,1158,1245,0,0,0,0,0,0,0,120,0,0,5136384,25,15
4985278464,2731249664,798195712,7882465280,83,12,13,82,0,440,1005,1524,0,0,0,0,0,0,0,123,0,0,2719744,25,15
4986978304,2729529344,798195712,7882420224,83,12,13,82,0,1318,1859,1834,0,0,0,0,0,0,0,115,0,0,0,25,15
4988452864,2728050688,798195712,7882424320,83,12,13,82,0,1743,1997,2289,0,0,0,0,0,0,0,158,0,0,0,25,15
4988588032,2727821312,798195712,7883042816,83,12,13,82,0,242,849,648,0,0,0,0,0,0,0,113,0,0,0,25,15
5003702272,2712707072,798203904,7882833920,83,12,13,82,0,6293,8466,3252,0,0,0,0,0,0,0,120,0,0,5070848,25,16
5004472320,2711744512,798203904,7882768384,83,12,13,82,0,210,632,597,0,0,0,0,0,0,0,116,0,0,0,25,15
5005443072,2710769664,798203904,7882772480,83,12,13,82,0,1960,2501,1934,0,0,0,0,0,0,0,113,0,0,0,25,15
5006594048,2709618688,798203904,7882772480,83,12,13,82,0,1364,2016,2003,0,0,0,0,0,0,0,144,0,0,0,25,15
5007228928,2709241856,798203904,7883018240,83,12,13,82,0,328,723,629,0,0,0,0,0,0,0,155,0,0,0,25,15
5007347712,2709114880,798216192,7883071488,83,12,13,82,0,39,1095,1077,0,0,0,0,0,0,0,119,0,0,4849664,25,15
5007765504,2708426752,798216192,7882809344,83,12,13,82,0,385,879,1377,0,0,0,0,0,0,0,118,0,0,0,25,15
5003214848,2713112576,798216192,7882616832,83,12,13,82,0,1401,1948,2843,0,0,0,0,0,0,0,117,0,0,0,25,15
5001904128,2714423296,798216192,7882616832,83,12,13,82,0,6756,8349,8470,0,0,0,0,0,0,0,122,0,0,0,25,15
5002653696,2713522176,798216192,7882768384,83,12,13,82,0,52,543,527,0,0,0,0,0,0,0,118,0,0,0,25,15
5005127680,2711048192,798228480,7883087872,83,12,13,82,0,310,1369,1244,0,0,0,0,0,0,0,155,0,0,4931584,25,15
5029027840,2687135744,798228480,7883358208,83,12,13,82,0,7914,9431,2242,0,0,0,0,0,0,0,138,0,0,0,25,15
5029183488,2686980096,798228480,7882825728,83,12,13,82,0,1540,1869,2046,0,0,0,0,0,0,0,121,0,0,0,25,15
5029289984,2686861312,798228480,7882780672,83,12,13,82,0,1412,2098,2560,0,0,0,0,0,0,0,138,0,0,0,25,15
