"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/net.csv --time --net 1 600",,,,"Date:","22 Mar 2023 22:03:08 -03"
"system","net/total",
"time","recv","send"
22-03 22:03:08,0,0
22-03 22:03:09,0,0
22-03 22:03:10,1298,698
22-03 22:03:11,0,358
22-03 22:03:12,0,0
22-03 22:03:13,2653,5408
22-03 22:03:14,15668,1364
22-03 22:03:15,0,0
22-03 22:03:16,0,358
22-03 22:03:17,0,0
22-03 22:03:18,0,0
22-03 22:03:19,0,920
22-03 22:03:20,1760,2926
22-03 22:03:21,0,1278
22-03 22:03:22,12709,5768
22-03 22:03:23,0,0
22-03 22:03:24,34844,7065
22-03 22:03:25,1531,778
22-03 22:03:26,167,187
22-03 22:03:27,245,293
22-03 22:03:28,0,0
22-03 22:03:29,0,0
22-03 22:03:30,396,446
22-03 22:03:31,442,310
22-03 22:03:32,80,40
22-03 22:03:33,0,0
22-03 22:03:34,0,0
22-03 22:03:35,16995,6218
22-03 22:03:36,876,126
22-03 22:03:37,0,0
22-03 22:03:38,0,0
22-03 22:03:39,0,0
22-03 22:03:40,82,0
22-03 22:03:41,348,0
22-03 22:03:42,350,0
22-03 22:03:43,0,0
22-03 22:03:44,359,0
22-03 22:03:45,167,187
22-03 22:03:46,16305,5688
22-03 22:03:47,876,484
22-03 22:03:48,0,0
22-03 22:03:49,0,0
22-03 22:03:50,396,446
22-03 22:03:51,0,0
22-03 22:03:52,0,358
22-03 22:03:53,0,0
22-03 22:03:54,0,0
22-03 22:03:55,0,0
22-03 22:03:56,0,0
22-03 22:03:57,17221,6258
22-03 22:03:58,0,0
22-03 22:03:59,0,0
22-03 22:04:00,868,246
22-03 22:04:01,0,0
22-03 22:04:02,0,0
22-03 22:04:03,0,358
22-03 22:04:04,119,0
22-03 22:04:05,167,187
22-03 22:04:06,0,0
22-03 22:04:07,384,1813
22-03 22:04:08,16923,4591
22-03 22:04:09,0,0
22-03 22:04:10,930,689
22-03 22:04:11,0,0
22-03 22:04:12,78,106
22-03 22:04:13,0,358
22-03 22:04:14,0,0
22-03 22:04:15,42,0
22-03 22:04:16,0,0
22-03 22:04:17,46,0
22-03 22:04:18,1249,3550
22-03 22:04:19,16058,2748
22-03 22:04:20,0,0
22-03 22:04:21,0,0
22-03 22:04:22,0,0
22-03 22:04:23,0,358
22-03 22:04:24,417,1707
22-03 22:04:25,31830,4400
22-03 22:04:26,0,0
22-03 22:04:27,0,0
22-03 22:04:28,0,0
22-03 22:04:29,1786,5035
22-03 22:04:30,15998,1896
22-03 22:04:31,0,0
22-03 22:04:32,0,0
22-03 22:04:33,0,0
22-03 22:04:34,180,358
22-03 22:04:35,0,0
22-03 22:04:36,0,0
