"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/net_fs_socket_proc_udp_io_page_swap_zones_vm.csv --net --fs --socket --proc --udp --io --page --swap --zones --vm 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"net/total",,"filesystem",,"sockets",,,,,"procs",,,"udp",,"io/total",,"paging",,"swap",,"zones memory",,,,"virtual memory",,,
"recv","send","files","inodes","tot","tcp","udp","raw","frg","run","blk","new","lis","act","read","writ","in","out","used","free","d32F","d32H","normF","normH","majpf","minpf","alloc","free"
0,0,13760,181431,1205,23,34,0,0,16,0,14.518,25,14,5.479,48.513,2.473,709.031,108527616,914878464,159767,3141,494716,22688,0.234,5095.264,5579.004,5648.644
17040,12765,13952,181616,1205,23,34,0,0,5,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,507151,22688,0,5696,7055,20352
8597,9427,13984,181616,1205,23,34,0,0,2,0,9,25,14,6,0,0,0,108527616,914878464,159767,3141,506789,22688,1,2085,3007,2646
6432,7632,13984,181613,1205,23,34,0,0,2,0,0,25,14,0,114,0,0,108527616,914878464,159767,3141,506299,22688,0,1025,2111,1807
5750,7350,13984,181613,1205,23,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,506012,22688,0,29,491,639
5880,6850,13984,181624,1205,23,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,505909,22688,0,1146,1545,1060
5860,6907,13952,181578,1205,23,34,0,0,5,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,506127,22688,0,1316,1871,2267
5750,6850,13984,181623,1205,23,34,0,0,1,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,502183,22688,0,7045,8785,3576
6261,7658,13952,181643,1205,23,34,0,0,2,0,0,25,14,0,124,0,0,108527616,914878464,159767,3141,506726,22688,0,1004,2314,7579
5856,7468,13984,181644,1205,23,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,506570,22688,0,262,524,518
13400,102363,13952,180535,1206,24,34,0,0,1,0,0,25,14,0,34,0,0,108527616,914878464,159767,3141,504276,22688,0,7717,9545,7955
55033,18399,13952,180535,1205,23,34,0,0,1,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,503718,22688,0,1652,2417,2469
5917,7037,13952,180535,1205,23,34,0,0,2,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,503689,22688,0,1308,1864,1863
6029,7332,13920,180543,1205,23,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,503754,22688,0,801,1243,986
5860,7402,13920,180544,1205,23,34,0,0,1,0,1,25,14,0,1686,0,0,108527616,914878464,159767,3141,506084,22688,0,6023,8679,11069
5750,7110,13952,180557,1205,23,34,0,0,1,0,0,25,14,0,14,0,0,108527616,914878464,159767,3141,508696,22688,0,220,924,3740
5860,7303,14016,180556,1205,23,34,0,0,5,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,508289,22688,0,1329,1853,1862
6456,7037,14016,180557,1205,23,34,0,0,1,0,8,25,14,0,30,0,0,108527616,914878464,159767,3141,508187,22688,0,1530,2034,1901
6354,8802,14016,180565,1211,23,40,0,0,5,0,1,25,20,0,60,0,0,108527616,914878464,159767,3141,509989,22688,0,999,1671,2378
15189,16556,14016,180560,1206,23,34,0,0,1,0,0,25,15,0,152,0,0,108527616,914878464,159767,3141,508396,22688,0,3021,4534,1684
5750,7129,13952,181630,1206,23,34,0,0,2,0,0,25,15,0,22,0,0,108527616,914878464,159767,3141,504956,22688,0,39537,61396,54328
21527,11592,13984,181631,1206,23,34,0,0,3,0,19,25,15,10,0,0,0,108527616,914878464,159767,3141,503785,22688,1,4152,4243,4238
7264,8065,14016,181686,1206,23,34,0,0,1,0,8,25,15,0,0,0,0,108527616,914878464,159767,3141,498556,22688,0,7099,8908,3657
6029,7337,14048,181640,1206,23,34,0,0,2,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,504490,22688,0,53,668,6759
6034,7044,14048,181641,1206,23,34,0,0,2,0,0,25,15,0,306,0,0,108527616,914878464,159767,3141,504003,22688,0,42,1143,1108
6404,7345,14016,181640,1206,23,34,0,0,1,0,0,25,15,0,22,0,0,108527616,914878464,159767,3141,503714,22688,0,445,1016,1643
6132,7353,14016,181639,1206,23,34,0,0,1,0,8,25,15,0,0,0,0,108527616,914878464,159767,3141,503294,22688,0,1318,1858,1848
5860,7044,14016,181639,1206,23,34,0,0,2,0,9,25,15,0,0,0,0,108527616,914878464,159767,3141,502933,22688,0,1743,1996,2289
5750,6850,14016,181650,1206,23,34,0,0,1,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,502877,22688,0,238,830,649
5750,6850,14016,181661,1206,23,34,0,0,1,0,0,25,15,0,538,0,0,108527616,914878464,159767,3141,499191,22688,0,6291,8481,3123
6616,7952,14016,181663,1209,24,34,0,0,1,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,498952,22688,0,216,644,733
5880,7316,14016,181663,1209,24,34,0,0,1,0,8,25,15,0,0,0,0,108527616,914878464,159767,3141,498714,22688,0,1960,2500,1933
23415,13278,13984,181663,1209,24,34,0,0,1,0,8,25,15,0,0,0,0,108527616,914878464,159767,3141,498433,22688,0,1358,1974,1955
6241,7930,13984,181608,1209,24,34,0,0,2,1,0,25,15,0,0,0,0,108527616,914878464,159767,3141,498341,22688,0,331,611,668
5750,6713,13984,181610,1209,24,34,0,0,2,0,0,25,15,0,108,0,0,108527616,914878464,159767,3141,498370,22688,0,42,1248,1085
5860,7681,13984,181620,1209,24,34,0,0,1,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,498142,22688,0,385,877,1230
5880,6694,13984,181628,1209,24,34,0,0,2,0,8,25,15,0,0,0,0,108527616,914878464,159767,3141,499286,22688,0,1401,1952,2992
6146,7639,14048,181628,1209,24,34,0,0,2,0,8,25,15,0,0,0,0,108527616,914878464,159767,3141,499606,22688,0,6754,8344,8467
5934,7044,14016,181628,1209,24,34,0,0,2,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,499386,22688,0,52,515,516
5880,6850,14016,181629,1209,24,34,0,0,1,0,1,25,15,0,116,0,0,108527616,914878464,159767,3141,499034,22688,0,311,1264,1248
9477,18413,13984,181630,1209,24,34,0,0,3,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,492944,22688,0,7915,9566,2247
6008,7262,14016,181630,1209,24,34,0,0,1,0,8,25,15,0,0,0,0,108527616,914878464,159767,3141,492776,22688,0,1538,1868,1903
7794,12652,14048,181630,1211,26,34,0,0,1,0,8,25,15,0,0,0,0,108527616,914878464,159767,3141,492877,22688,0,1412,2085,2690
38868,14492,14048,181660,1210,25,34,0,0,3,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,496493,22688,0,1076,1723,3176
5880,6968,14016,181661,1210,25,34,0,0,2,0,0,25,15,0,34,0,0,108527616,914878464,159767,3141,500506,22688,0,1069,2884,7274
5750,7056,13984,181662,1210,25,34,0,0,2,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,500160,22688,0,420,795,850
5860,7402,14048,181660,1210,25,34,0,0,1,0,8,25,15,0,0,0,0,108527616,914878464,159767,3141,500380,22688,0,1331,1865,2223
8322,11850,14048,181664,1214,27,34,0,0,1,0,8,25,15,0,0,0,0,108527616,914878464,159767,3141,500382,22688,0,1320,1894,2144
17648,12111,14048,181883,1210,26,34,0,0,1,0,0,25,14,0,66,0,0,108527616,914878464,159767,3141,500898,22688,0,473,2357,3722
6120,7440,14048,180774,1209,25,34,0,0,1,0,0,25,14,0,84,0,0,108527616,914878464,159767,3141,509711,22688,0,260,1514,12717
5880,6968,14048,180791,1206,24,34,0,0,2,0,0,25,14,0,40,0,0,108527616,914878464,159767,3141,509335,22688,0,412,1080,728
23007,13909,14080,180784,1206,24,34,0,0,2,0,9,25,14,0,0,0,0,108527616,914878464,159767,3141,513045,22688,0,1626,2224,5211
5917,7311,14048,180778,1206,24,34,0,0,1,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,511858,22688,0,7060,8852,6494
21766,12211,13984,180778,1206,24,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,511909,22688,0,291,579,731
7344,8008,13984,180779,1206,24,34,0,0,1,0,0,25,14,0,440,0,0,108527616,914878464,159767,3141,511676,22688,0,61,2488,2859
6052,7062,13984,180779,1206,24,34,0,0,2,0,0,25,14,0,30,0,0,108527616,914878464,159767,3141,511612,22688,0,190,845,916
5860,7662,14016,180777,1206,24,34,0,0,1,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,511626,22688,0,1365,1888,1888
6313,7483,14016,180788,1206,24,34,0,0,2,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,510975,22688,0,2037,2519,1896
5750,6850,13984,181858,1206,24,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,506082,22688,0,39333,61107,55446
5860,7186,14016,181858,1206,24,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,505044,22688,0,6621,8359,5924
5750,6968,13984,181858,1206,24,34,0,0,9,0,0,25,14,0,272,0,0,108527616,914878464,159767,3141,504284,22688,0,208,1644,1618
5954,7208,13984,181863,1206,24,34,0,0,3,0,4,25,14,0,24,0,0,108527616,914878464,159767,3141,504054,22688,0,892,965,957
5860,7044,13952,181857,1206,24,34,0,0,4,0,12,25,14,0,0,0,0,108527616,914878464,159767,3141,503747,22688,0,1993,2774,3238
6706,9179,13984,182325,1207,25,34,0,0,1,0,1,25,14,0,0,0,0,108527616,914878464,159767,3141,503541,22688,0,731,5097,4738
39850,18467,14016,182336,1206,24,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,503201,22688,0,248,820,2251
5836,7098,14016,182345,1206,24,34,0,0,1,0,0,25,14,0,390,0,0,108527616,914878464,159767,3141,503314,22688,0,444,1210,1612
5750,6987,13984,182345,1206,24,34,0,0,1,0,0,25,14,0,32,0,0,108527616,914878464,159767,3141,503319,22688,0,45,565,547
5966,7760,14016,182272,1206,24,34,0,0,1,0,16,25,14,0,0,0,0,108527616,914878464,159767,3141,498158,22688,0,8069,9927,4515
7032,7854,14016,182334,1210,24,34,0,0,2,0,18,25,14,0,0,0,0,108527616,914878464,159767,3141,493568,22688,0,8402,12285,3764
5856,6850,14048,182333,1210,24,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,493465,22688,0,267,588,812
7871,14268,14016,182317,1210,24,34,0,0,1,0,0,25,14,0,88,0,0,108527616,914878464,159767,3141,486951,22688,0,7161,8719,2763
7403,10416,14016,182325,1210,24,34,0,0,1,0,0,25,14,0,16,0,0,108527616,914878464,159767,3141,488138,22688,0,294,814,2628
36399,10585,14016,182326,1210,24,34,0,0,2,0,16,25,14,0,0,0,0,108527616,914878464,159767,3141,488239,22688,0,2615,3247,3700
6029,7332,14080,182326,1210,24,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,498015,22688,0,344,640,9103
17858,99507,14112,182330,1212,25,34,0,0,3,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,493726,22688,0,7210,9587,4940
29395,17994,14080,182482,1226,24,34,0,0,2,0,40,25,16,0,58,0,0,108527616,914878464,159767,3141,486324,22688,0,26686,28198,16009
17860,18642,14048,182484,1227,24,34,0,0,2,0,3,25,17,0,378,0,0,108527616,914878464,159767,3141,478612,22688,0,34950,40429,35259
6579,9987,14048,182486,1227,24,34,0,0,1,0,16,25,17,0,0,0,0,108527616,914878464,159767,3141,481579,22688,0,4962,7619,12893
6204,8141,14080,182507,1227,24,34,0,0,1,0,0,25,17,0,122,0,0,108527616,914878464,159767,3141,481960,22688,0,1766,2845,2414
51343,9602,14080,182507,1227,24,34,0,0,2,0,1,25,17,0,170,0,0,108527616,914878464,159767,3141,479348,22688,0,24506,27112,26323
5860,7162,14048,182507,1227,24,34,0,0,1,0,0,25,17,0,44,0,0,108527616,914878464,159767,3141,479648,22688,0,239,867,1241
5750,6713,14080,182519,1227,24,34,0,0,1,0,8,25,17,0,0,0,0,108527616,914878464,159767,3141,484409,22688,0,1852,2091,7092
5750,6992,14112,182515,1227,24,34,0,0,5,0,16,25,17,0,0,0,0,108527616,914878464,159767,3141,483658,22688,0,8217,10140,8780
6343,8587,14112,182518,1230,24,37,0,0,2,0,0,28,17,0,0,0,0,108527616,914878464,159767,3141,483504,22688,0,644,1093,787
5750,7774,14144,182520,1230,24,37,0,0,1,0,0,28,17,0,0,0,0,108527616,914878464,159767,3141,483270,22688,0,153,648,515
7653,12600,14144,181422,1230,24,37,0,0,1,0,0,28,17,2,264,0,0,108527616,914878464,159767,3141,517111,22688,0,605,2190,35410
21978,9446,14112,181420,1230,24,37,0,0,2,0,0,28,17,0,0,0,0,108527616,914878464,159767,3141,516739,22688,0,82,525,517
5880,6850,14144,181425,1230,24,37,0,0,3,0,15,28,17,0,0,0,0,108527616,914878464,159767,3141,516770,22688,0,2493,3093,3323
6027,7349,14112,181397,1227,24,34,0,0,5,0,2,25,17,4,0,0,0,108527616,914878464,159767,3141,517512,22688,0,1271,1667,2145
5880,6850,14112,181426,1227,24,34,0,0,6,0,0,25,17,0,0,0,0,108527616,914878464,159767,3141,517347,22688,0,3955,5582,6240
5750,6850,14080,181426,1227,24,34,0,0,3,0,0,25,17,0,1946,0,0,108527616,914878464,159767,3141,517030,22688,0,145,2422,2310
5860,7044,14080,181426,1227,24,34,0,0,6,0,0,25,17,0,0,0,0,108527616,914878464,159767,3141,516723,22688,0,46,629,504
6023,7155,14112,181436,1227,24,34,0,0,1,0,8,25,17,0,0,0,0,108527616,914878464,159767,3141,516368,22688,0,1606,2136,2837
6966,8110,14080,181436,1227,24,34,0,0,2,0,8,25,17,0,0,0,0,108527616,914878464,159767,3141,516077,22688,0,1450,1938,2029
6852,8154,14048,181367,1221,24,34,0,0,1,0,0,25,17,0,0,0,0,108527616,914878464,159767,3141,520217,22688,0,1400,1811,4242
8590,9397,14016,181366,1221,24,34,0,0,1,0,0,25,17,0,290,0,0,108527616,914878464,159767,3141,520761,22688,0,1477,2825,2829
23081,13159,14016,182437,1221,24,34,0,0,2,0,0,25,17,0,0,0,0,108527616,914878464,159767,3141,486261,22688,0,39987,61671,25044
6146,7022,14016,182437,1221,24,34,0,0,6,0,8,25,17,0,8,0,0,108527616,914878464,159767,3141,492120,22688,0,6578,8845,15914
