"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/net_sys_time.csv --net --sys --time 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"net/total",,"system",,"system"
"recv","send","int","csw","time"
0,0,1469.267,6205.191,23-03 14:04:41
17040,11147,2787,8071,23-03 14:04:42
8890,9670,2629,6281,23-03 14:04:43
6139,7747,2651,5953,23-03 14:04:44
5750,6992,2584,5585,23-03 14:04:45
5880,6850,2425,5621,23-03 14:04:46
5860,7181,2593,6968,23-03 14:04:47
5750,6850,2547,7215,23-03 14:04:48
6367,7521,2556,6120,23-03 14:04:49
5750,7468,2652,5773,23-03 14:04:50
14393,104405,2791,6950,23-03 14:04:51
54040,16357,2782,7856,23-03 14:04:52
5917,6900,2517,6836,23-03 14:04:53
6029,7332,3888,10115,23-03 14:04:54
5860,7402,2587,6171,23-03 14:04:55
5750,7110,2471,5759,23-03 14:04:56
6027,7303,2699,6999,23-03 14:04:57
6395,7174,2651,6885,23-03 14:04:58
8562,10919,2594,6068,23-03 14:04:59
12875,14439,2632,5995,23-03 14:05:00
5750,6992,3466,35908,23-03 14:05:01
21527,11866,2906,11231,23-03 14:05:02
7264,7928,2702,7465,23-03 14:05:03
6029,7474,2489,5647,23-03 14:05:04
6034,7044,2687,6215,23-03 14:05:05
6404,7208,2628,5740,23-03 14:05:06
6132,7353,2622,6833,23-03 14:05:07
5860,6907,2537,6841,23-03 14:05:08
5750,6850,2451,5585,23-03 14:05:09
5750,7194,2819,6637,23-03 14:05:10
6616,7608,2472,5694,23-03 14:05:11
5880,7316,2583,6801,23-03 14:05:12
23501,13427,2639,7793,23-03 14:05:13
6155,7644,2570,5763,23-03 14:05:14
5750,6850,2492,5848,23-03 14:05:15
5860,7681,2512,5661,23-03 14:05:16
5880,7227,2594,7048,23-03 14:05:17
6146,7243,2616,7232,23-03 14:05:18
5934,7044,2429,5624,23-03 14:05:19
5880,6850,2681,6104,23-03 14:05:20
9477,18413,2556,6091,23-03 14:05:21
6008,7262,2568,6703,23-03 14:05:22
22895,14394,2868,8639,23-03 14:05:23
23767,12613,2603,6128,23-03 14:05:24
5880,6968,2642,6258,23-03 14:05:25
5750,7414,2596,5691,23-03 14:05:26
5938,7150,2495,6809,23-03 14:05:27
8244,11744,2654,7116,23-03 14:05:28
17811,12509,2672,6028,23-03 14:05:29
5957,7042,2538,5888,23-03 14:05:30
5880,6968,2585,5714,23-03 14:05:31
23007,14046,2808,8118,23-03 14:05:32
5917,7174,2670,7243,23-03 14:05:33
21766,12348,2587,6506,23-03 14:05:34
7344,8008,2933,9080,23-03 14:05:35
6052,7062,2482,5708,23-03 14:05:36
5860,7921,2654,6857,23-03 14:05:37
6313,7087,2590,6747,23-03 14:05:38
5750,6850,3309,35419,23-03 14:05:39
5860,7186,2614,6350,23-03 14:05:40
5750,6968,2606,5895,23-03 14:05:41
5954,7345,2700,6751,23-03 14:05:42
5860,6907,2608,6820,23-03 14:05:43
6706,9736,2630,6656,23-03 14:05:44
39850,18047,2606,6579,23-03 14:05:45
5836,7098,2574,6315,23-03 14:05:46
5750,6850,2507,6324,23-03 14:05:47
6298,7886,2691,7860,23-03 14:05:48
6766,8002,2988,7675,23-03 14:05:49
5900,7044,2599,5926,23-03 14:05:50
7761,13937,2705,6260,23-03 14:05:51
7403,10416,2498,6503,23-03 14:05:52
36399,10448,2658,8096,23-03 14:05:53
6029,7332,2501,5598,23-03 14:05:54
17858,100064,2714,7184,23-03 14:05:55
29395,17437,3860,16407,23-03 14:05:56
17949,21014,9806,12411,23-03 14:05:57
6686,8282,2828,8609,23-03 14:05:58
6008,7474,2708,6256,23-03 14:05:59
51343,9739,4193,9314,23-03 14:06:00
5860,7162,2459,5797,23-03 14:06:01
5750,6850,2751,8091,23-03 14:06:02
5750,6992,2929,8680,23-03 14:06:03
6343,8450,2526,5737,23-03 14:06:04
5750,7774,2548,5650,23-03 14:06:05
21811,13126,2753,6990,23-03 14:06:06
7950,8920,2459,5568,23-03 14:06:07
5750,6831,2700,8113,23-03 14:06:08
6027,7231,2499,5731,23-03 14:06:09
5880,6850,2648,6183,23-03 14:06:10
5750,6850,3908,10944,23-03 14:06:11
5860,7044,2510,5543,23-03 14:06:12
6129,7292,2676,7870,23-03 14:06:13
6860,8110,2483,5638,23-03 14:06:14
6852,7880,2655,6575,23-03 14:06:15
8590,9671,2632,6104,23-03 14:06:16
23081,13281,3465,36725,23-03 14:06:17
6146,7037,2649,7272,23-03 14:06:18
5828,6956,2696,6847,23-03 14:06:19
5860,7186,2575,5699,23-03 14:06:20
10350,17929,2754,6776,23-03 14:06:21
5860,7044,2527,5570,23-03 14:06:22
5750,6713,2573,6763,23-03 14:06:23
6103,7450,2544,6932,23-03 14:06:24
5860,7402,2498,6049,23-03 14:06:25
5750,6850,3487,6340,23-03 14:06:26
6178,8699,3206,7356,23-03 14:06:27
22825,11529,2604,7008,23-03 14:06:28
7207,12154,2561,6953,23-03 14:06:29
5946,7539,2582,5891,23-03 14:06:30
5922,6956,2509,5653,23-03 14:06:31
5750,6850,2479,5943,23-03 14:06:32
6157,7231,2607,7240,23-03 14:06:33
6029,7592,2631,7296,23-03 14:06:34
7913,7077,2374,5680,23-03 14:06:35
5990,7402,2553,5764,23-03 14:06:36
5917,7502,2470,5703,23-03 14:06:37
24663,14501,2758,7960,23-03 14:06:38
7618,7774,2452,6954,23-03 14:06:39
5750,7110,2463,6082,23-03 14:06:40
5860,7589,2505,5633,23-03 14:06:41
5917,6850,2505,5726,23-03 14:06:42
5750,6850,2668,6911,23-03 14:06:43
6481,7899,2668,6909,23-03 14:06:44
5750,6850,2460,5526,23-03 14:06:45
5860,7539,2516,5777,23-03 14:06:46
5824,6850,3774,10286,23-03 14:06:47
5880,7110,2636,7431,23-03 14:06:48
23263,13128,2684,7603,23-03 14:06:49
6116,7102,2510,5733,23-03 14:06:50
19409,21084,2654,6277,23-03 14:06:51
8895,9541,2935,6252,23-03 14:06:52
22206,14830,2766,7710,23-03 14:06:53
