"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/net_unix_sys_int_vm-adv_io_mem_lock_load_proc_page_aio.csv --net --unix --sys --int --vm-adv --io --mem --lock --load --proc --page --aio 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"net/total",,"unix sockets",,,,"system",,"interrupts",,,"advanced virtual memory",,,,,"io/total",,"memory usage",,,,"file locks",,,,"load avg",,,"procs",,,"paging",,"async"
"recv","send","dgm","str","lis","act","int","csw","138","139","140","steal","scanK","scanD","pgoru","astll","read","writ","used","free","buff","cach","pos","lck","rea","wri","1m","5m","15m","run","blk","new","in","out","#aio"
0,0,56,981,55,926,1469.267,6205.191,0.000,44.063,0.018,37.094,0,0,0.009,0,5.479,48.512,5007269888,2709856256,798113792,7882203136,83,12,13,82,1.860,1.150,1.110,1,0,14.518,2.473,709.031,0
17040,11147,56,981,55,926,2786,8131,0,128,0,0,0,0,0,0,0,0,4972953600,2744315904,798113792,7882616832,83,12,13,82,1.710,1.130,1.100,2,0,15,0,0,0
8890,9533,56,981,55,926,2627,6241,0,129,0,0,0,0,0,0,6,0,4973424640,2743844864,798113792,7881850880,83,12,13,82,1.710,1.130,1.100,3,0,2,0,0,0
6139,7884,56,981,55,926,2653,5986,0,151,0,0,0,0,0,0,0,114,4975362048,2741837824,798121984,7881789440,83,12,13,82,1.710,1.130,1.100,1,0,0,0,0,0
5750,6992,56,981,55,926,2593,5596,0,117,0,0,0,0,0,0,0,0,4976537600,2740662272,798121984,7881789440,83,12,13,82,1.710,1.130,1.100,1,0,0,0,0,0
5880,6850,56,981,55,926,2418,5611,0,118,0,0,0,0,0,0,0,0,4976869376,2740240384,798121984,7882403840,83,12,13,82,1.710,1.130,1.100,1,0,0,0,0,0
5860,7044,56,981,55,926,2600,6977,0,115,0,0,0,0,0,0,0,0,4977041408,2741665792,798121984,7880540160,83,12,13,82,1.740,1.150,1.110,1,0,8,0,0,0
5750,6987,56,981,55,926,2535,7208,0,113,0,0,0,0,0,0,0,0,4992000000,2724978688,798121984,7882010624,83,12,13,82,1.740,1.150,1.110,1,0,8,0,0,0
6367,7384,56,981,55,926,2559,6123,0,124,0,0,0,0,0,0,0,124,4973334528,2743586816,798134272,7882055680,83,12,13,82,1.740,1.150,1.110,2,0,0,0,0,0
5750,7605,56,981,55,926,2663,5789,0,149,0,0,0,0,0,0,0,0,4973887488,2742947840,798134272,7882207232,83,12,13,82,1.740,1.150,1.110,1,0,0,0,0,0
14393,104405,56,981,55,926,2781,6930,0,161,0,0,0,0,0,0,0,34,4989231104,2733072384,798146560,7876993024,83,12,13,82,1.740,1.150,1.110,0,0,0,0,0,0
54040,16357,56,981,55,926,2779,7854,0,162,0,0,0,0,0,0,0,0,4990738432,2731552768,798146560,7877263360,83,12,13,82,1.600,1.130,1.100,0,0,8,0,0,0
5917,6900,56,981,55,926,2517,6821,0,120,0,0,0,0,0,0,0,0,4991102976,2731188224,798146560,7876730880,83,12,13,82,1.600,1.130,1.100,1,0,8,0,0,0
6029,7332,56,981,55,926,3888,10123,0,118,0,0,0,0,0,0,0,1686,4990128128,2732072960,798146560,7876763648,83,12,13,82,1.600,1.130,1.100,1,0,0,0,0,0
5860,7402,56,981,55,926,2587,6176,0,120,0,0,0,0,0,0,0,0,4981465088,2740527104,798146560,7877033984,83,12,13,82,1.600,1.130,1.100,0,0,1,0,0,0
5750,7110,56,981,55,926,2470,5756,0,159,0,0,0,0,0,0,0,14,4971102208,2750894080,798158848,7877038080,83,12,13,82,1.600,1.130,1.100,1,0,0,0,0,0
6027,7303,56,981,55,926,2703,7012,0,120,0,0,0,0,0,0,0,0,4972007424,2749988864,798158848,7877238784,83,12,13,82,1.550,1.120,1.100,0,0,8,0,0,0
6289,7037,56,981,55,926,2656,6887,0,122,0,0,0,0,0,0,0,30,4972421120,2749571072,798162944,7877496832,83,12,13,82,1.550,1.120,1.100,2,0,8,0,0,0
8668,11056,56,981,55,926,2588,6054,0,125,0,0,0,0,0,0,0,60,4965289984,2756694016,798171136,7877492736,83,12,13,82,1.550,1.120,1.100,0,0,1,0,0,0
12875,14302,56,981,55,926,2625,5994,0,152,0,0,0,0,0,0,0,152,4971536384,2750427136,798171136,7877054464,83,12,13,82,1.550,1.120,1.100,2,0,0,0,0,0
5750,6992,56,981,55,926,3482,35924,0,113,0,0,0,0,0,0,0,22,4980572160,2736336896,798179328,7882035200,83,12,13,82,1.550,1.120,1.100,1,0,0,0,0,0
21527,11866,56,981,55,926,2906,11231,0,175,0,0,0,0,0,0,10,0,4985212928,2731540480,798179328,7882256384,83,12,13,82,1.430,1.110,1.090,1,0,19,0,0,0
7264,8065,56,981,55,926,2691,7448,0,121,0,0,0,0,0,0,0,0,4989542400,2726957056,798179328,7882776576,83,12,13,82,1.430,1.110,1.090,0,0,8,0,0,0
