"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/page_vm-adv_load_net_lock_cpu.csv --page --vm-adv --load --net --lock --cpu 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"paging",,"advanced virtual memory",,,,,"load avg",,,"net/total",,"file locks",,,,"total cpu usage",,,,
"in","out","steal","scanK","scanD","pgoru","astll","1m","5m","15m","recv","send","pos","lck","rea","wri","usr","sys","idl","wai","stl"
2.473,709.032,37.094,0,0,0.009,0,1.860,1.150,1.110,0,0,83,12,13,82,4.312,1.589,94.001,0.097,0
0,0,0,0,0,0,0,1.710,1.130,1.100,17155,12765,83,12,13,82,10.154,4.113,85.604,0.129,0
0,0,0,0,0,0,0,1.710,1.130,1.100,6926,9170,83,12,13,82,8.375,3,88.500,0.125,0
0,0,0,0,0,0,0,1.710,1.130,1.100,8103,7752,83,12,13,82,12.547,3.011,84.316,0.125,0
0,0,0,0,0,0,0,1.710,1.130,1.100,5750,7624,83,12,13,82,7.915,2.387,89.698,0,0
0,0,0,0,0,0,0,1.710,1.130,1.100,5880,6576,83,12,13,82,9.248,2.836,87.793,0.123,0
0,0,0,0,0,0,0,1.740,1.150,1.110,5860,7181,83,12,13,82,8.228,2.658,89.114,0,0
0,0,0,0,0,0,0,1.740,1.150,1.110,5750,6850,83,12,13,82,8.831,3.607,87.313,0.249,0
0,0,0,0,0,0,0,1.740,1.150,1.110,6261,7521,83,12,13,82,8.481,3.418,87.848,0.253,0
0,0,0,0,0,0,0,1.740,1.150,1.110,5741,7468,83,12,13,82,8.772,3.133,87.970,0.125,0
0,0,0,0,0,0,0,1.740,1.150,1.110,13515,102363,83,12,13,82,8.717,4.359,86.800,0.125,0
0,0,0,0,0,0,0,1.600,1.130,1.100,55033,18399,83,12,13,82,9.296,3.141,87.563,0,0
0,0,0,0,0,0,0,1.600,1.130,1.100,5917,7037,83,12,13,82,8.075,2.857,88.944,0.124,0
0,0,0,0,0,0,0,1.600,1.130,1.100,6029,7332,83,12,13,82,9.091,2.778,88.005,0.126,0
0,0,0,0,0,0,0,1.600,1.130,1.100,5860,7402,83,12,13,82,9.294,3.594,87.113,0,0
0,0,0,0,0,0,0,1.600,1.130,1.100,5750,7110,83,12,13,82,8.217,2.908,88.748,0.126,0
0,0,0,0,0,0,0,1.550,1.120,1.100,5860,7044,83,12,13,82,8.717,3.113,88.169,0,0
0,0,0,0,0,0,0,1.550,1.120,1.100,6456,7296,83,12,13,82,9.057,3.350,87.345,0.248,0
0,0,0,0,0,0,0,1.550,1.120,1.100,5953,6713,83,12,13,82,8.586,3.535,87.753,0.126,0
0,0,0,0,0,0,0,1.550,1.120,1.100,15590,18508,83,12,13,82,8.798,2.850,88.228,0.124,0
0,0,0,0,0,0,0,1.550,1.120,1.100,5635,7266,83,12,13,82,9.975,4.310,85.591,0.123,0
0,0,0,0,0,0,0,1.430,1.110,1.090,7484,11203,83,12,13,82,10.149,4.084,85.644,0.124,0
0,0,0,0,0,0,0,1.430,1.110,1.090,21422,8454,83,12,13,82,8.895,2.922,88.183,0,0
0,0,0,0,0,0,0,1.430,1.110,1.090,6029,7474,83,12,13,82,8.755,2.713,88.409,0.123,0
0,0,0,0,0,0,0,1.430,1.110,1.090,5919,7044,83,12,13,82,9.170,2.726,88.104,0,0
0,0,0,0,0,0,0,1.430,1.110,1.090,6519,7208,83,12,13,82,9.215,2.989,87.671,0.125,0
0,0,0,0,0,0,0,1.390,1.100,1.090,6132,7353,83,12,13,82,9.147,3.337,87.392,0.124,0
0,0,0,0,0,0,0,1.390,1.100,1.090,5860,7044,83,12,13,82,8.908,2.509,88.582,0,0
0,0,0,0,0,0,0,1.390,1.100,1.090,5750,6850,83,12,13,82,9.804,2.328,87.745,0.123,0
0,0,0,0,0,0,0,1.390,1.100,1.090,5750,6850,83,12,13,82,9.877,3.457,86.543,0.123,0
0,0,0,0,0,0,0,1.390,1.100,1.090,6616,7952,83,12,13,82,9.530,3.218,87.252,0,0
0,0,0,0,0,0,0,1.440,1.120,1.100,5880,7453,83,12,13,82,9.057,2.893,87.925,0.126,0
0,0,0,0,0,0,0,1.440,1.120,1.100,23415,13278,83,12,13,82,9.248,3.699,87.053,0,0
0,0,0,0,0,0,0,1.440,1.120,1.100,6241,7793,83,12,13,82,9.826,2.861,87.065,0.249,0
0,0,0,0,0,0,0,1.440,1.120,1.100,5750,6576,83,12,13,82,9.034,2.760,87.453,0.753,0
0,0,0,0,0,0,0,1.440,1.120,1.100,5860,7818,83,12,13,82,10.134,2.930,86.935,0,0
0,0,0,0,0,0,0,1.400,1.120,1.100,5880,6831,83,12,13,82,8.647,2.632,88.596,0.125,0
0,0,0,0,0,0,0,1.400,1.120,1.100,6146,7502,83,12,13,82,9.429,3.474,87.097,0,0
0,0,0,0,0,0,0,1.400,1.120,1.100,5934,7044,83,12,13,82,8.794,2.513,88.568,0.126,0
0,0,0,0,0,0,0,1.400,1.120,1.100,5880,6850,83,12,13,82,9.877,2.840,86.543,0.741,0
0,0,0,0,0,0,0,1.400,1.120,1.100,9477,18413,83,12,13,82,10.366,3.049,86.463,0.122,0
0,0,0,0,0,0,0,1.290,1.100,1.090,6008,7262,83,12,13,82,8.219,3.362,88.418,0,0
0,0,0,0,0,0,0,1.290,1.100,1.090,7794,12652,83,12,13,82,11.057,3.440,85.381,0.123,0
0,0,0,0,0,0,0,1.290,1.100,1.090,38868,14492,83,12,13,82,9.193,3.230,87.329,0.248,0
