"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/proc.csv --time --proc 1 600",,,,"Date:","22 Mar 2023 22:03:09 -03"
"system","procs",,
"time","run","blk","new"
22-03 22:03:09,132,0,12.298
22-03 22:03:10,140,0,2314
22-03 22:03:11,106,0,2412
22-03 22:03:12,127,0,2577
22-03 22:03:13,127,0,2556
22-03 22:03:14,103,0,2283
22-03 22:03:15,85,0,1996
22-03 22:03:16,61,0,1786
22-03 22:03:17,44,0,1456
22-03 22:03:18,30,0,1397
22-03 22:03:19,14,0,547
22-03 22:03:20,2,0,335
22-03 22:03:21,1,0,2
22-03 22:03:22,1,0,8
22-03 22:03:23,1,0,0
22-03 22:03:24,0,1,0
22-03 22:03:25,3,0,9
22-03 22:03:26,1,0,0
22-03 22:03:27,0,0,8
22-03 22:03:28,0,0,0
22-03 22:03:29,1,0,0
22-03 22:03:30,1,0,8
22-03 22:03:31,2,0,0
22-03 22:03:32,0,0,8
22-03 22:03:33,1,0,1
22-03 22:03:34,2,0,0
22-03 22:03:35,2,0,8
22-03 22:03:36,0,1,0
22-03 22:03:37,1,0,8
22-03 22:03:38,1,0,0
22-03 22:03:39,1,0,0
22-03 22:03:40,1,0,8
22-03 22:03:41,1,0,0
22-03 22:03:42,1,0,8
22-03 22:03:43,1,0,0
22-03 22:03:44,1,0,0
22-03 22:03:45,1,1,8
22-03 22:03:46,2,0,1
22-03 22:03:47,1,0,8
22-03 22:03:48,8,0,0
22-03 22:03:49,2,0,0
22-03 22:03:50,1,0,0
22-03 22:03:51,1,0,10
22-03 22:03:52,1,1,8
22-03 22:03:53,0,1,0
22-03 22:03:54,0,0,1
22-03 22:03:55,1,0,0
22-03 22:03:56,1,0,8
22-03 22:03:57,0,0,9
22-03 22:03:58,2,0,0
22-03 22:03:59,0,1,0
22-03 22:04:00,1,0,0
22-03 22:04:01,1,0,8
22-03 22:04:02,2,0,12
22-03 22:04:03,1,0,4
22-03 22:04:04,1,0,0
22-03 22:04:05,1,0,0
22-03 22:04:06,1,0,8
22-03 22:04:07,0,1,0
22-03 22:04:08,4,0,8
22-03 22:04:09,2,0,1
22-03 22:04:10,0,0,0
22-03 22:04:11,1,0,8
22-03 22:04:12,0,1,0
22-03 22:04:13,1,0,8
22-03 22:04:14,0,0,0
22-03 22:04:15,3,0,0
22-03 22:04:16,1,0,8
22-03 22:04:17,1,0,0
22-03 22:04:18,2,0,8
22-03 22:04:19,2,0,0
22-03 22:04:20,1,0,0
22-03 22:04:21,0,0,8
22-03 22:04:22,1,0,1
22-03 22:04:23,1,0,8
22-03 22:04:24,0,1,0
22-03 22:04:25,0,0,0
22-03 22:04:26,1,0,8
22-03 22:04:27,1,0,0
22-03 22:04:28,1,0,8
22-03 22:04:29,0,0,0
22-03 22:04:30,1,0,0
22-03 22:04:31,0,0,8
22-03 22:04:32,0,1,0
22-03 22:04:33,0,0,8
22-03 22:04:34,0,1,1
22-03 22:04:35,0,0,0
22-03 22:04:36,2,0,8
22-03 22:04:37,2,0,0
22-03 22:04:38,2,0,8
22-03 22:04:39,2,0,0
22-03 22:04:40,1,0,0
22-03 22:04:41,2,0,8
