"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/proc_int_net_udp_aio_lock_io.csv --proc --int --net --udp --aio --lock --io 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"procs",,,"interrupts",,,"net/total",,"udp",,"async","file locks",,,,"io/total",
"run","blk","new","138","139","140","recv","send","lis","act","#aio","pos","lck","rea","wri","read","writ"
7,0,12.451,0.000,43.105,0.023,0,0,17,7,0,56,12,10,58,5.210,36.480
0,0,0,0,20,0,345,172,17,7,0,56,12,10,58,0,0
0,0,0,0,18,0,78,464,17,7,0,56,12,10,58,0,18
1,0,8,0,15,0,0,0,17,7,0,56,12,10,58,0,0
2,0,8,0,20,0,434,1224,17,7,0,56,12,10,58,0,0
0,0,0,0,37,0,16963,4790,17,7,0,56,12,10,58,0,0
1,0,0,0,33,0,167,1107,20,7,0,56,12,10,58,0,0
1,0,1,0,18,0,0,1278,20,7,0,56,12,10,58,0,22
0,0,8,0,15,0,0,920,20,7,0,56,12,10,58,0,0
1,0,8,0,16,0,0,920,20,7,0,56,12,10,58,0,0
1,0,0,0,15,0,0,0,20,7,0,56,12,10,58,0,514
2,0,0,0,16,0,201,0,17,7,0,56,12,10,58,0,0
1,0,0,0,35,0,0,358,17,7,0,56,12,10,58,0,0
1,0,8,0,16,0,167,187,17,7,0,56,12,10,58,0,20
1,0,8,0,14,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,18,0,298,1707,17,7,0,56,12,10,58,0,0
0,0,0,0,33,0,16923,4233,17,7,0,56,12,10,58,0,0
1,0,0,0,16,0,167,259,17,7,0,56,12,10,58,0,0
1,0,8,0,32,0,229,545,17,7,0,56,12,10,58,0,0
1,0,9,0,22,0,548,537,17,7,0,56,12,10,58,0,16
0,0,0,0,15,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,21,0,424,0,17,7,0,56,12,10,58,0,0
0,0,8,0,16,0,0,358,17,7,0,56,12,10,58,0,34
1,0,8,0,39,0,1249,3192,17,7,0,56,12,10,58,0,0
2,0,0,0,29,0,30242,2814,17,7,0,56,12,10,58,0,588
0,0,0,0,21,0,298,1707,17,7,0,56,12,10,58,0,0
1,0,0,0,33,0,16923,4193,17,7,0,56,12,10,58,0,0
1,0,8,0,16,0,0,358,17,7,0,56,12,10,58,0,0
1,0,8,0,17,0,167,187,17,7,0,56,12,10,58,0,16
1,0,0,0,33,0,0,0,17,7,0,56,12,10,58,0,0
0,0,1,0,15,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,19,0,407,187,17,7,0,56,12,10,58,0,0
1,0,8,0,18,0,167,545,17,7,0,56,12,10,58,0,0
2,0,8,0,15,0,0,0,17,7,0,56,12,10,58,0,28
0,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,39,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,24,0,1526,3258,17,7,0,56,12,10,58,0,0
0,0,8,0,23,0,11779,2182,17,7,0,56,12,10,58,0,0
1,0,8,0,20,0,698,358,17,7,0,56,12,10,58,0,30
1,0,0,0,23,0,7158,1318,17,7,0,56,12,10,58,0,0
1,0,0,0,15,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,41,0,86,106,17,7,0,56,12,10,58,0,0
0,0,9,0,14,0,0,0,17,7,0,56,12,10,58,0,0
0,0,8,0,17,0,167,187,17,7,0,56,12,10,58,0,0
0,0,0,0,15,0,0,0,17,7,0,56,12,10,58,0,24
2,0,0,0,12,0,0,0,17,7,0,56,12,10,58,8,632
0,0,0,0,24,0,1066,836,17,7,0,56,12,10,58,0,0
1,0,8,0,35,0,106,0,17,7,0,56,12,10,58,0,0
0,0,18,0,15,0,82,0,17,7,0,56,12,10,58,0,30
2,0,0,0,32,0,12623,4764,17,7,0,56,12,10,58,0,0
1,0,0,0,22,0,4598,1238,17,7,0,56,12,10,58,0,0
0,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,0
3,0,8,0,18,0,167,187,17,7,0,56,12,10,58,0,0
2,0,4,0,35,0,0,0,17,7,0,56,12,10,58,0,16
0,0,4,0,12,0,0,0,17,7,0,56,12,10,58,0,0
1,0,1,0,13,0,0,0,17,7,0,56,12,10,58,0,44
1,0,0,0,18,0,237,259,17,7,0,56,12,10,58,0,36
1,0,8,0,17,0,229,187,17,7,0,56,12,10,58,0,0
0,0,0,0,16,0,167,187,17,7,0,56,12,10,58,0,0
1,0,8,0,42,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,34,0,15817,5309,17,7,0,56,12,10,58,0,0
2,0,0,0,21,0,1404,631,17,7,0,56,12,10,58,0,26
0,0,8,0,15,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,13,0,0,358,17,7,0,56,12,10,58,0,0
1,0,8,0,14,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,40,0,56,74,17,7,0,56,12,10,58,0,0
1,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,0
2,0,9,0,19,0,167,187,17,7,0,56,12,10,58,0,16
1,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,0
0,0,8,0,15,0,0,358,17,7,0,56,12,10,58,0,0
0,0,0,0,12,0,0,0,17,7,0,56,12,10,58,0,0
2,0,0,0,62,0,13007,5100,17,7,0,56,12,10,58,0,0
0,0,8,0,28,0,5031,1631,17,7,0,56,12,10,58,0,40
0,0,0,0,15,0,0,0,17,7,0,56,12,10,58,0,0
1,0,8,0,17,0,0,358,17,7,0,56,12,10,58,0,16
0,0,0,0,15,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,17,0,334,446,17,7,0,56,12,10,58,0,4
1,0,8,0,38,0,229,187,17,7,0,56,12,10,58,0,40
0,0,26,0,13,0,0,0,17,7,0,56,12,10,58,0,0
1,0,9,0,15,0,0,358,17,7,0,56,12,10,58,0,0
2,0,0,0,15,0,0,0,17,7,0,56,12,10,58,0,0
1,0,1,0,17,0,240,0,17,7,0,56,12,10,58,2,636
2,0,11,0,22,0,1619,4490,17,7,0,56,12,10,58,0,0
1,0,0,0,58,0,15797,1410,17,7,0,56,12,10,58,0,30
0,0,10,0,23,0,1328,3550,17,7,0,56,12,10,58,0,0
0,0,14,0,31,0,30349,3014,17,7,0,56,12,10,58,0,0
1,0,0,0,18,0,128,106,17,7,0,56,12,10,58,0,0
1,0,8,0,15,0,82,0,17,7,0,56,12,10,58,0,44
0,0,0,0,18,0,213,187,17,7,0,56,12,10,58,0,28
0,0,8,0,39,0,167,187,17,7,0,56,12,10,58,0,0
0,0,2,0,15,0,0,358,17,7,0,56,12,10,58,0,0
1,0,2,0,18,0,124,106,17,7,0,56,12,10,58,0,0
0,0,8,0,19,0,167,187,17,7,0,56,12,10,58,0,32
0,0,15,0,28,0,1619,4490,17,7,0,56,12,10,58,0,0
3,0,8,0,27,0,15602,1324,17,7,0,56,12,10,58,0,16
1,0,0,0,36,0,0,358,17,7,0,56,12,10,58,0,0
1,0,0,0,25,0,866,446,17,7,0,56,12,10,58,0,0
1,0,8,0,15,0,0,0,17,7,0,56,12,10,58,0,26
0,0,0,0,16,0,0,0,17,7,0,56,12,10,58,0,0
0,0,8,0,45,0,13926,6872,17,7,0,56,12,10,58,0,0
1,0,0,0,20,0,163,619,17,7,0,56,12,10,58,0,14
1,0,0,0,33,0,0,0,17,7,0,56,12,10,58,0,0
2,0,4,0,15,0,0,0,17,7,0,56,12,10,58,0,64
1,0,4,0,16,0,0,0,17,7,0,56,12,10,58,0,0
2,0,9,0,31,0,1701,4552,17,7,0,56,12,10,58,0,0
2,0,0,0,31,0,15602,1768,17,7,0,56,12,10,58,0,0
1,0,0,0,16,0,0,0,17,7,0,56,12,10,58,0,18
2,0,0,0,34,0,0,0,17,7,0,56,12,10,58,0,46
1,0,19,0,16,0,0,0,17,7,0,56,12,10,58,2,0
1,0,8,0,15,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,56
1,0,0,0,17,0,0,358,17,7,0,56,12,10,58,0,0
1,0,0,0,18,0,167,187,17,7,0,56,12,10,58,0,156
1,0,9,0,32,0,0,0,17,7,0,56,12,10,58,0,0
0,0,11,0,13,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,31,0,1659,4490,17,7,0,56,12,10,58,0,0
0,0,1,0,31,0,15799,1941,17,7,0,56,12,10,58,0,22
1,0,0,0,20,0,311,187,17,7,0,56,12,10,58,0,396
0,0,32,0,15,0,0,0,17,7,0,56,12,10,58,0,0
1,0,8,0,36,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,36,0,16045,6010,17,7,0,56,12,10,58,0,0
1,0,0,0,32,0,2147,2012,17,7,0,56,12,10,58,0,28
1,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,300
0,0,8,0,15,0,0,0,17,7,0,56,12,10,58,0,0
1,0,8,0,15,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,31,0,0,920,20,7,0,56,12,10,58,0,0
1,0,0,0,40,0,16401,7086,20,7,0,56,12,10,58,0,0
0,0,0,0,26,0,2974,3514,20,7,0,56,12,10,58,0,52
1,0,9,0,18,0,425,1907,20,7,0,56,12,10,58,0,0
1,0,8,0,16,0,0,0,20,7,0,56,12,10,58,0,0
0,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,39,0,326,106,17,7,0,56,12,10,58,0,0
0,0,0,0,18,0,167,545,17,7,0,56,12,10,58,0,28
1,0,8,0,18,0,167,187,17,7,0,56,12,10,58,0,52
0,0,8,0,15,0,0,0,17,7,0,56,12,10,58,0,0
2,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,18,0,245,365,17,7,0,56,12,10,58,0,0
1,0,0,0,61,0,16614,6359,17,7,0,56,12,10,58,0,0
1,0,8,0,19,0,876,126,17,7,0,56,12,10,58,4,116
1,0,8,0,17,0,194,0,17,7,0,56,12,10,58,0,0
0,0,1,0,14,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,15,0,167,358,17,7,0,56,12,10,58,0,0
0,0,8,0,53,0,0,0,17,7,0,56,12,10,58,6,244
0,0,8,0,14,0,0,0,17,7,0,56,12,10,58,0,0
0,0,26,0,22,0,1249,3192,17,7,0,56,12,10,58,0,0
0,0,1,0,37,0,28651,3146,17,7,0,56,12,10,58,0,0
0,0,0,0,16,0,82,358,17,7,0,56,12,10,58,0,0
0,0,8,0,34,0,18400,5854,17,7,0,56,12,10,58,0,40
0,0,8,0,36,0,876,126,17,7,0,56,12,10,58,0,0
0,0,0,0,15,0,0,0,17,7,0,56,12,10,58,0,0
2,0,0,0,16,0,167,187,17,7,0,56,12,10,58,0,0
0,0,0,0,17,0,167,545,17,7,0,56,12,10,58,0,0
0,0,9,0,15,0,0,0,17,7,0,56,12,10,58,2,466
1,0,8,0,14,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,50,0,0,0,17,7,0,56,12,10,58,0,0
2,0,24,0,14,0,167,259,17,7,0,56,12,10,58,0,0
0,0,0,0,17,0,229,545,17,7,0,56,12,10,58,0,0
0,0,8,0,16,0,0,0,17,7,0,56,12,10,58,0,198
0,0,8,0,39,0,17303,5940,17,7,0,56,12,10,58,0,0
1,0,4,0,21,0,698,0,17,7,0,56,12,10,58,0,0
3,0,28,0,85,0,20775,10346,17,8,0,57,12,10,59,0,54
1,0,8,0,65,0,11906,12523,17,9,0,57,12,10,59,0,256
1,0,11,0,33,0,1538,3035,17,9,0,57,12,10,59,0,366
1,0,7,0,22,0,344,345,17,9,0,57,12,10,59,0,0
0,0,3,0,40,0,44843,2422,17,9,0,57,12,10,59,0,210
1,0,0,0,19,0,167,187,17,9,0,57,12,10,59,0,0
0,0,0,0,42,0,78,106,17,9,0,57,12,10,59,0,0
1,0,16,0,15,0,0,0,17,9,0,57,12,10,59,0,32
1,0,0,0,14,0,80,956,17,12,0,57,12,10,59,0,0
0,0,8,0,43,0,17181,4984,17,9,0,57,12,10,59,0,0
1,0,0,0,20,0,424,0,17,9,0,57,12,10,59,0,46
0,0,0,0,17,0,167,187,17,9,0,57,12,10,59,0,0
0,0,8,0,38,0,0,0,17,9,0,57,12,10,59,0,0
0,0,0,0,15,0,0,0,17,9,0,57,12,10,59,0,70
0,0,8,0,17,0,70,0,17,9,0,57,12,10,59,0,0
1,0,13,0,21,0,253,365,17,9,0,57,12,10,59,0,50
0,0,1,0,18,0,693,430,17,9,0,57,12,10,59,0,0
0,0,8,0,14,0,0,0,17,9,0,57,12,10,59,0,0
1,0,0,0,48,0,0,0,17,9,0,57,12,10,59,0,26
1,0,9,0,17,0,298,1707,17,9,0,57,12,10,59,0,0
1,0,3,0,27,0,15739,3602,17,9,0,57,12,10,59,0,14
1,0,13,0,19,0,1549,729,17,9,0,57,12,10,59,0,0
1,0,11,0,12,0,0,0,17,9,0,57,12,10,59,0,22
1,0,0,0,16,0,0,0,17,9,0,57,12,10,59,0,54
0,0,21,0,40,0,0,0,17,9,0,57,12,10,59,0,0
1,0,0,0,14,0,0,0,17,9,0,57,12,10,59,0,16
0,0,0,0,13,0,0,0,17,9,0,57,12,10,59,0,0
1,0,8,0,19,0,56,432,17,9,0,57,12,10,59,0,0
0,0,1,0,17,0,167,187,17,9,0,57,12,10,59,0,462
0,0,11,0,16,0,0,0,17,9,0,57,12,10,59,0,0
0,0,4,0,45,0,0,0,17,8,0,57,12,10,59,0,100
0,0,0,0,41,0,16634,6001,17,8,0,57,12,10,59,0,30
0,0,8,0,17,0,876,126,17,8,0,57,12,10,59,0,0
0,0,0,0,16,0,0,358,17,7,0,57,12,10,59,0,142
0,0,10,0,14,0,0,0,17,7,0,57,12,10,59,0,0
1,0,0,0,20,0,591,259,17,7,0,57,12,10,59,0,0
0,0,0,0,37,0,229,187,17,7,0,56,12,10,58,0,44
0,0,34,0,15,0,0,0,17,7,0,56,12,10,58,0,0
0,0,6,0,14,0,0,358,17,7,0,56,12,10,58,0,268
0,0,8,0,15,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,13,0,0,0,17,7,0,56,12,10,58,0,0
1,0,1,0,14,0,0,0,17,7,0,56,12,10,58,0,22
1,0,8,0,92,0,18196,6877,17,7,0,56,12,10,58,0,0
0,0,0,0,17,0,86,358,17,7,0,56,12,10,58,0,32
0,0,8,0,17,0,110,130,17,7,0,56,12,10,58,0,0
0,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,14,0,82,0,17,7,0,56,12,10,58,0,34
0,0,8,0,41,0,28238,6362,17,7,0,56,12,10,58,0,0
0,0,0,0,34,0,0,358,17,7,0,56,12,10,58,0,42
0,0,8,0,17,0,6055,200,17,7,0,56,12,10,58,0,0
7,0,0,0,18,0,209,187,17,7,0,56,12,10,58,0,0
1,0,0,0,21,0,334,374,17,7,0,56,12,10,58,0,0
2,0,6,0,20,0,384,1707,17,7,0,56,12,10,58,0,20
1,0,3,0,29,0,12427,3205,17,7,0,56,12,10,58,0,0
1,0,8,0,60,0,0,528,17,7,0,56,12,10,58,0,44
0,0,0,0,22,0,7325,1577,17,7,0,56,12,10,58,0,0
1,0,0,0,17,0,229,187,17,7,0,56,12,10,58,0,0
1,0,0,0,15,0,0,0,17,7,0,56,12,10,58,0,0
3,0,8,0,18,0,46,0,17,7,0,56,12,10,58,0,40
2,0,8,0,17,0,0,358,17,7,0,56,12,10,58,0,54
0,0,0,0,56,0,1480,590,17,7,0,56,12,10,58,0,0
1,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,16,0,167,187,17,7,0,56,12,10,58,0,0
0,0,8,0,15,0,0,0,17,7,0,56,12,10,58,0,0
1,0,8,0,15,0,82,358,17,7,0,56,12,10,58,0,436
2,0,2,0,30,109,1659,4592,17,7,0,56,12,10,58,0,0
1,0,0,0,52,0,15928,1702,17,7,0,56,12,10,58,0,0
1,0,11,0,20,0,258,294,17,7,0,56,12,10,58,0,0
1,0,8,0,15,0,0,0,17,7,0,56,12,10,58,0,0
0,0,8,0,15,0,0,0,17,7,0,56,12,10,58,0,92
2,0,0,0,18,0,240,358,17,7,0,56,12,10,58,0,0
1,0,0,0,16,0,167,187,17,7,0,56,12,10,58,0,0
1,0,0,0,29,0,78,106,17,7,0,56,12,10,58,0,0
0,0,8,0,16,0,0,0,17,7,0,56,12,10,58,0,0
1,0,8,0,15,34,70,0,17,7,0,56,12,10,58,0,392
1,0,0,0,18,0,167,617,17,7,0,56,12,10,58,0,30
1,0,0,0,32,0,16128,4929,17,7,0,56,12,10,58,0,0
1,0,1,0,21,0,1404,1158,17,7,0,56,12,10,58,0,0
1,0,8,0,61,0,167,187,17,7,0,56,12,10,58,0,0
1,0,8,0,12,0,0,0,17,7,0,56,12,10,58,0,36
1,0,0,0,15,0,0,358,17,7,0,56,12,10,58,0,40
0,0,0,0,13,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,0
1,0,8,0,14,0,0,0,17,7,0,56,12,10,58,0,0
0,0,21,0,51,0,0,920,20,7,0,56,12,10,58,0,24
0,0,0,0,20,0,868,1524,20,7,0,56,12,10,58,0,0
0,0,0,0,17,0,226,1404,20,7,0,56,12,10,58,0,0
0,0,0,0,33,0,15817,5850,20,7,0,56,12,10,58,0,18
0,0,8,0,24,0,1500,998,20,7,0,56,12,10,58,0,0
4,0,8,0,14,0,0,0,17,7,0,56,12,10,58,6,64
1,0,1,0,47,0,167,187,17,7,0,56,12,10,58,0,0
1,0,0,0,21,0,167,545,17,7,0,56,12,10,58,0,0
1,0,1,0,43,0,8505,11085,17,7,0,56,12,10,58,0,0
1,0,8,0,15,0,0,0,17,7,0,56,12,10,58,0,40
0,0,8,0,12,0,0,0,17,7,0,56,12,10,58,4,386
0,0,0,0,18,0,334,446,17,7,0,56,12,10,58,0,0
1,0,0,0,40,0,229,545,17,7,0,56,12,10,58,0,0
1,0,0,0,15,0,0,0,17,7,0,56,12,10,58,0,0
1,0,8,0,40,0,16579,5814,17,7,0,56,12,10,58,0,40
0,0,8,0,19,0,1043,313,17,7,0,56,12,10,58,0,0
0,0,0,0,15,0,0,0,17,7,0,56,12,10,58,2,82
0,0,0,0,17,0,167,358,17,7,0,56,12,10,58,0,0
1,0,1,0,39,0,0,0,17,7,0,56,12,10,58,0,48
2,0,8,0,10,0,0,0,17,7,0,56,12,10,58,0,0
2,0,4,0,14,0,0,0,17,7,0,56,12,10,58,0,0
0,0,4,0,22,0,842,656,17,7,0,56,12,10,58,0,30
1,0,0,0,18,0,82,206,17,7,0,56,12,10,58,0,0
1,0,0,0,17,0,167,545,17,7,0,56,12,10,58,0,0
1,0,8,0,48,0,0,206,17,7,0,56,12,10,58,0,38
1,0,0,0,90,0,50408,18058,17,7,0,56,12,10,58,0,0
1,0,8,0,28,0,15807,896,17,7,0,56,12,10,58,0,284
1,0,0,0,16,0,167,187,17,7,0,56,12,10,58,0,0
0,0,0,0,18,0,167,751,17,7,0,56,12,10,58,0,0
2,0,8,0,15,0,0,0,17,7,0,56,12,10,58,0,26
0,0,1,0,34,0,0,0,17,7,0,56,12,10,58,0,0
1,0,8,0,16,0,167,259,17,7,0,56,12,10,58,2,42
