"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/proc_lock_net_time_int_page_mem_tcp_cpu_udp.csv --proc --lock --net --time --int --page --mem --tcp --cpu --udp 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"procs",,,"file locks",,,,"net/total",,"system","interrupts",,,"paging",,"memory usage",,,,"tcp sockets",,,,,"total cpu usage",,,,,"udp",
"run","blk","new","pos","lck","rea","wri","recv","send","time","138","139","140","in","out","used","free","buff","cach","lis","act","syn","tim","clo","usr","sys","idl","wai","stl","lis","act"
3,0,14.518,83,12,13,82,0,0,23-03 14:04:41,0.000,44.063,0.018,2.473,709.031,5007269888,2709856256,798113792,7882203136,7,18,0,7,2,4.312,1.589,94.001,0.097,0,25,14
3,0,15,83,12,13,82,17040,11147,23-03 14:04:42,0,129,0,0,0,4972953600,2744315904,798113792,7882616832,7,18,0,7,2,9.950,4.104,85.821,0.124,0,25,14
3,0,2,83,12,13,82,8890,9533,23-03 14:04:43,0,129,0,0,0,4973424640,2743844864,798113792,7881850880,7,18,0,7,2,8.217,2.655,89.001,0.126,0,25,14
1,0,0,83,12,13,82,6139,7884,23-03 14:04:44,0,151,0,0,0,4975362048,2741837824,798121984,7881789440,7,18,0,7,2,12.312,3.015,84.548,0.126,0,25,14
3,0,0,83,12,13,82,5750,6992,23-03 14:04:45,0,117,0,0,0,4976537600,2740662272,798121984,7881789440,7,18,0,7,2,8.166,2.513,89.322,0,0,25,14
1,0,0,83,12,13,82,5880,6850,23-03 14:04:46,0,118,0,0,0,4976869376,2740240384,798121984,7882403840,7,18,0,7,2,8.955,2.736,88.184,0.124,0,25,14
4,0,8,83,12,13,82,5860,7044,23-03 14:04:47,0,115,0,0,0,4977041408,2741665792,798121984,7880540160,7,18,0,6,2,8.805,2.893,88.302,0,0,25,14
2,0,8,83,12,13,82,5750,6987,23-03 14:04:48,0,113,0,0,0,4992000000,2724978688,798121984,7882010624,7,18,0,6,2,8.511,3.504,87.735,0.250,0,25,14
2,0,0,83,12,13,82,6367,7384,23-03 14:04:49,0,124,0,0,0,4973334528,2743586816,798134272,7882055680,7,18,0,6,2,8.657,3.388,87.704,0.251,0,25,14
4,0,0,83,12,13,82,5750,7605,23-03 14:04:50,0,149,0,0,0,4973887488,2742947840,798134272,7882207232,7,18,0,6,2,9.193,3.478,87.205,0.124,0,25,14
1,0,0,83,12,13,82,14393,104405,23-03 14:04:51,0,160,0,0,0,4989231104,2733072384,798146560,7876993024,7,18,0,7,2,7.935,3.904,88.035,0.126,0,25,14
1,0,8,83,12,13,82,54040,16357,23-03 14:04:52,0,163,0,0,0,4990738432,2731552768,798146560,7877263360,7,18,0,8,2,9.500,3.125,87.375,0,0,25,14
1,0,8,83,12,13,82,5917,6900,23-03 14:04:53,0,120,0,0,0,4991102976,2731188224,798146560,7876730880,7,18,0,7,2,7.915,3.015,88.945,0.126,0,25,14
