"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/raw.csv --time --raw 1 600",,,,"Date:","23 Mar 2023 13:54:36 -03"
"system","raw"
"time","raw"
23-03 13:54:36,0
23-03 13:54:37,0
23-03 13:54:38,0
23-03 13:54:39,0
23-03 13:54:40,0
23-03 13:54:41,0
23-03 13:54:42,0
23-03 13:54:43,0
23-03 13:54:44,0
23-03 13:54:45,0
23-03 13:54:46,0
23-03 13:54:47,0
23-03 13:54:48,0
23-03 13:54:49,0
23-03 13:54:50,0
23-03 13:54:51,0
23-03 13:54:52,0
23-03 13:54:53,0
23-03 13:54:54,0
23-03 13:54:55,0
23-03 13:54:56,0
23-03 13:54:57,0
23-03 13:54:58,0
23-03 13:54:59,0
23-03 13:55:00,0
23-03 13:55:01,0
23-03 13:55:02,0
23-03 13:55:03,0
23-03 13:55:04,0
23-03 13:55:05,0
23-03 13:55:06,0
23-03 13:55:07,0
23-03 13:55:08,0
23-03 13:55:09,0
23-03 13:55:10,0
23-03 13:55:11,0
23-03 13:55:12,0
23-03 13:55:13,0
23-03 13:55:14,0
23-03 13:55:15,0
23-03 13:55:16,0
23-03 13:55:17,0
23-03 13:55:18,0
23-03 13:55:19,0
23-03 13:55:20,0
23-03 13:55:21,0
23-03 13:55:22,0
23-03 13:55:23,0
23-03 13:55:24,0
23-03 13:55:25,0
23-03 13:55:26,0
23-03 13:55:27,0
23-03 13:55:28,0
23-03 13:55:29,0
23-03 13:55:30,0
23-03 13:55:31,0
23-03 13:55:32,0
23-03 13:55:33,0
23-03 13:55:34,0
23-03 13:55:35,0
23-03 13:55:36,0
23-03 13:55:37,0
23-03 13:55:38,0
23-03 13:55:39,0
23-03 13:55:40,0
23-03 13:55:41,0
23-03 13:55:42,0
23-03 13:55:43,0
