"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/raw_fs_page_time_sys_proc_zones.csv --raw --fs --page --time --sys --proc --zones 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"raw","filesystem",,"paging",,"system","system",,"procs",,,"zones memory",,,
"raw","files","inodes","in","out","time","int","csw","run","blk","new","d32F","d32H","normF","normH"
0,13824,181491,2.473,709.031,23-03 14:04:41,1469.266,6205.189,7,0,14.518,159767,3141,498567,22688
0,13952,181621,0,0,23-03 14:04:42,2776,8051,1,0,12,159767,3141,507026,22688
0,13984,181613,0,0,23-03 14:04:43,2673,6582,1,0,5,159767,3141,506789,22688
0,14016,181613,0,0,23-03 14:04:44,2653,6004,0,0,0,159767,3141,506299,22688
0,13984,181613,0,0,23-03 14:04:45,2580,5572,6,0,0,159767,3141,506012,22688
0,13984,181624,0,0,23-03 14:04:46,2428,5614,0,0,0,159767,3141,505909,22688
0,13952,181577,0,0,23-03 14:04:47,2585,6938,2,0,8,159767,3141,506257,22688
0,13984,181623,0,0,23-03 14:04:48,2546,7254,1,0,8,159767,3141,502183,22688
0,13952,181643,0,0,23-03 14:04:49,2559,6094,0,0,0,159767,3141,506726,22688
0,13984,181644,0,0,23-03 14:04:50,2651,5781,4,0,0,159767,3141,506570,22688
0,13952,180536,0,0,23-03 14:04:51,2798,6976,0,0,0,159767,3141,504159,22688
0,13952,180535,0,0,23-03 14:04:52,2778,7843,0,0,8,159767,3141,503788,22688
0,13952,180533,0,0,23-03 14:04:53,2522,6841,0,0,8,159767,3141,503699,22688
0,13920,180544,0,0,23-03 14:04:54,3887,10121,0,0,0,159767,3141,503915,22688
0,13920,180547,0,0,23-03 14:04:55,2586,6172,0,0,1,159767,3141,505979,22688
0,13952,180556,0,0,23-03 14:04:56,2461,5729,1,0,0,159767,3141,508566,22688
0,14016,180557,0,0,23-03 14:04:57,2711,7026,1,0,8,159767,3141,508289,22688
0,14016,180557,0,0,23-03 14:04:58,2639,6856,5,0,8,159767,3141,508187,22688
0,14016,180559,0,0,23-03 14:04:59,2607,6096,0,0,1,159767,3141,509926,22688
0,14016,180560,0,0,23-03 14:05:00,2623,5967,4,0,0,159767,3141,508396,22688
0,13952,181630,0,0,23-03 14:05:01,3469,35892,4,0,0,159767,3141,504956,22688
0,13984,181631,0,0,23-03 14:05:02,2907,11241,2,0,19,159767,3141,503785,22688
0,14016,181640,0,0,23-03 14:05:03,2705,7486,0,0,8,159767,3141,502666,22688
0,14048,181640,0,0,23-03 14:05:04,2479,5632,2,0,0,159767,3141,504490,22688
0,14048,181640,0,0,23-03 14:05:05,2692,6218,1,0,0,159767,3141,503891,22688
0,14048,181639,0,0,23-03 14:05:06,2630,5756,4,0,0,159767,3141,503714,22688
0,14016,181639,0,0,23-03 14:05:07,2619,6838,2,0,8,159767,3141,503294,22688
0,13984,181639,0,0,23-03 14:05:08,2542,6838,0,0,9,159767,3141,502933,22688
0,14016,181651,0,0,23-03 14:05:09,2451,5597,0,0,0,159767,3141,502877,22688
0,14016,181661,0,0,23-03 14:05:10,2809,6619,2,0,0,159767,3141,499187,22688
0,14016,181663,0,0,23-03 14:05:11,2473,5690,0,0,0,159767,3141,498952,22688
0,14016,181663,0,0,23-03 14:05:12,2601,6827,0,0,8,159767,3141,498714,22688
0,13984,181668,0,0,23-03 14:05:13,2628,7778,1,0,8,159767,3141,498498,22688
0,13984,181610,0,0,23-03 14:05:14,2564,5758,1,0,0,159767,3141,498341,22688
0,13984,181610,0,0,23-03 14:05:15,2493,5834,2,0,0,159767,3141,498310,22688
0,13984,181618,0,0,23-03 14:05:16,2517,5666,0,0,0,159767,3141,498142,22688
0,13984,181628,0,0,23-03 14:05:17,2592,7044,4,0,8,159767,3141,499286,22688
0,14048,181628,0,0,23-03 14:05:18,2609,7244,5,0,8,159767,3141,499606,22688
0,14016,181629,0,0,23-03 14:05:19,2440,5646,0,0,0,159767,3141,499450,22688
0,14016,181630,0,0,23-03 14:05:20,2672,6075,1,0,1,159767,3141,498782,22688
0,13984,181630,0,0,23-03 14:05:21,2560,6112,0,0,0,159767,3141,492944,22688
0,14016,181628,0,0,23-03 14:05:22,2566,6696,3,0,8,159767,3141,492906,22688
0,14048,181631,0,0,23-03 14:05:23,2872,8631,0,0,8,159767,3141,492877,22688
0,14048,181661,0,0,23-03 14:05:24,2605,6143,0,0,0,159767,3141,496493,22688
0,14016,181661,0,0,23-03 14:05:25,2638,6230,2,0,0,159767,3141,500506,22688
0,13984,181661,0,0,23-03 14:05:26,2595,5728,0,0,0,159767,3141,500160,22688
0,14048,181659,0,0,23-03 14:05:27,2492,6784,0,0,8,159767,3141,500582,22688
0,14048,181664,0,0,23-03 14:05:28,2661,7136,3,0,8,159767,3141,500382,22688
0,14048,181884,0,0,23-03 14:05:29,2668,5997,0,0,0,159767,3141,500953,22688
0,14048,180774,0,0,23-03 14:05:30,2535,5908,2,0,0,159767,3141,509711,22688
0,14048,180791,0,0,23-03 14:05:31,2597,5708,2,0,0,159767,3141,509335,22688
0,14080,180783,0,0,23-03 14:05:32,2800,8111,2,0,9,159767,3141,513045,22688
0,14048,180777,0,0,23-03 14:05:33,2674,7270,2,0,8,159767,3141,512053,22688
0,13984,180779,0,0,23-03 14:05:34,2588,6477,2,0,0,159767,3141,511909,22688
0,13984,180779,0,0,23-03 14:05:35,2932,9113,3,0,0,159767,3141,511512,22688
0,13984,180778,0,0,23-03 14:05:36,2484,5686,2,0,0,159767,3141,511612,22688
0,14016,180778,0,0,23-03 14:05:37,2653,6859,2,0,8,159767,3141,511437,22688
0,14016,180788,0,0,23-03 14:05:38,2580,6740,2,0,8,159767,3141,510975,22688
0,13984,181858,0,0,23-03 14:05:39,3317,35423,0,0,0,159767,3141,506082,22688
0,14016,181858,0,0,23-03 14:05:40,2608,6337,3,0,0,159767,3141,504989,22688
0,13984,181858,0,0,23-03 14:05:41,2610,5916,2,0,0,159767,3141,504284,22688
0,13984,181857,0,0,23-03 14:05:42,2704,6730,1,0,8,159767,3141,504054,22688
0,13952,181860,0,0,23-03 14:05:43,2608,6856,1,0,8,159767,3141,503747,22688
0,13984,182326,0,0,23-03 14:05:44,2631,6623,0,0,1,159767,3141,503551,22688
0,14016,182335,0,0,23-03 14:05:45,2598,6536,2,0,0,159767,3141,503337,22688
0,14016,182344,0,0,23-03 14:05:46,2583,6383,4,0,0,159767,3141,503314,22688
0,13984,182343,0,0,23-03 14:05:47,2503,6320,2,0,4,159767,3141,503319,22688
0,14016,182271,0,0,23-03 14:05:48,2687,7805,1,0,12,159767,3141,498098,22688
0,14016,182335,0,0,23-03 14:05:49,2987,7684,0,0,18,159767,3141,493633,22688
0,14048,182332,0,0,23-03 14:05:50,2599,5973,0,0,0,159767,3141,493465,22688
0,14016,182316,0,0,23-03 14:05:51,2712,6249,1,0,0,159767,3141,486951,22688
0,14016,182325,0,0,23-03 14:05:52,2495,6513,3,0,0,159767,3141,488078,22688
0,14016,182326,0,0,23-03 14:05:53,2662,8095,0,0,16,159767,3141,488239,22688
0,14080,182328,0,0,23-03 14:05:54,2494,5586,0,0,0,159767,3141,497889,22688
0,14112,182330,0,0,23-03 14:05:55,2719,7177,0,0,0,159767,3141,493730,22688
0,14080,182480,0,0,23-03 14:05:56,3849,16397,2,0,40,159767,3141,485333,22688
0,14048,182484,0,0,23-03 14:05:57,9820,12446,0,0,3,159767,3141,480302,22688
0,14048,182487,0,0,23-03 14:05:58,2825,8603,0,0,16,159767,3141,481333,22688
0,14080,182508,0,0,23-03 14:05:59,2709,6246,0,0,0,159767,3141,481876,22688
0,14080,182507,0,0,23-03 14:06:00,4185,9321,0,0,1,159767,3141,479572,22688
0,14048,182511,0,0,23-03 14:06:01,2468,5748,1,0,0,159767,3141,484656,22688
0,14080,182518,0,0,23-03 14:06:02,2751,8112,2,0,8,159767,3141,484409,22688
0,14112,182515,0,0,23-03 14:06:03,2925,8701,6,0,16,159767,3141,483658,22688
0,14112,182520,0,0,23-03 14:06:04,2529,5716,1,0,0,159767,3141,483504,22688
0,14144,182520,0,0,23-03 14:06:05,2548,5660,3,0,0,159767,3141,483270,22688
0,14144,181420,0,0,23-03 14:06:06,2760,7017,0,0,0,159767,3141,516999,22688
0,14112,181419,0,0,23-03 14:06:07,2447,5561,1,0,0,159767,3141,516739,22688
0,14144,181418,0,0,23-03 14:06:08,2705,8121,0,0,16,159767,3141,516770,22688
0,14112,181380,0,0,23-03 14:06:09,2499,5716,0,0,1,159767,3141,517512,22688
0,14112,181426,0,0,23-03 14:06:10,2651,6189,0,0,0,159767,3141,517287,22688
0,14080,181425,0,0,23-03 14:06:11,3896,10944,5,0,0,159767,3141,517030,22688
