"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/raw_sys_cpu_tcp_fs_io_zones_load_vm-adv_unix_disk_ipc.csv --raw --sys --cpu --tcp --fs --io --zones --load --vm-adv --unix --disk --ipc 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"raw","system",,"total cpu usage",,,,,"tcp sockets",,,,,"filesystem",,"io/total",,"zones memory",,,,"load avg",,,"advanced virtual memory",,,,,"unix sockets",,,,"dsk/total",,"sysv ipc",,
"raw","int","csw","usr","sys","idl","wai","stl","lis","act","syn","tim","clo","files","inodes","read","writ","d32F","d32H","normF","normH","1m","5m","15m","steal","scanK","scanD","pgoru","astll","dgm","str","lis","act","read","writ","msg","sem","shm"
0,1379.876,5062.372,4.250,1.495,94.196,0.060,0,7,15,0,7,0,12896,346051,5.210,36.480,315892,3141,206793,22176,0.470,2.120,2.910,10.938,0,0,0.004,0,56,876,54,822,141751.171,778091.589,0,0,6
0,2310,7415,4.654,2.013,93.208,0.126,0,7,14,0,7,0,13056,346156,0,0,315892,3141,203495,22176,0.470,2.120,2.910,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,675,1196,0.882,1.008,98.111,0,0,7,14,0,7,0,13056,346157,0,18,315892,3141,203372,22176,0.470,2.120,2.910,0,0,0,0,0,56,874,54,820,0,737280,0,0,6
0,837,2290,1.258,1.384,97.233,0.126,0,7,14,0,7,0,13056,346204,0,0,315892,3141,203060,22176,0.430,2.080,2.890,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,817,2226,2.141,1.259,96.599,0,0,7,14,0,7,0,13088,346214,0,0,315892,3141,203060,22176,0.430,2.080,2.890,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,769,1901,2.387,1.256,96.231,0.126,0,7,14,0,7,0,13088,346214,0,0,315892,3141,203000,22176,0.430,2.080,2.890,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,658,1124,1.384,0.629,97.862,0.126,0,7,14,0,7,0,13088,346216,0,0,315892,3141,202944,22176,0.430,2.080,2.890,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,927,1795,3.270,1.258,94.843,0.629,0,7,14,0,7,0,13088,346245,0,22,315892,3141,203197,22176,0.430,2.080,2.890,0,0,0,0,0,56,874,54,820,0,196608,0,0,6
0,831,2540,2.387,2.010,95.477,0.126,0,7,14,0,7,0,13120,346285,0,0,315892,3141,201436,22176,0.470,2.060,2.880,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,830,2437,1.635,1.006,97.358,0,0,7,14,0,6,0,13088,346290,0,0,315892,3141,198538,22176,0.470,2.060,2.880,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,951,2095,1.506,1.757,96.612,0.125,0,7,14,0,6,0,13088,345102,0,514,315892,3141,199730,22176,0.470,2.060,2.880,0,0,0,0,0,56,874,54,820,0,8208384,0,0,6
0,579,1004,1.506,1.004,97.365,0.125,0,7,14,0,6,0,13088,345099,0,0,315892,3141,199740,22176,0.470,2.060,2.880,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,653,1120,1.508,1.131,97.362,0,0,7,14,0,6,0,13088,345110,0,0,315892,3141,199684,22176,0.470,2.060,2.880,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,877,2254,2.771,1.637,95.466,0.126,0,7,14,0,6,0,13088,345109,0,20,315892,3141,199449,22176,0.440,2.030,2.870,0,0,0,0,0,56,874,54,820,0,1875968,0,0,6
0,920,2541,2.871,1.498,95.506,0.125,0,7,14,0,6,0,13184,345137,0,0,315892,3141,199587,22176,0.440,2.030,2.870,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,757,1908,1.637,0.882,97.481,0,0,7,13,1,6,1,13184,345138,0,0,315892,3141,199780,22176,0.440,2.030,2.870,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,1143,1528,2.767,0.881,96.226,0.126,0,7,14,0,7,0,13216,345184,0,0,315892,3141,196192,22176,0.440,2.030,2.870,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,658,1317,1.132,0.755,97.862,0.252,0,7,14,0,7,0,13216,345184,0,0,315892,3141,196255,22176,0.440,2.030,2.870,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,883,2338,2.008,1.631,96.110,0.251,0,7,14,0,7,0,13216,345184,0,0,315892,3141,196261,22176,0.400,1.990,2.850,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,936,2415,2.005,1.629,95.614,0.752,0,7,12,0,7,1,13184,345192,0,16,315892,3141,196204,22176,0.400,1.990,2.850,0,0,0,0,0,56,874,54,820,0,409600,0,0,6
0,586,957,2.015,0.756,97.229,0,0,7,12,0,7,1,13184,345192,0,0,315892,3141,196141,22176,0.400,1.990,2.850,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,648,1438,2.509,1.004,96.361,0.125,0,7,12,0,7,1,13184,345220,0,0,315892,3141,196141,22176,0.400,1.990,2.850,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,692,1245,0.878,0.753,98.243,0.125,0,7,12,0,6,1,13184,345221,0,0,315892,3141,196085,22176,0.400,1.990,2.850,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,764,2134,1.509,1.006,97.484,0,0,7,12,0,6,1,13184,345249,0,0,315892,3141,195834,22176,0.370,1.960,2.840,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,1045,3762,2.013,1.384,96.352,0.252,0,7,12,0,6,1,13216,345266,0,34,315892,3141,192321,22176,0.370,1.960,2.840,0,0,0,0,0,56,874,54,820,0,598016,0,0,6
0,928,1925,2.008,1.631,96.236,0.125,0,7,12,0,6,1,13216,345266,0,588,315892,3141,192473,22176,0.370,1.960,2.840,0,0,0,0,0,56,874,54,820,0,9617408,0,0,6
0,698,1788,1.380,1.129,97.365,0.125,0,7,11,1,6,2,13216,345267,0,0,315892,3141,192353,22176,0.370,1.960,2.840,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,686,1157,1.877,0.876,97.247,0,0,7,12,0,7,1,13216,345277,0,0,315892,3141,192353,22176,0.370,1.960,2.840,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,896,2743,3.137,1.255,95.483,0.125,0,7,12,0,7,1,13216,345304,0,0,315892,3141,191975,22176,0.340,1.930,2.820,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,792,2183,1.508,1.131,97.236,0.126,0,7,12,0,7,1,13216,345304,0,16,315892,3141,191981,22176,0.340,1.930,2.820,0,0,0,0,0,56,874,54,820,0,745472,0,0,6
0,650,1113,1.384,0.881,97.736,0,0,7,12,0,7,1,13216,345304,0,0,315892,3141,191800,22176,0.340,1.930,2.820,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,746,1459,1.387,1.009,97.478,0.126,0,7,12,0,7,1,13184,345350,0,0,315892,3141,190794,22176,0.340,1.930,2.820,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,706,1381,1.759,0.879,97.362,0,0,7,12,0,6,1,13184,345350,0,0,315892,3141,190798,22176,0.340,1.930,2.820,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,916,2356,1.889,1.637,96.222,0.252,0,7,12,0,6,1,13184,345352,0,0,315892,3141,190609,22176,0.390,1.910,2.810,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,991,21083,2.276,1.391,95.828,0.506,0,7,12,0,6,1,13184,345370,0,28,315892,3141,190297,22176,0.390,1.910,2.810,0,0,0,0,0,56,874,54,820,0,409600,0,0,6
0,719,1417,3.643,1.005,95.226,0.126,0,7,12,0,6,1,13184,345398,0,0,315892,3141,190300,22176,0.390,1.910,2.810,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,651,1053,1.509,0.755,97.736,0,0,7,12,0,6,1,13184,345398,0,0,315892,3141,190300,22176,0.390,1.910,2.810,0,0,0,0,0,56,874,54,820,0,0,0,0,6
0,734,1903,1.129,1.004,97.742,0.125,0,7,11,1,6,2,13184,345399,0,0,315892,3141,190300,22176,0.390,1.910,2.810,0,0,0,0,0,56,874,54,820,0,0,0,0,6
