"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/raw_vm-adv_time_sys.csv --raw --vm-adv --time --sys 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"raw","advanced virtual memory",,,,,"system","system",
"raw","steal","scanK","scanD","pgoru","astll","time","int","csw"
0,10.938,0,0,0.004,0,22-03 22:13:13,1379.889,5062.429
0,0,0,0,0,0,22-03 22:13:14,1051,1908
0,0,0,0,0,0,22-03 22:13:15,672,1182
0,0,0,0,0,0,22-03 22:13:16,861,2351
0,0,0,0,0,0,22-03 22:13:17,838,2467
0,0,0,0,0,0,22-03 22:13:18,742,1631
0,0,0,0,0,0,22-03 22:13:19,654,1117
0,0,0,0,0,0,22-03 22:13:20,929,1794
0,0,0,0,0,0,22-03 22:13:21,880,2647
0,0,0,0,0,0,22-03 22:13:22,785,2320
0,0,0,0,0,0,22-03 22:13:23,935,2103
0,0,0,0,0,0,22-03 22:13:24,585,1029
0,0,0,0,0,0,22-03 22:13:25,656,1065
0,0,0,0,0,0,22-03 22:13:26,873,2270
0,0,0,0,0,0,22-03 22:13:27,917,2553
0,0,0,0,0,0,22-03 22:13:28,763,1895
0,0,0,0,0,0,22-03 22:13:29,1160,1698
0,0,0,0,0,0,22-03 22:13:30,611,1112
0,0,0,0,0,0,22-03 22:13:31,903,2368
0,0,0,0,0,0,22-03 22:13:32,952,2411
0,0,0,0,0,0,22-03 22:13:33,570,960
0,0,0,0,0,0,22-03 22:13:34,655,1440
0,0,0,0,0,0,22-03 22:13:35,711,1254
0,0,0,0,0,0,22-03 22:13:36,866,2731
0,0,0,0,0,0,22-03 22:13:37,963,3167
0,0,0,0,0,0,22-03 22:13:38,920,1932
0,0,0,0,0,0,22-03 22:13:39,658,1766
0,0,0,0,0,0,22-03 22:13:40,689,1158
0,0,0,0,0,0,22-03 22:13:41,881,2736
0,0,0,0,0,0,22-03 22:13:42,819,2205
0,0,0,0,0,0,22-03 22:13:43,636,1093
0,0,0,0,0,0,22-03 22:13:44,760,1458
0,0,0,0,0,0,22-03 22:13:45,686,1390
0,0,0,0,0,0,22-03 22:13:46,931,2377
0,0,0,0,0,0,22-03 22:13:47,1004,21059
0,0,0,0,0,0,22-03 22:13:48,706,1444
0,0,0,0,0,0,22-03 22:13:49,647,1020
0,0,0,0,0,0,22-03 22:13:50,744,1954
0,0,0,0,0,0,22-03 22:13:51,918,2785
0,0,0,0,0,0,22-03 22:13:52,746,2284
0,0,0,0,0,0,22-03 22:13:53,620,1047
0,0,0,0,0,0,22-03 22:13:54,570,977
0,0,0,0,0,0,22-03 22:13:55,880,1642
0,0,0,0,0,0,22-03 22:13:56,872,2407
0,0,0,0,0,0,22-03 22:13:57,750,2135
0,0,0,0,0,0,22-03 22:13:58,620,1048
0,0,0,0,0,0,22-03 22:13:59,1000,2634
0,0,0,0,0,0,22-03 22:14:00,785,1395
0,0,0,0,0,0,22-03 22:14:01,787,2242
0,0,0,0,0,0,22-03 22:14:02,1135,4992
0,0,0,0,0,0,22-03 22:14:03,757,1837
0,0,0,0,0,0,22-03 22:14:04,647,1087
0,0,0,0,0,0,22-03 22:14:05,663,1177
0,0,0,0,0,0,22-03 22:14:06,818,2722
0,0,0,0,0,0,22-03 22:14:07,809,1787
0,0,0,0,0,0,22-03 22:14:08,720,1592
0,0,0,0,0,0,22-03 22:14:09,728,1513
0,0,0,0,0,0,22-03 22:14:10,719,1330
0,0,0,0,0,0,22-03 22:14:11,766,2286
0,0,0,0,0,0,22-03 22:14:12,602,1052
0,0,0,0,0,0,22-03 22:14:13,833,2326
0,0,0,0,0,0,22-03 22:14:14,908,2417
