"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/socket.csv --time --socket 1 600",,,,"Date:","23 Mar 2023 13:54:36 -03"
"system","sockets",,,,
"time","tot","tcp","udp","raw","frg"
23-03 13:54:36,1202,25,33,0,0
23-03 13:54:37,1202,25,33,0,0
23-03 13:54:38,1202,26,33,0,0
23-03 13:54:39,1203,26,33,0,0
23-03 13:54:40,1203,26,33,0,0
23-03 13:54:41,1203,26,33,0,0
23-03 13:54:42,1203,26,33,0,0
23-03 13:54:43,1202,26,33,0,0
23-03 13:54:44,1202,26,33,0,0
23-03 13:54:45,1202,26,33,0,0
23-03 13:54:46,1202,26,33,0,0
23-03 13:54:47,1202,26,33,0,0
23-03 13:54:48,1202,26,33,0,0
23-03 13:54:49,1202,26,33,0,0
23-03 13:54:50,1202,26,33,0,0
23-03 13:54:51,1202,26,33,0,0
23-03 13:54:52,1202,26,33,0,0
23-03 13:54:53,1202,26,33,0,0
23-03 13:54:54,1202,26,33,0,0
23-03 13:54:55,1202,26,33,0,0
23-03 13:54:56,1202,26,33,0,0
23-03 13:54:57,1202,26,33,0,0
23-03 13:54:58,1202,26,33,0,0
23-03 13:54:59,1202,26,33,0,0
23-03 13:55:00,1202,26,33,0,0
23-03 13:55:01,1202,26,33,0,0
23-03 13:55:02,1202,26,33,0,0
23-03 13:55:03,1202,26,33,0,0
23-03 13:55:04,1202,26,33,0,0
23-03 13:55:05,1202,26,33,0,0
23-03 13:55:06,1202,26,33,0,0
23-03 13:55:07,1202,26,33,0,0
23-03 13:55:08,1202,26,33,0,0
23-03 13:55:09,1202,26,33,0,0
23-03 13:55:10,1205,27,33,0,0
23-03 13:55:11,1205,27,33,0,0
23-03 13:55:12,1205,27,33,0,0
23-03 13:55:13,1205,27,33,0,0
23-03 13:55:14,1205,27,33,0,0
23-03 13:55:15,1206,27,33,0,0
23-03 13:55:16,1206,27,33,0,0
23-03 13:55:17,1206,27,33,0,0
23-03 13:55:18,1206,27,33,0,0
23-03 13:55:19,1206,27,33,0,0
23-03 13:55:20,1206,27,33,0,0
23-03 13:55:21,1206,27,33,0,0
23-03 13:55:22,1206,27,33,0,0
23-03 13:55:23,1210,29,33,0,0
23-03 13:55:24,1206,27,33,0,0
23-03 13:55:25,1206,27,33,0,0
23-03 13:55:26,1206,27,33,0,0
23-03 13:55:27,1207,27,33,0,0
23-03 13:55:28,1206,27,33,0,0
23-03 13:55:29,1207,27,33,0,0
23-03 13:55:30,1204,26,33,0,0
23-03 13:55:31,1204,26,33,0,0
23-03 13:55:32,1204,26,33,0,0
23-03 13:55:33,1204,26,33,0,0
23-03 13:55:34,1204,26,33,0,0
23-03 13:55:35,1204,26,33,0,0
