"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/swap.csv --time --swap 1 600",,,,"Date:","23 Mar 2023 13:54:36 -03"
"system","swap",
"time","used","free"
23-03 13:54:36,108527616,914878464
23-03 13:54:37,108527616,914878464
23-03 13:54:38,108527616,914878464
23-03 13:54:39,108527616,914878464
23-03 13:54:40,108527616,914878464
23-03 13:54:41,108527616,914878464
23-03 13:54:42,108527616,914878464
23-03 13:54:43,108527616,914878464
23-03 13:54:44,108527616,914878464
23-03 13:54:45,108527616,914878464
23-03 13:54:46,108527616,914878464
23-03 13:54:47,108527616,914878464
23-03 13:54:48,108527616,914878464
23-03 13:54:49,108527616,914878464
23-03 13:54:50,108527616,914878464
23-03 13:54:51,108527616,914878464
23-03 13:54:52,108527616,914878464
23-03 13:54:53,108527616,914878464
23-03 13:54:54,108527616,914878464
23-03 13:54:55,108527616,914878464
23-03 13:54:56,108527616,914878464
23-03 13:54:57,108527616,914878464
23-03 13:54:58,108527616,914878464
23-03 13:54:59,108527616,914878464
23-03 13:55:00,108527616,914878464
23-03 13:55:01,108527616,914878464
23-03 13:55:02,108527616,914878464
23-03 13:55:03,108527616,914878464
23-03 13:55:04,108527616,914878464
23-03 13:55:05,108527616,914878464
23-03 13:55:06,108527616,914878464
23-03 13:55:07,108527616,914878464
23-03 13:55:08,108527616,914878464
23-03 13:55:09,108527616,914878464
23-03 13:55:10,108527616,914878464
23-03 13:55:11,108527616,914878464
23-03 13:55:12,108527616,914878464
23-03 13:55:13,108527616,914878464
23-03 13:55:14,108527616,914878464
23-03 13:55:15,108527616,914878464
23-03 13:55:16,108527616,914878464
23-03 13:55:17,108527616,914878464
23-03 13:55:18,108527616,914878464
23-03 13:55:19,108527616,914878464
23-03 13:55:20,108527616,914878464
23-03 13:55:21,108527616,914878464
23-03 13:55:22,108527616,914878464
23-03 13:55:23,108527616,914878464
23-03 13:55:24,108527616,914878464
23-03 13:55:25,108527616,914878464
23-03 13:55:26,108527616,914878464
23-03 13:55:27,108527616,914878464
23-03 13:55:28,108527616,914878464
