"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/swap_page_disk_raw_vm-adv_fs_udp_unix.csv --swap --page --disk --raw --vm-adv --fs --udp --unix 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"swap",,"paging",,"dsk/total",,"raw","advanced virtual memory",,,,,"filesystem",,"udp",,"unix sockets",,,
"used","free","in","out","read","writ","raw","steal","scanK","scanD","pgoru","astll","files","inodes","lis","act","dgm","str","lis","act"
1835008,1021571072,0.465,14.621,141751.113,778091.268,0,10.938,0,0,0.004,0,12992,346113,17,7,56,876,54,822
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13056,346156,17,7,56,874,54,820
1835008,1021571072,0,0,0,737280,0,0,0,0,0,0,13056,346157,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13056,346204,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13088,346215,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13088,346214,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13088,346217,20,7,56,874,54,820
1835008,1021571072,0,0,0,196608,0,0,0,0,0,0,13088,346245,20,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13088,346290,20,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13088,346290,20,7,56,874,54,820
1835008,1021571072,0,0,0,8208384,0,0,0,0,0,0,13088,345102,20,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13088,345100,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13088,345110,17,7,56,874,54,820
1835008,1021571072,0,0,0,1875968,0,0,0,0,0,0,13088,345109,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,345137,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,345138,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13216,345187,17,7,56,876,54,822
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13216,345184,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13216,345184,17,7,56,874,54,820
1835008,1021571072,0,0,0,409600,0,0,0,0,0,0,13184,345192,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,345192,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,345220,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,345221,17,7,56,874,54,820
1835008,1021571072,0,0,0,598016,0,0,0,0,0,0,13184,345266,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13216,345266,17,7,56,874,54,820
1835008,1021571072,0,0,0,9617408,0,0,0,0,0,0,13216,345266,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13216,345267,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13216,345277,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13216,345304,17,7,56,874,54,820
1835008,1021571072,0,0,0,745472,0,0,0,0,0,0,13216,345304,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13216,345304,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,345350,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,345352,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,345352,17,7,56,874,54,820
1835008,1021571072,0,0,0,409600,0,0,0,0,0,0,13184,345370,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,345398,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,345398,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,345399,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,345443,17,7,56,874,54,820
1835008,1021571072,0,0,0,540672,0,0,0,0,0,0,13184,345443,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,345443,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,345443,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,345482,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,345481,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,345481,17,7,56,874,54,820
1835008,1021571072,0,0,0,245760,0,0,0,0,0,0,13184,345412,17,7,56,874,54,820
1835008,1021571072,0,0,32768,12394496,0,0,0,0,0,0,13184,345459,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,345459,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13216,345459,17,7,56,874,54,820
1835008,1021571072,0,0,0,1048576,0,0,0,0,0,0,13184,345497,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,345498,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,345498,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,345499,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13216,345538,17,7,56,874,54,820
1835008,1021571072,0,0,0,368640,0,0,0,0,0,0,13184,344428,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,344423,17,7,56,874,54,820
1835008,1021571072,0,0,0,1417216,0,0,0,0,0,0,13184,344451,17,7,56,874,54,820
1835008,1021571072,0,0,0,344064,0,0,0,0,0,0,13184,344461,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,344461,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,344461,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13152,344461,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,344509,17,7,56,874,54,820
1835008,1021571072,0,0,0,327680,0,0,0,0,0,0,13152,344510,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13120,344536,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13120,344544,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13120,344545,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13120,344545,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13120,344545,17,7,56,874,54,820
1835008,1021571072,0,0,0,278528,0,0,0,0,0,0,13152,344586,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13120,344591,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13120,344619,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13120,344621,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13120,344640,17,7,56,874,54,820
1835008,1021571072,0,0,0,524288,0,0,0,0,0,0,13120,344639,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13120,344638,17,7,56,874,54,820
1835008,1021571072,0,0,0,196608,0,0,0,0,0,0,13120,344639,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13152,344698,17,7,56,874,54,820
1835008,1021571072,0,0,0,98304,0,0,0,0,0,0,13152,344728,17,7,56,874,54,820
1835008,1021571072,0,0,0,540672,0,0,0,0,0,0,13152,344729,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,344736,17,7,56,874,54,820
1835008,1021571072,0,0,0,0,0,0,0,0,0,0,13184,344668,17,7,56,874,54,820
