"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/sys.csv --time --sys 1 600",,,,"Date:","23 Mar 2023 13:54:36 -03"
"system","system",
"time","int","csw"
23-03 13:54:36,1464.098,6198.853
23-03 13:54:37,3001,8291
23-03 13:54:38,2716,6745
23-03 13:54:39,2699,6357
23-03 13:54:40,2942,9398
23-03 13:54:41,2478,5869
23-03 13:54:42,2578,5834
23-03 13:54:43,2692,5920
23-03 13:54:44,2525,5737
23-03 13:54:45,2775,8450
23-03 13:54:46,2675,6531
23-03 13:54:47,2690,6312
23-03 13:54:48,2461,5762
23-03 13:54:49,2548,5776
23-03 13:54:50,3300,11237
23-03 13:54:51,2512,6279
23-03 13:54:52,2557,5881
23-03 13:54:53,2583,5786
23-03 13:54:54,2669,6665
23-03 13:54:55,2833,7436
23-03 13:54:56,2627,7202
23-03 13:54:57,4150,36910
23-03 13:54:58,2654,5849
23-03 13:54:59,2584,6055
23-03 13:55:00,2717,7423
23-03 13:55:01,2640,7099
23-03 13:55:02,2859,9372
23-03 13:55:03,2583,5943
23-03 13:55:04,2465,5743
23-03 13:55:05,2728,7189
23-03 13:55:06,2645,7012
23-03 13:55:07,2619,5951
23-03 13:55:08,2631,6635
23-03 13:55:09,2534,6229
23-03 13:55:10,2742,7347
23-03 13:55:11,2603,6996
23-03 13:55:12,2568,5704
23-03 13:55:13,2602,5837
23-03 13:55:14,2494,5768
23-03 13:55:15,3165,7696
23-03 13:55:16,2759,7115
23-03 13:55:17,2543,6171
23-03 13:55:18,2562,5812
23-03 13:55:19,2702,6894
23-03 13:55:20,2608,7268
23-03 13:55:21,2622,7047
23-03 13:55:22,2644,5801
23-03 13:55:23,2556,6008
23-03 13:55:24,2644,6518
23-03 13:55:25,2756,7127
23-03 13:55:26,2678,7413
23-03 13:55:27,2534,5764
23-03 13:55:28,2629,5824
23-03 13:55:29,2797,7497
23-03 13:55:30,2729,7454
23-03 13:55:31,4049,12434
23-03 13:55:32,2612,6320
23-03 13:55:33,2582,5862
23-03 13:55:34,2559,6002
23-03 13:55:35,3859,37018
23-03 13:55:36,2838,7960
23-03 13:55:37,2536,5730
23-03 13:55:38,2551,5808
23-03 13:55:39,2614,6293
23-03 13:55:40,2851,8710
23-03 13:55:41,2677,7296
23-03 13:55:42,2612,6012
23-03 13:55:43,2643,5852
23-03 13:55:44,2521,5748
23-03 13:55:45,2590,7117
23-03 13:55:46,2660,7016
23-03 13:55:47,2596,6260
23-03 13:55:48,2629,5829
23-03 13:55:49,3119,8014
23-03 13:55:50,2639,7103
23-03 13:55:51,2887,8377
23-03 13:55:52,2568,5763
23-03 13:55:53,2637,5866
23-03 13:55:54,2602,6425
23-03 13:55:55,2556,5985
23-03 13:55:56,3485,12592
23-03 13:55:57,2764,6209
23-03 13:55:58,2605,5909
23-03 13:55:59,2680,6598
23-03 13:56:00,2696,5951
23-03 13:56:01,2753,9291
23-03 13:56:02,2771,8441
23-03 13:56:03,2659,5951
23-03 13:56:04,2972,6127
23-03 13:56:05,2696,5964
23-03 13:56:06,2883,8860
23-03 13:56:07,4089,11088
23-03 13:56:08,2561,5841
23-03 13:56:09,2584,6333
23-03 13:56:10,2550,5759
23-03 13:56:11,2787,9084
23-03 13:56:12,2687,7021
23-03 13:56:13,3502,36176
23-03 13:56:14,2561,5718
23-03 13:56:15,2588,5806
23-03 13:56:16,2768,8271
23-03 13:56:17,2669,6329
23-03 13:56:18,2502,5786
23-03 13:56:19,2624,6114
23-03 13:56:20,2648,6235
23-03 13:56:21,2660,7228
23-03 13:56:22,2689,6935
23-03 13:56:23,2697,6772
23-03 13:56:24,2591,6182
23-03 13:56:25,2643,5854
23-03 13:56:26,2890,7889
23-03 13:56:27,2792,7167
23-03 13:56:28,2625,5829
23-03 13:56:29,2645,5737
23-03 13:56:30,2512,5863
23-03 13:56:31,2789,6882
23-03 13:56:32,2795,7614
23-03 13:56:33,2646,6940
23-03 13:56:34,2671,5881
23-03 13:56:35,2655,6150
23-03 13:56:36,2700,7032
23-03 13:56:37,2746,7571
23-03 13:56:38,2591,5910
23-03 13:56:39,2538,6163
23-03 13:56:40,2603,5921
23-03 13:56:41,2821,7917
23-03 13:56:42,2782,7409
23-03 13:56:43,2553,5876
23-03 13:56:44,2688,6637
23-03 13:56:45,2554,5828
23-03 13:56:46,2687,6949
23-03 13:56:47,2678,7373
23-03 13:56:48,3967,11251
23-03 13:56:49,2646,5736
23-03 13:56:50,3358,35495
23-03 13:56:51,2596,6997
23-03 13:56:52,2542,6913
23-03 13:56:53,2533,5817
23-03 13:56:54,2546,6233
23-03 13:56:55,2750,6796
23-03 13:56:56,2713,7482
23-03 13:56:57,2753,7343
23-03 13:56:58,2697,6019
23-03 13:56:59,2541,5884
23-03 13:57:00,2511,5837
23-03 13:57:01,2725,6958
23-03 13:57:02,2942,9966
23-03 13:57:03,2542,6009
23-03 13:57:04,2492,5732
23-03 13:57:05,2683,6853
23-03 13:57:06,2674,7000
23-03 13:57:07,2647,6916
23-03 13:57:08,2513,5918
23-03 13:57:09,2654,6210
23-03 13:57:10,2589,5812
23-03 13:57:11,2638,7007
23-03 13:57:12,2712,7379
23-03 13:57:13,2660,6030
23-03 13:57:14,2564,5780
23-03 13:57:15,2558,5767
23-03 13:57:16,2727,7844
23-03 13:57:17,2757,7636
23-03 13:57:18,2464,5815
23-03 13:57:19,2589,5915
23-03 13:57:20,2714,6270
23-03 13:57:21,2569,6708
23-03 13:57:22,2717,7216
23-03 13:57:23,4139,11325
23-03 13:57:24,2637,6288
23-03 13:57:25,2570,5803
23-03 13:57:26,2647,6043
23-03 13:57:27,2912,8843
23-03 13:57:28,3455,35870
23-03 13:57:29,2569,5920
23-03 13:57:30,2479,5817
23-03 13:57:31,2495,5766
23-03 13:57:32,2933,8511
23-03 13:57:33,2570,5816
23-03 13:57:34,2609,6300
23-03 13:57:35,2625,6042
23-03 13:57:36,2582,5762
23-03 13:57:37,2812,8153
23-03 13:57:38,2643,6694
23-03 13:57:39,3116,6361
23-03 13:57:40,2526,5801
23-03 13:57:41,2399,5684
23-03 13:57:42,2758,9249
23-03 13:57:43,2705,6036
23-03 13:57:44,2723,6296
23-03 13:57:45,2570,5755
23-03 13:57:46,2504,5751
23-03 13:57:47,3345,8723
23-03 13:57:48,2720,6722
23-03 13:57:49,2958,6353
23-03 13:57:50,2665,6104
23-03 13:57:51,2608,5680
23-03 13:57:52,2809,7844
