"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/sys_proc_mem.csv --sys --proc --mem 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"system",,"procs",,,"memory usage",,,
"int","csw","run","blk","new","used","free","buff","cach"
1379.879,5062.385,13,0,12.451,3196973056,2155909120,194342912,10574008320
2006,6103,0,0,0,3210584064,2141040640,194342912,10575216640
679,1241,1,0,0,3211079680,2140536832,194351104,10575740928
834,2260,0,0,8,3212345344,2139258880,194351104,10576535552
821,2215,3,0,8,3212345344,2139258880,194351104,10576535552
768,1915,0,0,0,3212500992,2139013120,194351104,10575568896
662,1167,0,0,0,3212730368,2138783744,194351104,10575319040
923,1737,4,0,1,3211128832,2139820032,194359296,10575876096
862,2619,1,0,8,3225047040,2125897728,194359296,10575880192
812,2416,1,0,8,3229184000,2120736768,194359296,10576904192
936,2083,1,0,0,3231596544,2125619200,194359296,10569609216
583,973,0,0,0,3231666176,2125660160,194359296,10569580544
650,1131,5,0,0,3231793152,2125430784,194359296,10570207232
883,2282,0,0,8,3232468992,2124742656,194371584,10569940992
927,2551,0,0,8,3232116736,2124787712,194371584,10569990144
752,1904,0,0,0,3230842880,2125824000,194371584,10570227712
1143,1587,2,0,0,3244503040,2111127552,194371584,10571264000
649,1230,0,0,0,3244244992,2111385600,194371584,10571264000
889,2364,0,0,8,3244466176,2111164416,194371584,10571329536
942,2373,0,0,9,3244355584,2111176704,194379776,10571419648
584,961,0,0,0,3244601344,2110918656,194379776,10571366400
650,1435,0,0,0,3244285952,2110918656,194379776,10571681792
706,1291,2,0,0,3244277760,2110689280,194379776,10572443648
793,2528,1,1,8,3249430528,2105532416,194379776,10572181504
999,3345,4,0,8,3258630144,2095292416,194396160,10572947456
925,1892,2,0,0,3258015744,2095894528,194396160,10572959744
698,1800,0,0,0,3258507264,2095403008,194396160,10572959744
686,1201,0,0,0,3258417152,2095403008,194396160,10573049856
890,2685,0,0,8,3259416576,2093854720,194396160,10573598720
800,2228,2,0,8,3259371520,2093879296,194404352,10573611008
650,1116,0,0,0,3260112896,2093137920,194404352,10573611008
745,1434,5,0,1,3263209472,2089017344,194404352,10574635008
696,1348,3,0,0,3263184896,2089033728,194404352,10575167488
920,2370,0,0,8,3263942656,2088259584,194404352,10576031744
997,21076,3,0,8,3265118208,2086981632,194412544,10574802944
716,1415,2,0,0,3264450560,2086993920,194412544,10575409152
653,1067,0,0,0,3264450560,2086993920,194412544,10575409152
737,1901,0,0,0,3264450560,2086993920,194412544,10575409152
902,2740,2,0,8,3251499008,2099929088,194412544,10575425536
750,2358,0,0,8,3250614272,2099793920,194412544,10576445440
636,1053,0,0,0,3250847744,2099552256,194420736,10576445440
575,1014,1,0,0,3250843648,2099552256,194420736,10576449536
867,1596,1,0,0,3250421760,2099322880,194420736,10577625088
864,2330,2,0,8,3250118656,2099621888,194420736,10577362944
750,2226,1,0,9,3250073600,2099666944,194420736,10577104896
641,1030,1,0,0,3250180096,2100195328,194428928,10576396288
996,2654,0,0,0,3267121152,2082217984,194445312,10577481728
783,1367,2,0,0,3263954944,2085367808,194445312,10577502208
789,2307,1,0,8,3264401408,2084913152,194445312,10577510400
1039,4427,2,0,14,3265368064,2083377152,194465792,10578059264
846,2378,1,0,4,3266027520,2082627584,194465792,10578149376
658,1112,1,0,0,3266011136,2082627584,194465792,10578165760
659,1135,0,0,0,3266527232,2082111488,194465792,10578690048
750,2285,1,0,8,3266527232,2082111488,194465792,10578423808
790,1673,0,0,0,3259891712,2094555136,194473984,10572533760
807,2135,0,0,8,3260526592,2094055424,194473984,10572398592
729,1517,0,0,1,3252617216,2101641216,194486272,10572709888
726,1359,0,0,0,3252523008,2101387264,194502656,10573041664
759,2303,3,0,8,3253018624,2100883456,194502656,10573049856
606,1021,0,0,0,3253264384,2100625408,194502656,10573062144
825,2326,0,0,8,3253981184,2099908608,194502656,10573062144
915,2459,0,0,0,3267657728,2085203968,194502656,10574090240
736,1449,0,0,0,3268157440,2084700160,194506752,10574614528
975,2767,2,0,8,3267575808,2084712448,194506752,10575966208
568,924,3,0,0,3267014656,2085269504,194506752,10574647296
805,2272,0,0,8,3267141632,2085052416,194506752,10574753792
665,1104,0,0,0,3267371008,2084823040,194506752,10574753792
651,1181,2,0,0,3267354624,2084823040,194506752,10574770176
862,2371,4,0,9,3248201728,2103967744,194514944,10574770176
809,1469,1,0,0,3236691968,2114449408,194514944,10575798272
943,2769,5,0,8,3237138432,2113736704,194514944,10576064512
560,988,2,0,0,3229581312,2121003008,194514944,10576945152
1085,20861,0,0,0,3231150080,2119208960,194514944,10576637952
889,2443,1,0,8,3232944128,2117406720,194523136,10576580608
532,941,0,0,0,3232944128,2117406720,194523136,10576515072
1004,5766,1,0,8,3230515200,2116902912,194523136,10579513344
979,5710,0,0,0,3255812096,2089304064,194523136,10590457856
901,1981,0,0,0,3260149760,2084413440,194523136,10591277056
926,2536,0,0,8,3258454016,2086096896,194531328,10592587776
998,6802,0,0,26,3260178432,2084372480,194531328,10591256576
957,2499,3,0,9,3261251584,2083868672,194531328,10590937088
639,1159,0,0,0,3261480960,2083639296,194531328,10590937088
1187,2807,0,0,1,3259912192,2085203968,194535424,10590937088
1145,3595,2,0,11,3262074880,2084118528,194535424,10590380032
1178,2404,1,0,0,3256750080,2087841792,194547712,10592235520
1081,3483,3,0,10,3256930304,2087649280,194547712,10592247808
1045,4650,0,0,14,3257036800,2087534592,194547712,10592256000
1221,2796,2,0,0,3256131584,2088341504,194547712,10591567872
1169,3496,0,0,8,3251617792,2092855296,194547712,10591567872
1052,2485,0,0,0,3242135552,2102312960,194555904,10591584256
1039,2694,2,0,8,3238162432,2106281984,194555904,10591522816
1064,2302,5,0,2,3249086464,2093772800,194555904,10593107968
944,1732,1,0,1,3251073024,2091786240,194555904,10594942976
1234,3276,0,0,9,3253121024,2089721856,194555904,10593910784
1087,6064,1,0,15,3253809152,2089013248,194555904,10594455552
1190,3188,4,0,8,3252445184,2090270720,194564096,10594029568
1195,2492,2,0,0,3251531776,2091118592,194564096,10593308672
1153,2603,5,0,0,3251220480,2091413504,194564096,10593058816
1067,2831,1,0,4,3246727168,2095349760,194564096,10593357824
975,2079,3,0,4,3254894592,2086154240,194564096,10594385920
1180,3120,0,0,8,3255779328,2085257216,194564096,10594664448
905,1934,0,0,0,3253866496,2093813760,194572288,10588270592
1292,2873,0,0,0,3254730752,2092879872,194572288,10587942912
1099,2457,0,0,0,3255730176,2091876352,194572288,10587947008
1027,2803,2,0,8,3255369728,2092236800,194572288,10588213248
1527,4908,5,0,9,3247185920,2099859456,194572288,10590081024
1192,2703,2,0,0,3266437120,2079563776,194572288,10589794304
1170,2750,7,0,0,3267555328,2078433280,194584576,10589552640
929,2045,2,0,0,3267391488,2078593024,194584576,10589491200
1551,7749,2,0,19,3268190208,2077773824,194584576,10590035968
1464,20498,1,0,8,3267440640,2078318592,194584576,10589716480
656,1262,0,0,0,3267608576,2078130176,194600960,10589720576
815,1752,0,0,0,3241652224,2103570432,194600960,10590236672
788,1540,0,0,0,3242389504,2102779904,194600960,10590748672
1474,3125,0,0,9,3238367232,2105761792,194600960,10591789056
1037,2788,2,0,11,3238674432,2106097664,194600960,10591145984
983,2252,2,0,0,3239297024,2105475072,194600960,10591145984
993,1466,3,0,1,3236028416,2108653568,194613248,10591490048
1089,2287,0,0,0,3234738176,2109927424,194613248,10591764480
1323,6480,2,0,32,3232907264,2111184896,194613248,10592862208
877,2550,3,0,8,3233607680,2110484480,194613248,10592862208
1039,2533,0,0,0,3224752128,2118307840,194613248,10592845824
734,1328,0,0,0,3224739840,2118307840,194621440,10592849920
1236,7471,3,0,0,3224489984,2117808128,194621440,10594844672
866,2310,1,0,8,3224469504,2117828608,194621440,10594045952
787,2290,3,0,8,3225591808,2116616192,194621440,10593886208
859,1730,0,0,0,3225456640,2116186112,194621440,10594983936
799,1974,1,0,0,3225903104,2115719168,194621440,10594996224
792,1341,2,0,0,3212296192,2129317888,194629632,10594721792
1049,3065,0,0,9,3234308096,2106138624,194629632,10595373056
905,2524,0,0,8,3230420992,2110025728,194629632,10596163584
692,1344,0,0,0,3231924224,2108522496,194629632,10595897344
629,1117,0,0,0,3231817728,2108522496,194629632,10595811328
757,1632,2,0,0,3231232000,2108534784,194637824,10597158912
876,2545,0,0,8,3232194560,2107572224,194637824,10596368384
831,2384,1,0,8,3232432128,2107330560,194637824,10596380672
748,1515,3,0,0,3246047232,2092658688,194637824,10598219776
700,1303,0,0,0,3245989888,2092716032,194637824,10597961728
917,2213,1,0,0,3246395392,2092310528,194637824,10597363712
933,2628,0,0,8,3247824896,2090860544,194654208,10597376000
904,2610,0,0,8,3243507712,2094534656,194654208,10598293504
610,1093,2,0,0,3243560960,2094448640,194654208,10598576128
682,1132,0,0,1,3244228608,2093756416,194654208,10598068224
664,1234,4,0,0,3244228608,2093756416,194654208,10598068224
1229,3442,2,0,8,3249291264,2087616512,194691072,10599632896
743,2316,2,0,8,3249737728,2087157760,194691072,10598789120
1156,7721,2,0,26,3252928512,2090622976,194691072,10592722944
1249,20712,2,0,1,3243298816,2099539968,194691072,10593480704
671,1119,2,0,0,3243790336,2099048448,194691072,10593480704
986,3326,2,0,8,3244179456,2098634752,194703360,10593492992
916,2561,0,0,8,3245023232,2098446336,194703360,10592837632
1374,2040,3,0,0,3258204160,2085363712,194703360,10592673792
834,1563,2,0,0,3259207680,2084360192,194703360,10592673792
805,1376,0,0,0,3259338752,2084216832,194703360,10592620544
1367,3905,5,0,9,3250339840,2092634112,194719744,10593185792
934,2608,0,0,8,3247669248,2095202304,194719744,10593288192
995,1623,6,0,0,3248422912,2094448640,194719744,10593222656
1124,5133,1,0,24,3248156672,2094714880,194719744,10593222656
733,1239,4,0,0,3248644096,2094215168,194719744,10593234944
1620,4961,3,0,8,3255795712,2086023168,194727936,10594267136
1255,4379,1,0,7,3256512512,2085285888,194727936,10594222080
1366,2434,0,0,5,3255382016,2086146048,194727936,10594492416
2743,6821,3,0,28,3271495680,2069458944,194736128,10602811392
7739,14120,1,0,8,3309948928,2030456832,194899968,10602790912
3432,6351,2,0,11,3321143296,2019639296,194990080,10603687936
745,1242,1,0,0,3320487936,2020290560,194990080,10603741184
4124,8060,4,0,10,3331653632,2007789568,195088384,10604171264
1327,1854,2,0,0,3331522560,2008018944,195088384,10603855872
885,1819,0,0,0,3329277952,2009698304,195088384,10604355584
1090,4707,0,0,16,3328372736,2010595328,195088384,10604429312
667,1121,0,0,0,3327647744,2011213824,195088384,10604535808
989,3129,1,0,8,3327123456,2011738112,195088384,10604535808
690,1194,0,0,0,3308453888,2030391296,195104768,10604470272
686,1200,2,0,0,3307433984,2031407104,195104768,10604474368
1024,2956,0,0,8,3321180160,2016608256,195104768,10605592576
788,1724,0,0,0,3314089984,2023129088,195104768,10606096384
922,2393,0,0,8,3315564544,2021650432,195104768,10606166016
1013,4200,2,0,13,3312402432,2024792064,195121152,10606170112
807,1422,0,0,1,3313041408,2024058880,195121152,10606100480
1377,3256,2,0,8,3313025024,2024058880,195121152,10606051328
865,1654,0,0,0,3312128000,2024951808,195121152,10606055424
1195,3371,3,0,9,3309965312,2026278912,195121152,10604658688
1137,3547,0,0,3,3276791808,2058694656,195129344,10601238528
1119,4430,0,0,13,3278516224,2056925184,195129344,10600300544
1099,3555,2,0,11,3278708736,2056724480,195129344,10600472576
916,20217,0,0,0,3278934016,2056290304,195129344,10600517632
1011,5267,0,0,21,3279794176,2056089600,195129344,10599858176
649,1095,0,0,0,3280072704,2055811072,195141632,10599845888
798,1248,3,0,0,3279781888,2056069120,195141632,10599649280
1177,3444,0,0,8,3298574336,2035699712,195141632,10601291776
1157,2101,0,0,0,3293491200,2047635456,195141632,10594631680
1022,2582,0,0,12,3294478336,2046648320,195141632,10594566144
1284,2102,0,0,4,3295670272,2045427712,195170304,10594631680
1283,2974,1,0,0,3295559680,2045427712,195186688,10594660352
1016,2970,1,0,8,3295784960,2045198336,195186688,10594664448
1134,2611,2,0,0,3296780288,2044194816,195186688,10594738176
1499,4477,0,0,10,3278274560,2061074432,195186688,10596364288
875,1732,0,0,0,3278237696,2061103104,195186688,10596372480
899,1791,0,0,0,3279114240,2060214272,195194880,10596376576
1373,7930,0,0,34,3280654336,2058674176,195194880,10596642816
1024,3184,2,0,6,3280646144,2058575872,195194880,10596519936
928,2295,2,0,8,3280662528,2058559488,195194880,10596519936
709,1147,5,0,0,3281887232,2057334784,195194880,10598092800
1261,2547,0,0,1,3279466496,2059436032,195203072,10596896768
1170,3935,0,0,8,3270848512,2066755584,195203072,10598195200
665,1191,2,0,0,3271585792,2065993728,195211264,10598146048
911,2477,1,0,8,3272589312,2064990208,195211264,10598211584
640,1073,0,0,0,3272589312,2064990208,195211264,10598211584
637,1184,2,0,0,3272589312,2064990208,195219456,10598203392
923,2627,3,0,4,3272962048,2064494592,195219456,10598850560
999,2300,0,0,4,3269963776,2066956288,195223552,10599841792
954,2789,2,0,8,3257126912,2078715904,195223552,10600185856
1132,2749,0,0,0,3258408960,2077429760,195223552,10599677952
1394,3269,2,0,0,3260432384,2075389952,195223552,10601529344
1472,4299,3,0,0,3260420096,2075394048,195231744,10601005056
1472,4722,2,0,9,3260698624,2075021312,195231744,10600316928
1765,5869,6,0,8,3261071360,2074640384,195235840,10601627648
1051,2382,1,0,0,3259338752,2076319744,195235840,10600108032
1442,3483,0,0,0,3259281408,2075840512,195235840,10600644608
1279,3120,2,0,0,3281170432,2052911104,195235840,10603016192
1397,4369,4,0,8,3282173952,2051899392,195244032,10603257856
1892,5831,2,0,8,3280842752,2053210112,195248128,10603032576
1203,19249,1,0,0,3251015680,2083692544,195248128,10602618880
992,2185,0,0,0,3250778112,2083717120,195248128,10601500672
1338,3500,1,0,0,3252011008,2082439168,195248128,10601304064
1623,5427,2,0,8,3236966400,2096939008,195248128,10603421696
1667,5738,2,0,8,3240427520,2092617728,195280896,10602676224
1724,4662,1,0,2,3240816640,2092023808,195280896,10603651072
821,1401,1,0,0,3240747008,2092093440,195280896,10603900928
1023,4569,0,0,11,3241222144,2091614208,195280896,10603380736
980,2581,0,0,8,3240816640,2091917312,195280896,10602893312
1030,3087,1,0,8,3240415232,2092257280,195293184,10602942464
692,1202,1,0,0,3240132608,2092011520,195293184,10603470848
744,1219,1,0,0,3240378368,2091765760,195293184,10603470848
887,1716,0,0,0,3259285504,2071801856,195293184,10604527616
885,2361,2,0,8,3249348608,2084667392,195293184,10603171840
988,2681,2,0,8,3248775168,2089254912,195293184,10597814272
643,1197,4,0,0,3248902144,2089115648,195305472,10597576704
959,2462,1,0,0,3251118080,2086793216,195305472,10597748736
625,1167,0,0,0,3251060736,2086277120,195305472,10598387712
951,2482,0,0,9,3251269632,2086068224,195305472,10598256640
927,2859,2,0,8,3260030976,2077413376,195305472,10598150144
694,1321,0,0,0,3261243392,2076200960,195305472,10598739968
803,1563,1,0,0,3261693952,2075725824,195317760,10599534592
574,1042,2,0,0,3260063744,2077356032,195317760,10598211584
909,2942,1,0,8,3248316416,2088972288,195317760,10598359040
1283,5618,0,0,21,3245346816,2091405312,195317760,10598895616
1033,7783,0,0,0,3243712512,2090913792,195317760,10601578496
696,1278,0,0,0,3245236224,2089390080,195317760,10602508288
962,2670,0,0,0,3248787456,2084790272,195325952,10603266048
986,2580,0,0,8,3248717824,2084855808,195325952,10602741760
752,2398,2,0,8,3250290688,2083266560,195342336,10602491904
842,1589,1,0,1,3252559872,2080985088,195342336,10603028480
695,1292,0,0,0,3251892224,2080985088,195342336,10602631168
858,2174,2,0,1,3251867648,2081009664,195342336,10602897408
853,2490,2,0,8,3252314112,2080550912,195350528,10603892736
786,2490,1,0,7,3272364032,2059448320,195350528,10603888640
873,2068,3,0,1,3275771904,2056708096,195358720,10603229184
741,1440,0,0,0,3276017664,2056462336,195358720,10604285952
698,1363,1,0,0,3274653696,2057781248,195358720,10604048384
