"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/tcp_fs_mem_vm_swap_socket_net_zones_aio.csv --tcp --fs --mem --vm --swap --socket --net --zones --aio 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"tcp sockets",,,,,"filesystem",,"memory usage",,,,"virtual memory",,,,"swap",,"sockets",,,,,"net/total",,"zones memory",,,,"async"
"lis","act","syn","tim","clo","files","inodes","used","free","buff","cach","majpf","minpf","alloc","free","used","free","tot","tcp","udp","raw","frg","recv","send","d32F","d32H","normF","normH","#aio"
7,18,0,7,2,13728,181412,5019086848,2698305536,798113792,7881936896,0.234,5095.240,5578.979,5648.606,108527616,914878464,1205,23,34,0,0,0,0,159767,3141,495167,22688,0
7,18,0,7,2,13952,181616,4971479040,2745790464,798113792,7882616832,0,9475,11067,26316,108527616,914878464,1205,23,34,0,0,17040,12902,159767,3141,507264,22688,0
7,18,0,7,2,13984,181617,4973424640,2743844864,798113792,7884247040,1,2060,2986,2137,108527616,914878464,1205,23,34,0,0,8597,9427,159767,3141,506789,22688,0
7,18,0,7,2,13984,181613,4975362048,2741837824,798121984,7881789440,0,1057,2141,2319,108527616,914878464,1205,23,34,0,0,6432,7632,159767,3141,506299,22688,0
7,18,0,7,2,13984,181613,4976537600,2740662272,798121984,7881789440,0,29,492,639,108527616,914878464,1205,23,34,0,0,5750,7350,159767,3141,506012,22688,0
7,18,0,7,2,13984,181624,4976869376,2740240384,798121984,7882403840,0,1146,1545,1061,108527616,914878464,1205,23,34,0,0,5880,6850,159767,3141,505909,22688,0
7,18,0,6,2,13952,181578,4977344512,2741362688,798121984,7880806400,0,1316,1871,2264,108527616,914878464,1205,23,34,0,0,5860,6907,159767,3141,506183,22688,0
7,18,0,6,2,13984,181623,4991770624,2725208064,798121984,7882010624,0,7043,8781,3576,108527616,914878464,1205,23,34,0,0,5750,6850,159767,3141,502239,22688,0
7,18,0,6,2,13952,181643,4973096960,2743824384,798134272,7882055680,0,1006,2314,7578,108527616,914878464,1205,23,34,0,0,6261,7521,159767,3141,506784,22688,0
7,18,0,6,2,13984,181644,4974157824,2742677504,798134272,7882207232,0,262,527,519,108527616,914878464,1205,23,34,0,0,5856,7468,159767,3141,506504,22688,0
7,17,1,6,3,13952,180535,4988772352,2733531136,798146560,7876726784,0,7717,9541,7942,108527616,914878464,1206,24,34,0,0,13400,102363,159767,3141,504271,22688,0
7,18,0,8,2,13952,180535,4991025152,2731266048,798146560,7877263360,0,1652,2423,2485,108527616,914878464,1205,23,34,0,0,55033,18399,159767,3141,503718,22688,0
7,18,0,7,2,13952,180535,4991143936,2731147264,798146560,7877263360,0,1308,1862,1861,108527616,914878464,1205,23,34,0,0,5917,7174,159767,3141,503689,22688,0
7,18,0,7,2,13920,180543,4990787584,2731413504,798146560,7876763648,0,801,1065,848,108527616,914878464,1205,23,34,0,0,6029,7195,159767,3141,503754,22688,0
7,18,0,7,2,13920,180544,4981035008,2740957184,798146560,7877033984,0,6023,8856,11206,108527616,914878464,1205,23,34,0,0,5860,7539,159767,3141,506084,22688,0
7,18,0,7,2,13952,180557,4970889216,2751119360,798146560,7877038080,0,220,727,3549,108527616,914878464,1205,23,34,0,0,5750,7110,159767,3141,508565,22688,0
7,18,0,6,2,14016,180556,4972007424,2749988864,798158848,7876972544,0,1328,2049,2054,108527616,914878464,1205,23,34,0,0,5860,7044,159767,3141,508289,22688,0
7,18,0,6,2,14016,180557,4972421120,2749571072,798162944,7877496832,0,1531,2035,1900,108527616,914878464,1205,23,34,0,0,6456,7296,159767,3141,508187,22688,0
7,18,0,6,2,14016,180568,4965031936,2756952064,798171136,7877758976,0,993,1652,2364,108527616,914878464,1214,23,43,0,0,6068,8166,159767,3141,509989,22688,0
7,18,0,7,2,14016,180560,4971536384,2750427136,798171136,7877054464,0,3027,4553,1698,108527616,914878464,1206,23,34,0,0,15475,17192,159767,3141,508396,22688,0
7,18,0,7,2,13952,181630,4980572160,2736336896,798179328,7882100736,0,39537,61395,54327,108527616,914878464,1206,23,34,0,0,5750,6992,159767,3141,504956,22688,0
7,18,0,8,2,13984,181631,4985212928,2731540480,798179328,7882256384,1,4152,4242,4239,108527616,914878464,1206,23,34,0,0,18333,11375,159767,3141,503785,22688,0
7,18,0,8,2,14016,181686,5004308480,2710597632,798179328,7884103680,0,7096,8909,3658,108527616,914878464,1206,23,34,0,0,10458,8282,159767,3141,498672,22688,0
7,18,0,8,2,14048,181640,4982112256,2734428160,798179328,7882928128,0,55,667,6757,108527616,914878464,1206,23,34,0,0,6029,7474,159767,3141,504490,22688,0
7,18,0,8,2,14048,181641,4984098816,2732433408,798179328,7883001856,0,42,1147,1111,108527616,914878464,1206,23,34,0,0,6034,7044,159767,3141,504003,22688,0
7,18,0,8,2,14016,181640,4985278464,2731249664,798179328,7882481664,0,445,662,1298,108527616,914878464,1206,23,34,0,0,6404,7208,159767,3141,503714,22688,0
7,18,0,8,2,14016,181639,4986978304,2729529344,798195712,7882420224,0,1318,2211,2192,108527616,914878464,1206,23,34,0,0,6132,7353,159767,3141,503294,22688,0
7,18,0,8,2,14016,181639,4988456960,2728050688,798195712,7882420224,0,1743,1993,2287,108527616,914878464,1206,23,34,0,0,5860,7044,159767,3141,502933,22688,0
7,18,0,7,2,14016,181650,4988588032,2727821312,798195712,7883042816,0,236,826,613,108527616,914878464,1206,23,34,0,0,5750,6850,159767,3141,502877,22688,0
7,18,0,7,2,14016,181661,5003685888,2712723456,798203904,7883100160,0,6289,8484,3160,108527616,914878464,1206,23,34,0,0,5750,6850,159767,3141,499191,22688,0
7,18,1,7,2,14016,181663,5004472320,2711744512,798203904,7882768384,0,220,645,731,108527616,914878464,1209,24,34,0,0,6616,8089,159767,3141,498952,22688,0
7,18,1,7,2,14016,181663,5005443072,2710769664,798203904,7882772480,0,1960,2503,1935,108527616,914878464,1209,24,34,0,0,5880,7316,159767,3141,498714,22688,0
7,18,1,8,2,13984,181663,5006364672,2709848064,798203904,7882772480,0,1358,1969,1950,108527616,914878464,1209,24,34,0,0,23415,13278,159767,3141,498489,22688,0
7,18,1,8,2,13984,181608,5006770176,2709700608,798203904,7882485760,0,331,615,674,108527616,914878464,1209,24,34,0,0,6241,7793,159767,3141,498453,22688,0
7,18,1,8,2,13984,181610,5007101952,2709360640,798216192,7883071488,0,42,1246,1083,108527616,914878464,1209,24,34,0,0,5750,6850,159767,3141,498370,22688,0
7,18,1,8,2,13984,181620,5008031744,2708426752,798216192,7883075584,0,385,872,1223,108527616,914878464,1209,24,34,0,0,5860,7544,159767,3141,498142,22688,0
7,18,1,8,2,13984,181628,5003214848,2713112576,798216192,7882616832,0,1399,1957,2999,108527616,914878464,1209,24,34,0,0,5880,6831,159767,3141,499286,22688,0
7,18,1,8,2,14048,181628,5001904128,2714423296,798216192,7882616832,0,6756,8348,8471,108527616,914878464,1209,24,34,0,0,6146,7502,159767,3141,499606,22688,0
7,18,1,8,2,14016,181628,5002178560,2713997312,798216192,7882768384,0,52,505,488,108527616,914878464,1209,24,34,0,0,5934,7044,159767,3141,499502,22688,0
7,18,1,7,2,14016,181629,5004095488,2712080384,798228480,7882821632,0,309,1270,1273,108527616,914878464,1209,24,34,0,0,5880,6850,159767,3141,499034,22688,0
7,18,1,7,2,13984,181630,5029027840,2687135744,798228480,7883358208,0,7917,9569,2248,108527616,914878464,1209,24,34,0,0,9477,18413,159767,3141,492944,22688,0
7,18,1,7,2,14016,181630,5029715968,2686447616,798228480,7883358208,0,1538,1859,1896,108527616,914878464,1209,24,34,0,0,6008,7262,159767,3141,492776,22688,0
7,19,2,7,2,14048,181630,5029289984,2686861312,798228480,7882780672,0,1412,2087,2689,108527616,914878464,1211,26,34,0,0,7794,12789,159767,3141,492877,22688,0
7,20,1,8,1,14048,181660,5014478848,2701672448,798228480,7882780672,0,1076,1728,3183,108527616,914878464,1210,25,34,0,0,38868,14355,159767,3141,496493,22688,0
7,20,1,8,1,14016,181661,4997697536,2718109696,798228480,7883190272,0,1069,2877,7267,108527616,914878464,1210,25,34,0,0,5880,7105,159767,3141,500506,22688,0
7,20,1,8,1,13984,181662,4999077888,2716692480,798228480,7883751424,0,420,803,858,108527616,914878464,1210,25,34,0,0,5750,7056,159767,3141,500160,22688,0
7,20,1,8,1,14048,181660,4998160384,2717593600,798228480,7883702272,0,1331,1862,2220,108527616,914878464,1210,25,34,0,0,5860,7402,159767,3141,500380,22688,0
7,22,1,8,1,14048,181664,4998152192,2717601792,798228480,7883177984,0,1320,1888,2137,108527616,914878464,1214,27,34,0,0,8322,11850,159767,3141,500382,22688,0
7,20,1,8,2,14048,181885,4997091328,2718650368,798228480,7883423744,0,473,2261,3271,108527616,914878464,1210,26,34,0,0,17648,12111,159767,3141,500898,22688,0
7,20,1,7,1,14048,180774,4965289984,2755772416,798240768,7877922816,0,260,1616,13174,108527616,914878464,1209,25,34,0,0,6120,7440,159767,3141,509701,22688,0
7,20,0,7,1,14048,180791,4966817792,2754273280,798248960,7877873664,0,412,1075,722,108527616,914878464,1206,24,34,0,0,5880,6968,159767,3141,509335,22688,0
7,20,0,8,1,14080,180784,4951347200,2769698816,798248960,7878443008,0,1626,2230,5215,108527616,914878464,1206,24,34,0,0,23007,13909,159767,3141,513101,22688,0
7,20,0,8,1,14048,180778,4956327936,2764607488,798248960,7878488064,0,7058,8851,6498,108527616,914878464,1206,24,34,0,0,5917,7037,159767,3141,511858,22688,0
7,20,0,9,1,14016,180778,4956078080,2764816384,798248960,7878004736,0,293,572,721,108527616,914878464,1206,24,34,0,0,17292,11994,159767,3141,511909,22688,0
7,20,0,9,1,13984,180779,4959059968,2761834496,798248960,7878070272,0,61,1499,891,108527616,914878464,1206,24,34,0,0,11818,8362,159767,3141,511337,22688,0
7,20,0,9,1,13984,180779,4957028352,2764038144,798248960,7878074368,0,190,1633,2680,108527616,914878464,1206,24,34,0,0,6052,7062,159767,3141,511719,22688,0
7,20,0,9,1,14016,180777,4957401088,2763657216,798253056,7878012928,0,1365,2085,2091,108527616,914878464,1206,24,34,0,0,5860,7662,159767,3141,511626,22688,0
7,20,0,9,1,14016,180788,4960055296,2760990720,798253056,7878549504,0,2037,2531,1906,108527616,914878464,1206,24,34,0,0,6313,7483,159767,3141,510975,22688,0
7,20,0,9,1,13984,181858,4974907392,2740948992,798253056,7883739136,0,39333,61109,55448,108527616,914878464,1206,24,34,0,0,5750,6987,159767,3141,506082,22688,0
7,20,0,8,1,14016,181858,4979159040,2736697344,798253056,7883280384,0,6621,8360,5925,108527616,914878464,1206,24,34,0,0,5860,7186,159767,3141,505044,22688,0
7,20,0,8,1,13984,181858,4980363264,2735345664,798253056,7883427840,0,208,1311,1412,108527616,914878464,1206,24,34,0,0,5750,6968,159767,3141,504714,22688,0
7,20,0,8,1,13984,181857,4983054336,2732642304,798261248,7883431936,0,727,1179,1160,108527616,914878464,1206,24,34,0,0,5954,7208,159767,3141,504054,22688,0
7,20,0,8,1,13952,181857,4984311808,2731384832,798261248,7883366400,0,2158,2891,3234,108527616,914878464,1206,24,34,0,0,5860,7044,159767,3141,503747,22688,0
7,19,1,8,2,13984,182325,4985147392,2730541056,798261248,7883898880,0,731,5096,4741,108527616,914878464,1207,25,34,0,0,6706,9042,159767,3141,503541,22688,0
7,20,0,10,1,14016,182336,4986535936,2729148416,798261248,7883968512,0,248,822,2255,108527616,914878464,1206,24,34,0,0,39850,18604,159767,3141,503201,22688,0
7,20,0,10,1,14016,182345,4986028032,2729611264,798261248,7883489280,0,444,1199,1602,108527616,914878464,1206,24,34,0,0,5836,7098,159767,3141,503314,22688,0
7,20,0,10,1,13984,182345,4985909248,2729631744,798265344,7883583488,0,39,570,557,108527616,914878464,1206,24,34,0,0,5750,6713,159767,3141,503319,22688,0
7,20,0,10,1,14016,182272,5007081472,2708492288,798265344,7883550720,0,8071,9930,4516,108527616,914878464,1206,24,34,0,0,5966,7760,159767,3141,498158,22688,0
7,20,0,10,1,14016,182334,5025980416,2689691648,798265344,7902478336,0,8405,12289,3756,108527616,914878464,1210,24,34,0,0,7032,8128,159767,3141,493568,22688,0
