"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/time_lock_aio_int_vm_vm-adv_mem.csv --time --lock --aio --int --vm --vm-adv --mem 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"system","file locks",,,,"async","interrupts",,,"virtual memory",,,,"advanced virtual memory",,,,,"memory usage",,,
"time","pos","lck","rea","wri","#aio","138","139","140","majpf","minpf","alloc","free","steal","scanK","scanD","pgoru","astll","used","free","buff","cach"
22-03 22:13:13,56,12,10,58,0,0.000,43.105,0.023,0.293,4123.078,4509.118,4562.806,10.938,0,0,0.004,0,3196973056,2155909120,194342912,10574008320
22-03 22:13:14,56,12,10,58,0,0,20,0,0,6155,7348,2325,0,0,0,0,0,3210584064,2141040640,194342912,10575216640
22-03 22:13:15,56,12,10,58,0,0,17,0,0,26,316,167,0,0,0,0,0,3211079680,2140536832,194351104,10575740928
22-03 22:13:16,56,12,10,58,0,0,15,0,0,1309,1629,1506,0,0,0,0,0,3212345344,2139258880,194351104,10576535552
22-03 22:13:17,56,12,10,58,0,0,18,0,0,1946,1743,1398,0,0,0,0,0,3212345344,2139258880,194351104,10576535552
22-03 22:13:18,56,12,10,58,0,0,40,0,0,64,152,382,0,0,0,0,0,3212500992,2139013120,194351104,10575568896
22-03 22:13:19,56,12,10,58,0,0,32,0,0,6,77,91,0,0,0,0,0,3212730368,2138783744,194351104,10575319040
22-03 22:13:20,56,12,10,58,0,0,18,0,0,1759,1909,1043,0,0,0,0,0,3211128832,2139820032,194359296,10575876096
22-03 22:13:21,56,12,10,58,0,0,16,0,0,6555,7067,2227,0,0,0,0,0,3228393472,2122285056,194359296,10576146432
22-03 22:13:22,56,12,10,58,0,0,16,0,0,1313,1633,1340,0,0,0,0,0,3229184000,2120736768,194359296,10576904192
22-03 22:13:23,56,12,10,58,0,0,15,0,0,27,1139,3310,0,0,0,0,0,3231596544,2125619200,194359296,10569609216
22-03 22:13:24,56,12,10,58,0,0,16,0,0,51,121,224,0,0,0,0,0,3231666176,2125660160,194359296,10569580544
22-03 22:13:25,56,12,10,58,0,0,34,0,0,382,277,70,0,0,0,0,0,3231793152,2125430784,194359296,10570207232
