"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/tpc.csv --time --tcp 1 600",,,,"Date:","22 Mar 2023 22:03:09 -03"
"system","tcp sockets",,,,
"time","lis","act","syn","tim","clo"
22-03 22:03:09,7,12,0,6,0
22-03 22:03:10,7,10,1,6,1
22-03 22:03:11,7,10,0,6,1
22-03 22:03:12,7,10,0,6,1
22-03 22:03:13,7,10,0,6,1
22-03 22:03:14,7,10,0,7,1
22-03 22:03:15,7,10,0,7,1
22-03 22:03:16,7,10,0,7,1
22-03 22:03:17,7,10,0,7,1
22-03 22:03:18,7,10,0,7,1
22-03 22:03:19,7,10,0,6,1
22-03 22:03:20,7,10,0,6,1
22-03 22:03:21,7,10,0,6,1
22-03 22:03:22,7,10,0,6,1
22-03 22:03:23,7,10,0,6,1
22-03 22:03:24,7,10,0,6,1
22-03 22:03:25,7,10,0,7,1
22-03 22:03:26,7,10,0,7,1
22-03 22:03:27,7,10,0,7,1
22-03 22:03:28,7,10,0,7,1
22-03 22:03:29,7,10,0,7,1
22-03 22:03:30,7,10,0,7,1
22-03 22:03:31,7,10,0,6,1
22-03 22:03:32,7,9,0,6,1
22-03 22:03:33,7,8,0,6,2
22-03 22:03:34,7,8,0,6,2
22-03 22:03:35,7,8,0,6,2
22-03 22:03:36,7,8,0,7,2
22-03 22:03:37,7,8,0,7,2
22-03 22:03:38,7,8,0,7,2
22-03 22:03:39,7,8,0,7,2
22-03 22:03:40,7,8,0,7,2
22-03 22:03:41,7,8,0,6,2
22-03 22:03:42,7,8,0,6,2
22-03 22:03:43,7,8,0,6,2
22-03 22:03:44,7,8,0,6,2
22-03 22:03:45,7,8,0,6,2
22-03 22:03:46,7,7,1,6,3
22-03 22:03:47,7,8,0,7,2
22-03 22:03:48,7,8,0,7,2
22-03 22:03:49,7,8,0,7,2
22-03 22:03:50,7,8,0,7,2
22-03 22:03:51,7,8,0,7,2
22-03 22:03:52,7,8,0,7,2
22-03 22:03:53,7,8,0,7,2
22-03 22:03:54,7,8,0,6,2
22-03 22:03:55,7,8,0,6,2
22-03 22:03:56,7,8,0,6,2
22-03 22:03:57,7,7,1,6,3
22-03 22:03:58,7,8,0,7,2
22-03 22:03:59,7,8,0,7,2
22-03 22:04:00,7,8,0,7,2
22-03 22:04:01,7,8,0,7,2
22-03 22:04:02,7,8,0,7,2
22-03 22:04:03,7,8,0,7,2
22-03 22:04:04,7,8,0,6,2
22-03 22:04:05,7,8,0,6,2
22-03 22:04:06,7,8,0,6,2
22-03 22:04:07,7,8,0,6,2
22-03 22:04:08,7,8,0,7,2
22-03 22:04:09,7,8,0,7,2
22-03 22:04:10,7,8,0,7,2
22-03 22:04:11,7,8,0,7,2
22-03 22:04:12,7,8,0,7,2
22-03 22:04:13,7,8,0,7,2
22-03 22:04:14,7,8,0,6,2
22-03 22:04:15,7,8,0,6,2
22-03 22:04:16,7,8,0,6,2
22-03 22:04:17,7,8,0,6,2
22-03 22:04:18,7,8,0,6,2
22-03 22:04:19,7,8,0,7,2
22-03 22:04:20,7,8,0,7,2
22-03 22:04:21,7,8,0,7,2
22-03 22:04:22,7,8,0,7,2
22-03 22:04:23,7,8,0,7,2
22-03 22:04:24,7,8,0,6,2
22-03 22:04:25,7,8,0,7,2
22-03 22:04:26,7,8,0,6,2
22-03 22:04:27,7,8,0,6,2
