"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/udp_cpu_int.csv --udp --cpu --int 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"udp",,"total cpu usage",,,,,"interrupts",,
"lis","act","usr","sys","idl","wai","stl","138","139","140"
25,14,4.312,1.589,94.001,0.097,0,0.000,44.063,0.018
25,14,10.323,4.229,85.323,0.124,0,0,129,0
25,14,8.081,2.904,88.889,0.126,0,0,126,0
25,14,12.547,3.011,84.316,0.125,0,0,154,0
25,14,8.050,2.390,89.560,0,0,0,117,0
25,14,8.966,2.740,88.169,0.125,0,0,118,0
25,14,8.586,2.778,88.636,0,0,0,115,0
25,14,8.728,3.616,87.406,0.249,0,0,112,0
25,14,8.647,3.383,87.719,0.251,0,0,125,0
25,14,8.966,3.362,87.547,0.125,0,0,148,0
25,14,8.166,4.020,87.688,0.126,0,0,158,0
25,14,9.512,3.254,87.234,0,0,0,165,0
25,14,7.799,2.893,89.182,0.126,0,0,120,0
25,14,9.476,2.993,87.406,0.125,0,0,118,0
25,14,9.102,3.242,87.656,0,0,0,119,0
25,14,8.260,3.254,88.360,0.125,0,0,160,0
25,14,8.920,2.764,88.317,0,0,0,120,0
25,14,9.080,3.483,87.189,0.249,0,0,121,0
25,15,8.105,3.491,88.279,0.125,0,0,126,0
25,15,9.227,2.868,87.781,0.125,0,0,152,0
25,15,9.677,4.218,85.980,0.124,0,0,113,0
25,15,10.370,4.074,85.432,0.123,0,0,176,0
25,15,9.136,3.129,87.735,0,0,0,120,0
25,15,8.479,2.743,88.653,0.125,0,0,118,0
25,15,9.181,2.730,88.089,0,0,0,120,0
25,15,9.204,2.736,87.935,0.124,0,0,122,0
25,15,9.035,3.465,87.376,0.124,0,0,114,0
25,15,9.023,2.381,88.596,0,0,0,158,0
25,15,9.840,2.460,87.577,0.123,0,0,115,0
25,16,9.913,3.594,86.369,0.124,0,0,119,0
25,15,9.294,3.222,87.485,0,0,0,116,0
25,15,9.328,2.736,87.811,0.124,0,0,112,0
25,15,8.842,3.736,87.422,0,0,0,145,0
25,15,9.938,2.857,86.957,0.248,0,0,155,0
25,15,9.618,2.836,86.806,0.740,0,0,119,0
25,15,9.889,2.719,87.392,0,0,0,119,0
25,15,8.636,3.004,88.235,0.125,0,0,116,0
25,15,9.352,3.367,87.282,0,0,0,121,0
25,15,8.532,2.384,88.959,0.125,0,0,120,0
25,15,10.693,2.795,85.784,0.729,0,0,154,0
25,15,9.630,3.086,87.160,0.123,0,0,138,0
25,15,8.375,3.250,88.375,0,0,0,120,0
25,15,10.851,3.576,85.450,0.123,0,0,138,0
25,15,9.259,3.210,87.284,0.247,0,0,147,0
25,15,9.170,3.222,86.865,0.743,0,0,115,0
25,15,9.852,2.833,87.192,0.123,0,0,157,0
25,15,9.630,2.963,87.407,0,0,0,120,0
25,15,8.856,3.936,87.085,0.123,0,0,131,0
25,14,12.393,3.558,83.804,0.245,0,0,136,0
25,14,10.049,4.167,85.784,0,0,0,117,0
25,14,10.552,3.313,86.012,0.123,0,0,115,0
25,14,10.050,3.722,86.104,0.124,0,0,183,0
25,14,11.192,3.893,84.915,0,0,0,120,0
25,14,10.234,3.576,86.067,0.123,0,0,138,0
25,14,8.426,3.841,87.361,0.372,0,0,126,0
25,14,10.074,3.440,86.364,0.123,0,0,120,0
25,14,9.622,3.410,86.967,0,0,0,124,0
25,14,10.209,3.690,85.978,0.123,0,0,155,0
25,14,10.723,3.367,85.910,0,0,0,117,0
25,14,10.294,3.676,85.907,0.123,0,0,117,0
25,14,9.471,3.321,87.085,0.123,0,0,116,0
25,14,9.441,3.602,86.957,0,0,0,115,0
25,14,9.069,3.676,87.132,0.123,0,0,118,0
25,14,10,3.333,86.667,0,0,0,166,0
25,14,10.396,3.218,86.262,0.124,0,0,165,0
25,14,8.979,3.444,87.208,0.369,0,0,116,0
25,14,9.618,3.699,86.683,0,0,0,116,0
25,14,9.535,4.645,85.697,0.122,0,0,123,0
25,14,11.714,3.576,84.710,0,0,0,130,0
25,14,9.705,2.826,87.346,0.123,0,0,154,0
25,14,9.901,2.970,86.757,0.371,0,0,129,0
25,14,8.834,3.804,87.239,0.123,0,0,131,0
25,14,9.506,3.704,86.667,0.123,0,0,137,0
25,14,9.804,3.676,86.520,0,0,0,118,0
25,15,9.975,3.818,86.084,0.123,0,0,154,0
25,16,13.252,5.767,80.736,0.245,0,0,199,0
25,17,17.488,4.064,77.833,0.616,0,0,157,0
25,17,8.685,4.218,86.973,0.124,0,0,130,0
25,17,9.914,3.672,86.169,0.245,0,0,125,0
25,17,14.095,4.131,81.531,0.243,0,0,149,0
25,17,10.623,3.175,86.081,0.122,0,0,115,0
25,17,10.097,4.623,85.158,0.122,0,0,158,0
25,17,9.594,4.305,86.101,0,0,0,114,0
28,17,9.744,4.629,85.505,0.122,0,0,122,0
28,17,8.529,3.461,88.010,0,0,0,115,0
28,17,10.481,3.822,85.327,0.370,0,0,138,0
28,17,9.091,3.808,87.101,0,0,0,123,0
28,17,8.578,4.657,86.642,0.123,0,0,150,0
25,17,9.448,3.436,87.117,0,0,0,120,0
25,17,9.792,3.060,87.026,0.122,0,0,118,0
25,17,9.236,4.064,86.576,0.123,0,0,114,0
25,17,9.780,3.790,86.430,0,0,0,115,0
25,17,9.291,4.890,85.697,0.122,0,0,121,0
25,17,9.191,3.431,87.377,0,0,0,169,0
25,17,10.417,3.922,85.539,0.123,0,0,123,0
25,17,10.037,4.162,85.312,0.490,0,0,122,0
25,17,10.247,4.444,85.309,0,0,0,143,0
25,17,10.610,4.634,84.634,0.122,0,0,119,0
25,17,9.693,4.294,85.890,0.123,0,0,119,0
25,17,9.135,3.898,86.845,0.122,0,0,146,0
25,17,9.768,3.907,86.203,0.122,0,0,138,0
25,17,8.593,2.740,88.667,0,0,0,115,0
25,17,8.902,4.512,86.463,0.122,0,0,111,0
25,16,10.194,3.883,85.922,0,0,0,117,0
25,15,9.717,3.198,86.962,0.123,0,0,115,0
25,15,11.411,3.558,84.785,0.245,0,0,144,0
25,15,11.273,4.242,84.364,0.121,0,0,124,0
25,15,9.753,3.704,86.543,0,0,0,141,0
25,14,9.360,3.818,86.700,0.123,0,0,118,0
25,14,9.914,4.406,85.679,0,0,0,119,0
25,14,10.366,3.049,86.220,0.366,0,0,118,0
25,14,10.513,3.178,86.186,0.122,0,0,158,0
25,14,9.448,4.172,86.380,0,0,0,118,0
25,14,9.406,3.465,87.005,0.124,0,0,117,0
25,14,8.856,3.075,88.069,0,0,0,118,0
25,14,9.571,2.945,87.239,0.245,0,0,119,0
25,15,8.802,3.912,87.164,0.122,0,0,118,0
25,14,10.307,3.558,86.012,0.123,0,0,184,0
25,14,8.845,3.931,87.101,0.123,0,0,131,0
25,14,9.147,3.337,87.515,0,0,0,116,0
25,14,9.951,3.317,86.609,0.123,0,0,121,0
25,14,9.717,3.690,86.470,0.123,0,0,114,0
25,14,9.282,3.713,87.005,0,0,0,112,0
25,14,8.809,3.846,87.221,0.124,0,0,163,0
25,14,9.559,3.186,87.132,0.123,0,0,115,0
25,14,9.606,3.079,87.315,0,0,0,120,0
25,14,10.260,3.832,85.785,0.124,0,0,117,0
25,14,9.988,3.699,86.190,0.123,0,0,118,0
25,14,9.889,4.079,86.032,0,0,0,139,0
25,14,10.197,3.071,86.609,0.123,0,0,161,0
25,14,9.601,2.618,87.781,0,0,0,145,0
25,14,15.006,2.829,82.042,0.123,0,0,130,0
25,14,9.689,3.354,86.832,0.124,0,0,146,0
25,14,10.701,3.936,85.240,0.123,0,0,123,0
25,15,9.618,3.206,87.176,0,0,0,128,0
25,15,9.406,3.218,87.376,0,0,0,163,0
25,15,9.360,3.079,87.315,0.246,0,0,123,0
25,15,9.471,3.936,86.470,0.123,0,0,123,0
25,15,9.901,3.589,86.386,0.124,0,0,117,0
25,15,10.269,2.934,86.675,0.122,0,0,137,0
25,15,8.375,2.750,88.750,0.125,0,0,115,0
25,15,10.824,3.690,85.363,0.123,0,0,158,0
25,15,10.319,3.440,86.241,0,0,0,118,0
25,15,9.889,3.461,86.279,0.371,0,0,122,0
25,15,9.877,3.086,86.914,0.123,0,0,131,0
25,15,9.765,2.719,87.515,0,0,0,130,0
25,15,8.437,2.854,88.586,0.124,0,0,114,0
25,15,8.867,4.310,86.700,0.123,0,0,166,0
25,15,8.706,2.612,88.557,0.124,0,0,114,0
25,15,9.988,3.206,86.683,0.123,0,0,129,0
25,15,9.975,3.448,86.576,0,0,0,129,0
25,15,9.547,3.427,86.903,0.122,0,0,114,0
25,15,8.728,3.491,87.781,0,0,0,117,0
25,15,9.630,3.210,87.037,0.123,0,0,142,0
25,15,9.777,2.970,87.129,0.124,0,0,115,0
25,15,9.453,3.109,87.438,0,0,0,120,0
25,15,9.613,2.497,87.765,0.125,0,0,115,0
25,15,9.114,3.246,87.516,0.125,0,0,125,0
25,15,9.001,3.699,87.176,0.123,0,0,115,0
25,15,9.136,3.086,87.778,0,0,0,140,0
25,15,10.159,3.672,86.047,0.122,0,0,164,0
25,15,8.603,2.868,88.404,0.125,0,0,117,0
25,15,9.080,4.353,86.318,0.249,0,0,118,0
25,14,8.603,3.990,87.406,0,0,0,114,0
25,14,9.225,3.075,87.577,0.123,0,0,117,0
25,14,9.170,3.346,87.485,0,0,0,149,0
25,14,9.317,2.733,87.826,0.124,0,0,116,0
25,14,8.966,2.740,88.294,0,0,0,118,0
25,14,8.657,3.639,87.578,0.125,0,0,127,0
25,14,9.113,3.571,87.315,0,0,0,116,0
25,14,9.453,2.985,87.438,0.124,0,0,120,0
25,14,9.204,4.602,86.070,0.124,0,0,173,0
25,14,9.406,3.465,87.129,0,0,0,121,0
25,14,9.193,4.099,86.584,0.124,0,0,119,0
25,14,9.889,2.967,87.021,0.124,0,0,117,0
25,14,9.765,3.090,87.145,0,0,0,115,0
25,14,9.057,3.102,87.717,0.124,0,0,116,0
25,14,8.820,3.106,87.826,0.248,0,0,158,0
25,14,7.421,3.899,88.553,0.126,0,0,118,0
25,14,7.960,3.483,88.557,0,0,0,115,0
25,14,8.706,3.358,87.811,0.124,0,0,117,0
25,14,9.091,3.487,87.173,0.249,0,0,134,0
25,14,8.489,3.246,88.015,0.250,0,0,127,0
25,14,9.375,3.375,87.250,0,0,0,166,0
25,14,8.663,3.342,87.871,0.124,0,0,115,0
25,14,7.915,2.889,89.196,0,0,0,115,0
25,14,9.601,2.618,87.656,0.125,0,0,115,0
25,14,8.458,3.731,87.313,0.498,0,0,120,0
25,14,8.989,3.371,87.516,0.125,0,0,123,0
25,14,8.354,3.616,87.905,0.125,0,0,156,0
25,14,9.114,3.121,87.765,0,0,0,127,0
25,14,8.922,3.222,87.732,0.124,0,0,117,0
25,14,9.363,2.747,87.266,0.624,0,0,152,0
25,14,9.114,2.996,87.765,0.125,0,0,121,0
25,14,7.848,3.038,88.987,0.127,0,0,121,0
25,14,10.012,3.337,86.650,0,0,0,205,0
25,14,9.068,3.230,87.578,0.124,0,0,116,0
25,14,9.565,2.733,87.329,0.373,0,0,122,0
25,14,9.765,3.832,86.279,0.124,0,0,112,0
25,14,8.260,3.755,87.860,0.125,0,0,116,0
