"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/unix.csv --time --unix 1 600",,,,"Date:","23 Mar 2023 13:54:36 -03"
"system","unix sockets",,,
"time","dgm","str","lis","act"
23-03 13:54:36,56,975,55,920
23-03 13:54:37,56,975,55,920
23-03 13:54:38,56,975,55,920
23-03 13:54:39,56,975,55,920
23-03 13:54:40,56,975,55,920
23-03 13:54:41,56,975,55,920
23-03 13:54:42,56,975,55,920
23-03 13:54:43,56,975,55,920
23-03 13:54:44,56,975,55,920
23-03 13:54:45,56,975,55,920
23-03 13:54:46,56,975,55,920
23-03 13:54:47,56,975,55,920
23-03 13:54:48,56,975,55,920
23-03 13:54:49,56,975,55,920
23-03 13:54:50,56,975,55,920
23-03 13:54:51,56,975,55,920
23-03 13:54:52,56,975,55,920
23-03 13:54:53,56,975,55,920
23-03 13:54:54,56,975,55,920
23-03 13:54:55,56,975,55,920
23-03 13:54:56,56,975,55,920
23-03 13:54:57,56,975,55,920
23-03 13:54:58,56,975,55,920
23-03 13:54:59,56,975,55,920
23-03 13:55:00,56,975,55,920
23-03 13:55:01,56,975,55,920
23-03 13:55:02,56,975,55,920
23-03 13:55:03,56,975,55,920
23-03 13:55:04,56,975,55,920
23-03 13:55:05,56,975,55,920
23-03 13:55:06,56,975,55,920
23-03 13:55:07,56,975,55,920
23-03 13:55:08,56,975,55,920
23-03 13:55:09,56,975,55,920
23-03 13:55:10,56,977,55,922
23-03 13:55:11,56,977,55,922
23-03 13:55:12,56,977,55,922
23-03 13:55:13,56,977,55,922
23-03 13:55:14,56,977,55,922
23-03 13:55:15,56,977,55,922
23-03 13:55:16,56,977,55,922
23-03 13:55:17,56,977,55,922
23-03 13:55:18,56,977,55,922
23-03 13:55:19,56,977,55,922
23-03 13:55:20,56,977,55,922
23-03 13:55:21,56,977,55,922
23-03 13:55:22,56,977,55,922
23-03 13:55:23,56,979,55,924
23-03 13:55:24,56,977,55,922
23-03 13:55:25,56,977,55,922
23-03 13:55:26,56,977,55,922
23-03 13:55:27,56,977,55,922
23-03 13:55:28,56,977,55,922
23-03 13:55:29,56,977,55,922
23-03 13:55:30,56,975,55,920
23-03 13:55:31,56,975,55,920
23-03 13:55:32,56,975,55,920
23-03 13:55:33,56,975,55,920
23-03 13:55:34,56,975,55,920
23-03 13:55:35,56,975,55,920
23-03 13:55:36,56,975,55,920
23-03 13:55:37,56,975,55,920
23-03 13:55:38,56,975,55,920
23-03 13:55:39,56,975,55,920
23-03 13:55:40,56,975,55,920
23-03 13:55:41,56,975,55,920
23-03 13:55:42,56,975,55,920
23-03 13:55:43,56,975,55,920
23-03 13:55:44,56,975,55,920
23-03 13:55:45,56,977,55,922
23-03 13:55:46,56,975,55,920
23-03 13:55:47,56,975,55,920
23-03 13:55:48,56,975,55,920
23-03 13:55:49,56,979,55,924
23-03 13:55:50,56,979,55,924
23-03 13:55:51,56,979,55,924
23-03 13:55:52,56,979,55,924
23-03 13:55:53,56,979,55,924
23-03 13:55:54,56,979,55,924
23-03 13:55:55,56,979,55,924
23-03 13:55:56,56,995,55,940
23-03 13:55:57,56,995,55,940
23-03 13:55:58,56,995,55,940
23-03 13:55:59,56,995,55,940
23-03 13:56:00,56,995,55,940
23-03 13:56:01,56,995,55,940
23-03 13:56:02,56,995,55,940
23-03 13:56:03,56,995,55,940
23-03 13:56:04,56,995,55,940
23-03 13:56:05,56,995,55,940
23-03 13:56:06,56,995,55,940
23-03 13:56:07,56,995,55,940
23-03 13:56:08,56,995,55,940
23-03 13:56:09,56,995,55,940
23-03 13:56:10,56,995,55,940
23-03 13:56:11,56,979,55,924
23-03 13:56:12,56,979,55,924
23-03 13:56:13,56,979,55,924
23-03 13:56:14,56,979,55,924
23-03 13:56:15,56,979,55,924
23-03 13:56:16,56,979,55,924
23-03 13:56:17,56,979,55,924
23-03 13:56:18,56,979,55,924
23-03 13:56:19,56,975,55,920
23-03 13:56:20,56,975,55,920
23-03 13:56:21,56,975,55,920
23-03 13:56:22,56,975,55,920
23-03 13:56:23,56,975,55,920
23-03 13:56:24,56,975,55,920
23-03 13:56:25,56,975,55,920
23-03 13:56:26,56,975,55,920
23-03 13:56:27,56,975,55,920
23-03 13:56:28,56,975,55,920
23-03 13:56:29,56,975,55,920
23-03 13:56:30,56,975,55,920
23-03 13:56:31,56,975,55,920
23-03 13:56:32,56,975,55,920
23-03 13:56:33,56,975,55,920
23-03 13:56:34,56,975,55,920
23-03 13:56:35,56,975,55,920
23-03 13:56:36,56,975,55,920
23-03 13:56:37,56,975,55,920
23-03 13:56:38,56,975,55,920
23-03 13:56:39,56,975,55,920
23-03 13:56:40,56,975,55,920
23-03 13:56:41,56,975,55,920
23-03 13:56:42,56,975,55,920
23-03 13:56:43,56,975,55,920
23-03 13:56:44,56,975,55,920
23-03 13:56:45,56,975,55,920
23-03 13:56:46,56,975,55,920
23-03 13:56:47,56,975,55,920
23-03 13:56:48,56,975,55,920
23-03 13:56:49,56,975,55,920
23-03 13:56:50,56,975,55,920
23-03 13:56:51,56,975,55,920
23-03 13:56:52,56,975,55,920
23-03 13:56:53,56,975,55,920
23-03 13:56:54,56,975,55,920
23-03 13:56:55,56,975,55,920
23-03 13:56:56,56,975,55,920
23-03 13:56:57,56,975,55,920
23-03 13:56:58,56,975,55,920
23-03 13:56:59,56,975,55,920
23-03 13:57:00,56,975,55,920
23-03 13:57:01,56,975,55,920
23-03 13:57:02,56,975,55,920
23-03 13:57:03,56,975,55,920
23-03 13:57:04,56,975,55,920
23-03 13:57:05,56,975,55,920
23-03 13:57:06,56,975,55,920
23-03 13:57:07,56,975,55,920
23-03 13:57:08,56,975,55,920
23-03 13:57:09,56,975,55,920
23-03 13:57:10,56,975,55,920
23-03 13:57:11,56,975,55,920
23-03 13:57:12,56,975,55,920
23-03 13:57:13,56,975,55,920
23-03 13:57:14,56,975,55,920
23-03 13:57:15,56,975,55,920
23-03 13:57:16,56,975,55,920
23-03 13:57:17,56,975,55,920
23-03 13:57:18,56,975,55,920
23-03 13:57:19,56,975,55,920
23-03 13:57:20,56,975,55,920
23-03 13:57:21,56,975,55,920
23-03 13:57:22,56,975,55,920
23-03 13:57:23,56,975,55,920
23-03 13:57:24,56,975,55,920
23-03 13:57:25,56,975,55,920
23-03 13:57:26,56,975,55,920
23-03 13:57:27,56,975,55,920
23-03 13:57:28,56,975,55,920
23-03 13:57:29,56,975,55,920
23-03 13:57:30,56,975,55,920
23-03 13:57:31,56,975,55,920
23-03 13:57:32,56,975,55,920
23-03 13:57:33,56,975,55,920
23-03 13:57:34,56,975,55,920
23-03 13:57:35,56,975,55,920
23-03 13:57:36,56,975,55,920
23-03 13:57:37,56,975,55,920
23-03 13:57:38,56,975,55,920
23-03 13:57:39,56,975,55,920
23-03 13:57:40,56,975,55,920
23-03 13:57:41,56,975,55,920
23-03 13:57:42,56,975,55,920
23-03 13:57:43,56,975,55,920
23-03 13:57:44,56,975,55,920
23-03 13:57:45,56,975,55,920
23-03 13:57:46,56,975,55,920
23-03 13:57:47,56,975,55,920
23-03 13:57:48,56,975,55,920
23-03 13:57:49,56,975,55,920
23-03 13:57:50,56,975,55,920
23-03 13:57:51,56,975,55,920
23-03 13:57:52,56,975,55,920
23-03 13:57:53,56,975,55,920
23-03 13:57:54,56,975,55,920
23-03 13:57:55,56,975,55,920
23-03 13:57:56,56,975,55,920
23-03 13:57:57,56,975,55,920
23-03 13:57:58,56,975,55,920
23-03 13:57:59,56,975,55,920
23-03 13:58:00,56,979,55,924
23-03 13:58:01,56,981,55,926
23-03 13:58:02,56,983,55,928
23-03 13:58:03,56,985,55,930
23-03 13:58:04,56,985,55,930
23-03 13:58:05,56,985,55,930
23-03 13:58:06,56,985,55,930
23-03 13:58:07,56,985,55,930
23-03 13:58:08,56,985,55,930
23-03 13:58:09,56,985,55,930
23-03 13:58:10,56,985,55,930
23-03 13:58:11,56,981,55,926
23-03 13:58:12,56,981,55,926
23-03 13:58:13,56,981,55,926
23-03 13:58:14,56,981,55,926
23-03 13:58:15,56,981,55,926
23-03 13:58:16,56,983,55,928
23-03 13:58:17,56,981,55,926
23-03 13:58:18,56,981,55,926
23-03 13:58:19,56,981,55,926
23-03 13:58:20,56,981,55,926
23-03 13:58:21,56,981,55,926
23-03 13:58:22,56,981,55,926
23-03 13:58:23,56,981,55,926
23-03 13:58:24,56,981,55,926
23-03 13:58:25,56,981,55,926
23-03 13:58:26,56,981,55,926
23-03 13:58:27,56,981,55,926
23-03 13:58:28,56,981,55,926
