"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/unix_disk_net_aio_vm-adv_udp.csv --unix --disk --net --aio --vm-adv --udp 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"unix sockets",,,,"dsk/total",,"net/total",,"async","advanced virtual memory",,,,,"udp",
"dgm","str","lis","act","read","writ","recv","send","#aio","steal","scanK","scanD","pgoru","astll","lis","act"
56,876,54,822,141751.157,778091.509,0,0,0,10.938,0,0,0.004,0,17,7
56,874,54,820,0,0,345,172,0,0,0,0,0,0,17,7
56,874,54,820,0,737280,78,464,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,136,74,0,0,0,0,0,0,17,10
56,874,54,820,0,0,17261,5940,0,0,0,0,0,0,17,7
56,874,54,820,0,0,167,1107,0,0,0,0,0,0,20,7
56,874,54,820,0,196608,0,1278,0,0,0,0,0,0,20,7
56,874,54,820,0,0,0,920,0,0,0,0,0,0,20,7
56,874,54,820,0,0,0,920,0,0,0,0,0,0,20,7
56,874,54,820,0,8208384,0,0,0,0,0,0,0,0,20,7
56,874,54,820,0,0,119,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,82,358,0,0,0,0,0,0,17,7
56,874,54,820,0,1875968,167,187,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,298,1707,0,0,0,0,0,0,17,7
56,876,54,822,0,0,16923,4233,0,0,0,0,0,0,17,7
56,874,54,820,0,0,167,259,0,0,0,0,0,0,17,7
56,874,54,820,0,0,229,545,0,0,0,0,0,0,17,7
56,874,54,820,0,409600,548,537,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,424,0,0,0,0,0,0,0,17,7
56,874,54,820,0,20480,0,358,0,0,0,0,0,0,17,7
56,874,54,820,0,577536,1249,3192,0,0,0,0,0,0,17,7
56,874,54,820,0,9617408,30242,2814,0,0,0,0,0,0,17,7
56,874,54,820,0,0,298,1707,0,0,0,0,0,0,17,7
56,874,54,820,0,0,16923,4193,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,358,0,0,0,0,0,0,17,7
56,874,54,820,0,745472,167,187,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,407,187,0,0,0,0,0,0,17,7
56,874,54,820,0,0,167,187,0,0,0,0,0,0,17,7
56,874,54,820,0,409600,0,358,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,505,1966,0,0,0,0,0,0,17,7
56,874,54,820,0,0,12800,3474,0,0,0,0,0,0,17,7
56,874,54,820,0,0,698,358,0,0,0,0,0,0,17,7
56,874,54,820,0,540672,7158,1318,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,86,106,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,167,187,0,0,0,0,0,0,17,7
56,874,54,820,0,245760,0,0,0,0,0,0,0,0,17,7
56,874,54,820,32768,12394496,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,1066,836,0,0,0,0,0,0,17,7
56,874,54,820,0,0,106,0,0,0,0,0,0,0,17,7
56,874,54,820,0,1048576,82,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,1659,4592,0,0,0,0,0,0,17,7
56,874,54,820,0,0,15562,1410,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,167,187,0,0,0,0,0,0,17,7
56,874,54,820,0,368640,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,1417216,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,344064,237,259,0,0,0,0,0,0,17,7
56,874,54,820,0,0,229,187,0,0,0,0,0,0,17,7
56,874,54,820,0,0,167,187,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,15817,5309,0,0,0,0,0,0,17,7
56,874,54,820,0,327680,1404,631,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,358,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,56,74,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,278528,167,187,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,358,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,13007,5100,0,0,0,0,0,0,17,7
56,874,54,820,0,524288,5031,1631,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,196608,0,358,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,98304,334,446,0,0,0,0,0,0,17,7
56,874,54,820,0,540672,229,187,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,358,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,8192,5210112,240,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,1619,4490,0,0,0,0,0,0,17,7
56,874,54,820,0,770048,15797,1410,0,0,0,0,0,0,17,7
56,874,54,820,0,0,1328,3550,0,0,0,0,0,0,17,7
56,874,54,820,0,0,30349,3014,0,0,0,0,0,0,17,7
56,874,54,820,0,0,128,106,0,0,0,0,0,0,17,7
56,874,54,820,0,3383296,82,0,0,0,0,0,0,0,17,7
56,874,54,820,0,557056,213,187,0,0,0,0,0,0,17,7
56,874,54,820,0,0,167,187,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,358,0,0,0,0,0,0,17,7
56,874,54,820,0,0,124,106,0,0,0,0,0,0,17,7
56,874,54,820,0,2048000,167,187,0,0,0,0,0,0,17,7
56,874,54,820,0,0,1619,4490,0,0,0,0,0,0,17,7
56,874,54,820,0,622592,15602,1324,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,358,0,0,0,0,0,0,17,7
56,874,54,820,0,0,637,259,0,0,0,0,0,0,17,7
56,874,54,820,0,1294336,229,187,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,13926,6872,0,0,0,0,0,0,17,7
56,874,54,820,0,450560,163,619,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,3563520,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,1701,4552,0,0,0,0,0,0,17,7
56,874,54,820,0,0,15602,1768,0,0,0,0,0,0,17,7
56,874,54,820,0,1875968,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,3309568,0,0,0,0,0,0,0,0,17,7
56,874,54,820,8192,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,688128,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,358,0,0,0,0,0,0,17,7
56,874,54,820,0,1015808,167,187,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,1659,4490,0,0,0,0,0,0,17,7
56,874,54,820,0,712704,15799,1941,0,0,0,0,0,0,17,7
56,874,54,820,0,6275072,311,187,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,16045,6010,0,0,0,0,0,0,17,7
56,874,54,820,0,786432,2147,2012,0,0,0,0,0,0,17,7
56,874,54,820,0,4349952,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,920,0,0,0,0,0,0,20,7
56,874,54,820,0,0,16401,7086,0,0,0,0,0,0,20,7
56,874,54,820,0,524288,2974,3514,0,0,0,0,0,0,20,7
56,874,54,820,0,1327104,425,1907,0,0,0,0,0,0,20,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,20,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,326,106,0,0,0,0,0,0,17,7
56,874,54,820,0,360448,167,545,0,0,0,0,0,0,17,7
56,874,54,820,0,2293760,167,187,0,0,0,0,0,0,17,7
