"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/unix_disk_sys_udp_cpu_ipc_load_lock_vm_io_raw_mem.csv --unix --disk --sys --udp --cpu --ipc --load --lock --vm --io --raw --mem 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"unix sockets",,,,"dsk/total",,"system",,"udp",,"total cpu usage",,,,,"sysv ipc",,,"load avg",,,"file locks",,,,"virtual memory",,,,"io/total",,"raw","memory usage",,,
"dgm","str","lis","act","read","writ","int","csw","lis","act","usr","sys","idl","wai","stl","msg","sem","shm","1m","5m","15m","pos","lck","rea","wri","majpf","minpf","alloc","free","read","writ","raw","used","free","buff","cach"
56,876,54,822,141751.142,778091.428,1379.886,5062.414,17,7,4.250,1.495,94.195,0.060,0,0,0,6,0.470,2.120,2.910,56,12,10,58,0.293,4123.079,4509.120,4562.805,5.210,36.480,0,3196973056,2155909120,194342912,10574008320
56,874,54,820,0,0,1323,3388,17,7,2.648,1.639,95.586,0.126,0,0,0,6,0.470,2.120,2.910,56,12,10,58,0,5898,7076,2255,0,0,0,3210584064,2141040640,194342912,10575216640
56,874,54,820,0,737280,677,1170,17,7,0.879,1.005,98.116,0,0,0,0,6,0.470,2.120,2.910,56,12,10,58,0,21,338,191,0,18,0,3211079680,2140536832,194351104,10575740928
56,874,54,820,0,0,847,2335,17,7,1.387,1.261,97.226,0.126,0,0,0,6,0.430,2.080,2.890,56,12,10,58,0,1307,1603,1484,0,0,0,3212345344,2139258880,194351104,10576535552
56,874,54,820,0,0,838,2287,17,7,2.753,1.627,95.620,0,0,0,0,6,0.430,2.080,2.890,56,12,10,58,0,1981,1757,1413,0,0,0,3212591104,2139013120,194351104,10576535552
56,874,54,820,0,0,748,1843,17,7,1.770,1.011,97.092,0.126,0,0,0,6,0.430,2.080,2.890,56,12,10,58,0,29,135,365,0,0,0,3212500992,2139013120,194351104,10575568896
56,874,54,820,0,0,658,1123,20,7,1.508,0.628,97.739,0.126,0,0,0,6,0.430,2.080,2.890,56,12,10,58,0,7,142,136,0,0,0,3212730368,2138783744,194351104,10575319040
56,874,54,820,0,196608,934,1779,20,7,3.630,1.502,94.243,0.626,0,0,0,6,0.430,2.080,2.890,56,12,10,58,0,1758,1858,1012,0,22,0,3211128832,2139820032,194359296,10575876096
56,874,54,820,0,0,869,2644,20,7,2.276,1.643,95.954,0.126,0,0,0,6,0.470,2.060,2.880,56,12,10,58,0,6583,7319,2210,0,0,0,3228377088,2121768960,194359296,10576678912
56,874,54,820,0,0,788,2325,20,7,1.382,0.879,97.739,0,0,0,0,6,0.470,2.060,2.880,56,12,10,58,0,1285,1393,1368,0,0,0,3229184000,2120736768,194359296,10576904192
56,874,54,820,0,8208384,938,2110,20,7,1.378,1.880,96.617,0.125,0,0,0,6,0.470,2.060,2.880,56,12,10,58,0,27,1114,3286,0,514,0,3231596544,2125619200,194359296,10569609216
56,874,54,820,0,0,598,1041,17,7,1.509,1.006,97.358,0.126,0,0,0,6,0.470,2.060,2.880,56,12,10,58,0,51,116,218,0,0,0,3231666176,2125660160,194359296,10569580544
56,874,54,820,0,0,644,1061,17,7,2,1.375,96.625,0,0,0,0,6,0.470,2.060,2.880,56,12,10,58,0,382,302,95,0,0,0,3231793152,2125430784,194359296,10570207232
56,874,54,820,0,1875968,880,2271,17,7,2.276,1.391,96.207,0.126,0,0,0,6,0.440,2.030,2.870,56,12,10,58,0,1288,1573,1693,0,20,0,3232223232,2124988416,194371584,10569682944
