"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/unix_mem_swap_page_raw.csv --unix --mem --swap --page --raw 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"unix sockets",,,,"memory usage",,,,"swap",,"paging",,"raw"
"dgm","str","lis","act","used","free","buff","cach","used","free","in","out","raw"
56,981,55,926,5021401088,2695991296,798113792,7881936896,108527616,914878464,2.473,709.031,0
56,981,55,926,4971941888,2745327616,798113792,7882616832,108527616,914878464,0,0,0
56,981,55,926,4973424640,2743844864,798113792,7882383360,108527616,914878464,0,0,0
56,981,55,926,4975362048,2741837824,798121984,7881789440,108527616,914878464,0,0,0
56,981,55,926,4976537600,2740662272,798121984,7881789440,108527616,914878464,0,0,0
56,981,55,926,4976869376,2740240384,798121984,7882403840,108527616,914878464,0,0,0
56,981,55,926,4977573888,2741133312,798121984,7880806400,108527616,914878464,0,0,0
56,981,55,926,4992000000,2724978688,798121984,7882010624,108527616,914878464,0,0,0
56,981,55,926,4973334528,2743586816,798134272,7882055680,108527616,914878464,0,0,0
56,981,55,926,4973887488,2742947840,798134272,7882207232,108527616,914878464,0,0,0
56,981,55,926,4988751872,2733551616,798146560,7876726784,108527616,914878464,0,0,0
56,981,55,926,4991025152,2731266048,798146560,7877263360,108527616,914878464,0,0,0
56,981,55,926,4991143936,2731147264,798146560,7877263360,108527616,914878464,0,0,0
56,981,55,926,4990734336,2731466752,798146560,7876763648,108527616,914878464,0,0,0
56,981,55,926,4981035008,2740957184,798146560,7877033984,108527616,914878464,0,0,0
56,981,55,926,4970610688,2751397888,798158848,7877025792,108527616,914878464,0,0,0
56,981,55,926,4972007424,2749988864,798158848,7876972544,108527616,914878464,0,0,0
56,981,55,926,4972421120,2749571072,798162944,7877496832,108527616,914878464,0,0,0
56,981,55,926,4965289984,2756694016,798171136,7877758976,108527616,914878464,0,0,0
56,981,55,926,4971536384,2750427136,798171136,7877054464,108527616,914878464,0,0,0
56,981,55,926,4980572160,2736336896,798179328,7882100736,108527616,914878464,0,0,0
56,981,55,926,4985212928,2731540480,798179328,7882256384,108527616,914878464,0,0,0
56,981,55,926,5005295616,2709606400,798179328,7884374016,108527616,914878464,0,0,0
56,981,55,926,4982112256,2734428160,798179328,7882928128,108527616,914878464,0,0,0
56,981,55,926,4984098816,2732433408,798179328,7883001856,108527616,914878464,0,0,0
56,981,55,926,4985278464,2731249664,798195712,7882465280,108527616,914878464,0,0,0
56,981,55,926,4986978304,2729529344,798195712,7882420224,108527616,914878464,0,0,0
56,981,55,926,4988452864,2728050688,798195712,7882424320,108527616,914878464,0,0,0
56,981,55,926,4988588032,2727821312,798195712,7883042816,108527616,914878464,0,0,0
56,981,55,926,5003685888,2712723456,798203904,7883100160,108527616,914878464,0,0,0
56,983,55,928,5004472320,2711744512,798203904,7882768384,108527616,914878464,0,0,0
56,983,55,928,5005443072,2710769664,798203904,7882772480,108527616,914878464,0,0,0
56,983,55,928,5006594048,2709618688,798203904,7882772480,108527616,914878464,0,0,0
56,983,55,928,5007228928,2709241856,798203904,7882485760,108527616,914878464,0,0,0
56,983,55,928,5007347712,2709114880,798216192,7883071488,108527616,914878464,0,0,0
56,983,55,928,5008031744,2708426752,798216192,7883075584,108527616,914878464,0,0,0
56,983,55,928,5003214848,2713112576,798216192,7882616832,108527616,914878464,0,0,0
56,983,55,928,5001904128,2714423296,798216192,7882616832,108527616,914878464,0,0,0
56,983,55,928,5002653696,2713522176,798216192,7882768384,108527616,914878464,0,0,0
56,983,55,928,5004095488,2712080384,798228480,7882821632,108527616,914878464,0,0,0
56,983,55,928,5029027840,2687135744,798228480,7883358208,108527616,914878464,0,0,0
