"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/unix_page_time_io_aio_raw.csv --unix --page --time --io --aio --raw 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"unix sockets",,,,"paging",,"system","io/total",,"async","raw"
"dgm","str","lis","act","in","out","time","read","writ","#aio","raw"
56,876,54,822,0.465,14.621,22-03 22:13:13,5.210,36.480,0,0
56,876,54,822,0,0,22-03 22:13:14,0,0,0,0
56,874,54,820,0,0,22-03 22:13:15,0,18,0,0
56,874,54,820,0,0,22-03 22:13:16,0,0,0,0
56,874,54,820,0,0,22-03 22:13:17,0,0,0,0
56,874,54,820,0,0,22-03 22:13:18,0,0,0,0
56,874,54,820,0,0,22-03 22:13:19,0,0,0,0
56,874,54,820,0,0,22-03 22:13:20,0,22,0,0
56,874,54,820,0,0,22-03 22:13:21,0,0,0,0
56,874,54,820,0,0,22-03 22:13:22,0,0,0,0
56,874,54,820,0,0,22-03 22:13:23,0,514,0,0
56,874,54,820,0,0,22-03 22:13:24,0,0,0,0
56,874,54,820,0,0,22-03 22:13:25,0,0,0,0
56,874,54,820,0,0,22-03 22:13:26,0,20,0,0
56,874,54,820,0,0,22-03 22:13:27,0,0,0,0
56,874,54,820,0,0,22-03 22:13:28,0,0,0,0
56,874,54,820,0,0,22-03 22:13:29,0,0,0,0
56,874,54,820,0,0,22-03 22:13:30,0,0,0,0
56,874,54,820,0,0,22-03 22:13:31,0,0,0,0
56,874,54,820,0,0,22-03 22:13:32,0,16,0,0
56,874,54,820,0,0,22-03 22:13:33,0,0,0,0
56,874,54,820,0,0,22-03 22:13:34,0,0,0,0
56,874,54,820,0,0,22-03 22:13:35,0,0,0,0
56,874,54,820,0,0,22-03 22:13:36,0,0,0,0
56,874,54,820,0,0,22-03 22:13:37,0,34,0,0
56,874,54,820,0,0,22-03 22:13:38,0,588,0,0
56,874,54,820,0,0,22-03 22:13:39,0,0,0,0
56,874,54,820,0,0,22-03 22:13:40,0,0,0,0
56,874,54,820,0,0,22-03 22:13:41,0,0,0,0
56,874,54,820,0,0,22-03 22:13:42,0,16,0,0
56,874,54,820,0,0,22-03 22:13:43,0,0,0,0
56,874,54,820,0,0,22-03 22:13:44,0,0,0,0
56,874,54,820,0,0,22-03 22:13:45,0,0,0,0
56,874,54,820,0,0,22-03 22:13:46,0,0,0,0
56,874,54,820,0,0,22-03 22:13:47,0,28,0,0
56,874,54,820,0,0,22-03 22:13:48,0,0,0,0
56,874,54,820,0,0,22-03 22:13:49,0,0,0,0
56,874,54,820,0,0,22-03 22:13:50,0,0,0,0
56,874,54,820,0,0,22-03 22:13:51,0,0,0,0
56,874,54,820,0,0,22-03 22:13:52,0,0,0,0
56,874,54,820,0,0,22-03 22:13:53,0,30,0,0
56,874,54,820,0,0,22-03 22:13:54,0,0,0,0
56,874,54,820,0,0,22-03 22:13:55,0,0,0,0
56,874,54,820,0,0,22-03 22:13:56,0,0,0,0
56,874,54,820,0,0,22-03 22:13:57,0,0,0,0
56,874,54,820,0,0,22-03 22:13:58,0,24,0,0
56,874,54,820,0,0,22-03 22:13:59,8,632,0,0
56,874,54,820,0,0,22-03 22:14:00,0,0,0,0
56,874,54,820,0,0,22-03 22:14:01,0,0,0,0
56,874,54,820,0,0,22-03 22:14:02,0,30,0,0
56,874,54,820,0,0,22-03 22:14:03,0,0,0,0
56,874,54,820,0,0,22-03 22:14:04,0,0,0,0
56,874,54,820,0,0,22-03 22:14:05,0,0,0,0
56,874,54,820,0,0,22-03 22:14:06,0,0,0,0
56,874,54,820,0,0,22-03 22:14:07,0,16,0,0
56,874,54,820,0,0,22-03 22:14:08,0,0,0,0
56,874,54,820,0,0,22-03 22:14:09,0,44,0,0
56,874,54,820,0,0,22-03 22:14:10,0,36,0,0
56,874,54,820,0,0,22-03 22:14:11,0,0,0,0
56,874,54,820,0,0,22-03 22:14:12,0,0,0,0
