"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/unix_vm-adv_fs_proc.csv --unix --vm-adv --fs --proc 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"unix sockets",,,,"advanced virtual memory",,,,,"filesystem",,"procs",,
"dgm","str","lis","act","steal","scanK","scanD","pgoru","astll","files","inodes","run","blk","new"
56,876,54,822,10.938,0,0,0.004,0,12896,346055,14,0,12.451
56,874,54,820,0,0,0,0,0,13056,346156,1,0,0
56,874,54,820,0,0,0,0,0,13056,346157,1,0,0
56,874,54,820,0,0,0,0,0,13056,346204,1,0,8
56,874,54,820,0,0,0,0,0,13088,346214,4,0,8
56,874,54,820,0,0,0,0,0,13088,346214,1,0,0
56,874,54,820,0,0,0,0,0,13088,346216,1,0,0
56,874,54,820,0,0,0,0,0,13088,346245,6,0,1
56,874,54,820,0,0,0,0,0,13120,346285,2,0,8
56,874,54,820,0,0,0,0,0,13088,346290,1,0,8
56,874,54,820,0,0,0,0,0,13088,345102,1,0,0
56,874,54,820,0,0,0,0,0,13088,345099,1,0,0
56,874,54,820,0,0,0,0,0,13088,345110,3,0,0
56,874,54,820,0,0,0,0,0,13088,345109,1,0,8
56,874,54,820,0,0,0,0,0,13184,345137,1,0,8
56,874,54,820,0,0,0,0,0,13184,345138,0,0,0
56,874,54,820,0,0,0,0,0,13216,345184,2,0,0
56,874,54,820,0,0,0,0,0,13216,345184,1,0,0
56,874,54,820,0,0,0,0,0,13216,345184,3,0,8
56,874,54,820,0,0,0,0,0,13184,345192,1,0,9
56,874,54,820,0,0,0,0,0,13184,345192,1,0,0
56,874,54,820,0,0,0,0,0,13184,345220,1,0,0
56,874,54,820,0,0,0,0,0,13184,345221,4,0,0
56,874,54,820,0,0,0,0,0,13184,345261,2,1,8
56,874,54,820,0,0,0,0,0,13216,345266,1,0,8
56,874,54,820,0,0,0,0,0,13216,345266,2,0,0
56,874,54,820,0,0,0,0,0,13216,345267,1,0,0
56,874,54,820,0,0,0,0,0,13216,345277,1,0,0
56,874,54,820,0,0,0,0,0,13216,345304,1,0,8
56,874,54,820,0,0,0,0,0,13216,345304,1,0,8
56,874,54,820,0,0,0,0,0,13216,345304,2,0,0
56,874,54,820,0,0,0,0,0,13184,345350,4,0,1
56,874,54,820,0,0,0,0,0,13184,345350,1,0,0
56,874,54,820,0,0,0,0,0,13184,345352,1,0,8
56,874,54,820,0,0,0,0,0,13184,345370,4,0,8
56,874,54,820,0,0,0,0,0,13184,345398,3,0,0
56,874,54,820,0,0,0,0,0,13184,345398,1,0,0
56,874,54,820,0,0,0,0,0,13184,345399,1,0,0
56,874,54,820,0,0,0,0,0,13184,345407,20,0,8
56,874,54,820,0,0,0,0,0,13184,345442,2,0,8
56,874,54,820,0,0,0,0,0,13184,345443,0,0,0
56,874,54,820,0,0,0,0,0,13184,345443,1,0,0
56,874,54,820,0,0,0,0,0,13184,345481,2,0,0
56,874,54,820,0,0,0,0,0,13184,345481,3,0,8
56,874,54,820,0,0,0,0,0,13184,345481,0,0,9
56,874,54,820,0,0,0,0,0,13184,345412,2,0,0
56,874,54,820,0,0,0,0,0,13184,345459,1,0,0
56,874,54,820,0,0,0,0,0,13184,345459,2,0,0
56,874,54,820,0,0,0,0,0,13216,345459,1,0,8
56,874,54,820,0,0,0,0,0,13184,345504,2,0,14
56,874,54,820,0,0,0,0,0,13184,345498,1,0,4
56,874,54,820,0,0,0,0,0,13184,345498,1,0,0
56,874,54,820,0,0,0,0,0,13184,345499,1,0,0
56,874,54,820,0,0,0,0,0,13184,345497,2,0,8
56,874,54,820,0,0,0,0,0,13184,344423,2,0,0
56,874,54,820,0,0,0,0,0,13184,344423,2,0,8
56,874,54,820,0,0,0,0,0,13184,344451,2,0,1
56,874,54,820,0,0,0,0,0,13184,344461,2,0,0
56,874,54,820,0,0,0,0,0,13184,344461,5,0,8
56,874,54,820,0,0,0,0,0,13184,344461,1,0,0
56,874,54,820,0,0,0,0,0,13152,344461,1,0,8
56,874,54,820,0,0,0,0,0,13184,344508,2,0,0
56,874,54,820,0,0,0,0,0,13152,344509,2,0,0
56,874,54,820,0,0,0,0,0,13120,344536,2,0,8
56,874,54,820,0,0,0,0,0,13120,344544,2,0,0
56,874,54,820,0,0,0,0,0,13120,344545,1,0,8
56,874,54,820,0,0,0,0,0,13120,344545,1,0,0
56,874,54,820,0,0,0,0,0,13120,344545,1,0,0
56,874,54,820,0,0,0,0,0,13120,344545,2,0,9
56,874,54,820,0,0,0,0,0,13120,344591,1,0,0
56,874,54,820,0,0,0,0,0,13120,344619,3,0,8
56,874,54,820,0,0,0,0,0,13120,344621,0,0,0
56,874,54,820,0,0,0,0,0,13120,344640,1,0,0
56,874,54,820,0,0,0,0,0,13120,344639,0,0,8
56,874,54,820,0,0,0,0,0,13120,344638,2,0,0
56,874,54,820,0,0,0,0,0,13120,344640,1,0,8
56,874,54,820,0,0,0,0,0,13152,344698,0,0,0
56,874,54,820,0,0,0,0,0,13152,344727,0,0,0
56,874,54,820,0,0,0,0,0,13152,344728,1,0,8
56,874,54,820,0,0,0,0,0,13184,344736,1,0,26
56,874,54,820,0,0,0,0,0,13184,344668,3,0,9
56,874,54,820,0,0,0,0,0,13184,344668,3,0,0
56,874,54,820,0,0,0,0,0,13184,344668,1,0,1
56,874,54,820,0,0,0,0,0,13184,344592,1,0,11
56,874,54,820,0,0,0,0,0,13152,344667,1,0,0
56,874,54,820,0,0,0,0,0,13152,344668,3,0,10
56,874,54,820,0,0,0,0,0,13152,344668,1,0,14
56,874,54,820,0,0,0,0,0,13152,344677,5,0,0
56,874,54,820,0,0,0,0,0,13152,344676,3,0,8
56,874,54,820,0,0,0,0,0,13152,344676,1,0,0
56,874,54,820,0,0,0,0,0,13152,344675,3,0,8
56,874,54,820,0,0,0,0,0,13152,344749,5,0,2
56,874,54,820,0,0,0,0,0,13152,344751,1,0,1
56,874,54,820,0,0,0,0,0,13152,344750,0,0,9
56,874,54,820,0,0,0,0,0,13152,344766,4,0,11
56,874,54,820,0,0,0,0,0,13152,344762,3,0,12
56,874,54,820,0,0,0,0,0,13152,344761,3,0,0
56,874,54,820,0,0,0,0,0,13152,344760,6,0,0
56,874,54,820,0,0,0,0,0,13152,344786,2,0,1
56,874,54,820,0,0,0,0,0,13152,344834,2,0,7
56,874,54,820,0,0,0,0,0,13152,344836,2,0,8
56,874,54,820,0,0,0,0,0,13152,343716,1,0,0
56,874,54,820,0,0,0,0,0,13152,343726,2,0,0
56,874,54,820,0,0,0,0,0,13152,343726,1,0,0
56,874,54,820,0,0,0,0,0,13152,343727,2,0,8
56,874,54,820,0,0,0,0,0,13152,343756,5,0,9
56,874,54,820,0,0,0,0,0,13152,343800,3,0,0
56,874,54,820,0,0,0,0,0,13152,343800,6,0,0
56,874,54,820,0,0,0,0,0,13152,343799,6,0,0
56,874,54,820,0,0,0,0,0,13184,343818,1,0,19
56,874,54,820,0,0,0,0,0,13184,343819,1,0,8
56,874,54,820,0,0,0,0,0,13184,343819,1,0,0
56,874,54,820,0,0,0,0,0,13184,343847,1,0,0
56,874,54,820,0,0,0,0,0,13184,343847,1,0,0
56,874,54,820,0,0,0,0,0,13184,343893,2,0,9
56,874,54,820,0,0,0,0,0,13184,343825,2,0,11
56,874,54,820,0,0,0,0,0,13184,343826,5,0,0
56,874,54,820,0,0,0,0,0,13184,343963,4,0,1
56,874,54,820,0,0,0,0,0,13184,343963,0,0,0
56,874,54,820,0,0,0,0,0,13184,343983,2,0,32
56,874,54,820,0,0,0,0,0,13152,343978,5,0,8
56,874,54,820,0,0,0,0,0,13152,344025,1,0,0
56,874,54,820,0,0,0,0,0,13152,344024,1,0,0
56,874,54,820,0,0,0,0,0,13152,344029,3,0,0
56,874,54,820,0,0,0,0,0,13152,344027,2,0,8
56,874,54,820,0,0,0,0,0,13152,344037,5,0,8
56,874,54,820,0,0,0,0,0,13152,344068,1,0,0
56,874,54,820,0,0,0,0,0,13152,344069,2,0,0
56,874,54,820,0,0,0,0,0,13152,344069,1,0,0
56,874,54,820,0,0,0,0,0,13184,344113,3,0,9
56,874,54,820,0,0,0,0,0,13184,344114,0,0,8
56,874,54,820,0,0,0,0,0,13184,344112,0,0,0
56,874,54,820,0,0,0,0,0,13184,344122,1,0,0
56,874,54,820,0,0,0,0,0,13184,344150,3,0,0
56,874,54,820,0,0,0,0,0,13184,344150,1,0,8
56,874,54,820,0,0,0,0,0,13184,344150,1,0,8
56,874,54,820,0,0,0,0,0,13184,344196,0,0,0
56,874,54,820,0,0,0,0,0,13184,344195,1,0,0
56,874,54,820,0,0,0,0,0,13184,344196,0,0,0
