"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/vm.csv --time --vm 1 600",,,,"Date:","22 Mar 2023 22:03:09 -03"
"system","virtual memory",,,
"time","majpf","minpf","alloc","free"
22-03 22:03:09,0.295,4089.664,4483.092,4533.851
22-03 22:03:10,0,521543,413430,407170
22-03 22:03:11,0,545113,425576,426343
22-03 22:03:12,0,551274,423788,435337
22-03 22:03:13,0,553471,415384,413401
22-03 22:03:14,0,520868,412027,402029
22-03 22:03:15,0,452876,359846,347582
22-03 22:03:16,0,405604,325924,351551
22-03 22:03:17,0,338481,287670,308303
22-03 22:03:18,0,349890,306168,313129
22-03 22:03:19,0,148738,156198,172928
22-03 22:03:20,0,89599,96303,136046
22-03 22:03:21,0,879,803,27001
22-03 22:03:22,0,1496,2026,9729
22-03 22:03:23,0,451,1585,1883
22-03 22:03:24,0,108,255,393
22-03 22:03:25,0,2034,2026,1758
22-03 22:03:26,0,6,398,277
22-03 22:03:27,0,1287,1551,1407
22-03 22:03:28,0,481,1000,1698
22-03 22:03:29,0,252,251,481
22-03 22:03:30,0,1549,1780,1500
22-03 22:03:31,0,17,251,246
22-03 22:03:32,0,1667,1589,1593
22-03 22:03:33,0,282,1842,1559
22-03 22:03:34,0,4,144,122
22-03 22:03:35,0,1312,1610,1862
22-03 22:03:36,0,119,352,55424
22-03 22:03:37,0,1718,1732,1661
22-03 22:03:38,0,5,2954,2946
22-03 22:03:39,0,1435,2119,694
22-03 22:03:40,0,1381,1545,1428
22-03 22:03:41,0,251,402,778
22-03 22:03:42,0,1296,1566,1408
22-03 22:03:43,0,7,1086,1073
22-03 22:03:44,0,97,267,426
22-03 22:03:45,0,2188,1728,1526
22-03 22:03:46,0,120,648,368
22-03 22:03:47,0,1273,1459,1466
22-03 22:03:48,0,118,1472,1716
22-03 22:03:49,0,253,99,93
22-03 22:03:50,0,164,257,390
22-03 22:03:51,0,1136,1626,1478
22-03 22:03:52,0,3358,17382,44658
22-03 22:03:53,0,51159,59107,6466
22-03 22:03:54,0,30,1639,1883
22-03 22:03:55,0,8,245,241
22-03 22:03:56,0,1381,1426,1603
22-03 22:03:57,0,2031,2053,2028
22-03 22:03:58,0,3,109,121
22-03 22:03:59,0,56,601,558
22-03 22:04:00,0,544,650,881
22-03 22:04:01,0,1296,1411,1777
22-03 22:04:02,0,2402,2186,1813
22-03 22:04:03,0,688,817,1153
22-03 22:04:04,0,92,302,565
22-03 22:04:05,0,3,118,243
22-03 22:04:06,0,1583,1822,1399
22-03 22:04:07,0,208,325,603
22-03 22:04:08,0,1517,1787,1728
22-03 22:04:09,0,331,368,355
22-03 22:04:10,0,252,245,242
22-03 22:04:11,0,1311,1402,1404
22-03 22:04:12,0,117,402,276
22-03 22:04:13,0,1278,1538,1362
22-03 22:04:14,0,1948,2691,2239
22-03 22:04:15,0,419,702,454
22-03 22:04:16,0,1389,1395,1539
22-03 22:04:17,0,34,286,130
22-03 22:04:18,0,1540,1405,1375
22-03 22:04:19,0,7,798,542
22-03 22:04:20,0,93,146,174
22-03 22:04:21,0,1838,1829,4175
22-03 22:04:22,0,261,111,349
22-03 22:04:23,0,1463,1758,1574
22-03 22:04:24,0,116,1880,28217
22-03 22:04:25,0,16,449,304
22-03 22:04:26,0,1552,1576,1664
22-03 22:04:27,0,6,116,498
22-03 22:04:28,0,1362,1547,1578
22-03 22:04:29,0,3,312,444
22-03 22:04:30,0,404,479,204
22-03 22:04:31,0,1302,1444,1412
22-03 22:04:32,0,94,518,275
22-03 22:04:33,0,1291,1424,1642
22-03 22:04:34,0,556,376,375
22-03 22:04:35,0,8,197,188
22-03 22:04:36,0,1423,1616,1607
22-03 22:04:37,0,5,108,100
22-03 22:04:38,0,54352,76373,85889
22-03 22:04:39,0,6,245,113
22-03 22:04:40,0,93,169,710
22-03 22:04:41,0,1327,1894,1762
22-03 22:04:42,0,503,357,100
22-03 22:04:43,0,1273,1527,1528
22-03 22:04:44,0,4241,5092,2456
22-03 22:04:45,0,1248,4499,2799
22-03 22:04:46,0,2015,1551,1544
22-03 22:04:47,0,6,473,724
22-03 22:04:48,0,1388,1423,1661
22-03 22:04:49,0,1004,1441,487
22-03 22:04:50,0,252,277,142
22-03 22:04:51,0,1295,1406,1564
22-03 22:04:52,0,97,597,257
22-03 22:04:53,0,2272,2440,1663
22-03 22:04:54,0,276,267,240
22-03 22:04:55,0,9,145,136
22-03 22:04:56,0,1584,1777,1729
