"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/vm_net_int_load_io_vm-adv_unix_udp_swap_fs.csv --vm --net --int --load --io --vm-adv --unix --udp --swap --fs 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"virtual memory",,,,"net/total",,"interrupts",,,"load avg",,,"io/total",,"advanced virtual memory",,,,,"unix sockets",,,,"udp",,"swap",,"filesystem",
"majpf","minpf","alloc","free","recv","send","138","139","140","1m","5m","15m","read","writ","steal","scanK","scanD","pgoru","astll","dgm","str","lis","act","lis","act","used","free","files","inodes"
0.293,4123.078,4509.119,4562.805,0,0,0.000,43.105,0.023,0.470,2.120,2.910,5.210,36.480,10.938,0,0,0.004,0,56,876,54,822,17,7,1835008,1021571072,12992,346113
0,5882,7073,2262,345,172,0,20,0,0.470,2.120,2.910,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13056,346156
0,19,310,167,78,464,0,18,0,0.470,2.120,2.910,0,18,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13056,346157
0,1308,1630,1508,0,0,0,15,0,0.430,2.080,2.890,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13056,346204
0,1983,1743,1398,434,1224,0,19,0,0.430,2.080,2.890,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13088,346215
0,27,149,380,16963,4790,0,38,0,0.430,2.080,2.890,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13088,346214
0,7,114,112,167,1107,0,33,0,0.430,2.080,2.890,0,0,0,0,0,0,0,56,874,54,820,20,7,1835008,1021571072,13088,346217
0,1758,1870,1022,0,1278,0,18,0,0.430,2.080,2.890,0,22,0,0,0,0,0,56,874,54,820,20,7,1835008,1021571072,13088,346245
0,6583,7334,2224,0,920,0,15,0,0.470,2.060,2.880,0,0,0,0,0,0,0,56,874,54,820,20,7,1835008,1021571072,13088,346290
0,1285,1366,1342,0,920,0,16,0,0.470,2.060,2.880,0,0,0,0,0,0,0,56,874,54,820,20,7,1835008,1021571072,13088,346290
0,27,1141,3312,0,0,0,15,0,0.470,2.060,2.880,0,514,0,0,0,0,0,56,874,54,820,20,7,1835008,1021571072,13088,345102
0,55,120,218,201,0,0,16,0,0.470,2.060,2.880,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13088,345099
0,378,280,79,0,358,0,34,0,0.470,2.060,2.880,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13088,345110
0,1288,1591,1709,167,187,0,16,0,0.440,2.030,2.870,0,20,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13088,345109
0,1702,2136,3090,0,0,0,14,0,0.440,2.030,2.870,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345137
0,24,142,418,298,1707,0,18,0,0.440,2.030,2.870,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345138
0,5198,5993,1258,16923,4233,0,33,0,0.440,2.030,2.870,0,0,0,0,0,0,0,56,876,54,822,17,7,1835008,1021571072,13216,345187
0,38,90,101,167,259,0,16,0,0.440,2.030,2.870,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,345184
0,1304,1384,1373,229,545,0,33,0,0.400,1.990,2.850,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,345184
0,2002,1838,1808,548,537,0,22,0,0.400,1.990,2.850,0,16,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345192
0,349,94,110,0,0,0,15,0,0.400,1.990,2.850,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345192
0,1087,1483,421,0,0,0,14,0,0.400,1.990,2.850,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345220
0,7,213,79,424,0,0,21,0,0.400,1.990,2.850,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345221
0,6595,7726,4679,0,358,0,16,0,0.370,1.960,2.840,0,34,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345266
0,1660,1470,1421,1249,3192,0,39,0,0.370,1.960,2.840,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,345266
0,3,1284,1630,30242,2814,0,29,0,0.370,1.960,2.840,0,588,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,345266
0,7,193,1382,298,1707,0,21,0,0.370,1.960,2.840,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,345267
0,130,195,178,16923,4193,0,33,0,0.370,1.960,2.840,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,345277
0,2328,2405,1602,0,358,0,16,0,0.340,1.930,2.820,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,345304
0,1271,1457,1584,167,187,0,16,0,0.340,1.930,2.820,0,16,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,345304
0,31,101,248,0,0,0,34,0,0.340,1.930,2.820,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,345304
0,3392,4112,2996,0,0,0,15,0,0.340,1.930,2.820,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345350
0,327,266,130,407,187,0,19,0,0.340,1.930,2.820,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345352
0,1320,1652,1490,167,187,0,17,0,0.390,1.910,2.810,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345352
0,3222,4900,4564,0,358,0,16,0,0.390,1.910,2.810,0,28,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345370
0,482,868,842,0,0,0,14,0,0.390,1.910,2.810,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345398
0,347,116,85,0,0,0,39,0,0.390,1.910,2.810,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345398
0,22,161,355,1526,3258,0,24,0,0.390,1.910,2.810,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345399
0,2050,3083,5066,11779,2182,0,23,0,0.520,1.910,2.810,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345443
0,1297,1509,2449,698,358,0,20,0,0.520,1.910,2.810,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345443
0,320,85,144,7158,1318,0,23,0,0.520,1.910,2.810,0,30,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345443
0,3,74,70,0,0,0,15,0,0.520,1.910,2.810,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345443
0,2250,2858,1906,86,106,0,41,0,0.520,1.910,2.810,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345482
0,1624,1515,1649,0,0,0,14,0,0.560,1.900,2.800,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345481
0,1594,1348,1341,167,187,0,17,0,0.560,1.900,2.800,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345481
0,28,125,266,0,0,0,15,0,0.560,1.900,2.800,0,24,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345412
0,5010,7655,2696,0,0,0,12,0,0.560,1.900,2.800,8,632,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345459
0,25,141,1360,1066,836,0,24,0,0.560,1.900,2.800,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345459
0,1747,1450,1402,106,0,0,35,0,0.600,1.880,2.790,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,345459
0,4810,5146,2944,82,0,0,15,0,0.600,1.880,2.790,0,30,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345497
0,22,128,128,12623,4764,0,32,0,0.600,1.880,2.790,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345498
0,23,77,96,4598,1238,0,22,0,0.600,1.880,2.790,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345498
0,321,217,99,0,0,0,14,0,0.600,1.880,2.790,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,345499
0,4251,5003,2171,167,187,0,18,0,0.630,1.870,2.780,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,345538
0,1079,1482,8214,0,0,0,35,0,0.630,1.870,2.780,0,16,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,344428
0,951,1108,1204,0,0,0,12,0,0.630,1.870,2.780,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,344423
0,1206,1235,2986,0,0,0,13,0,0.630,1.870,2.780,0,44,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,344451
