"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/zones.csv --time --zones 1 600",,,,"Date:","23 Mar 2023 13:54:36 -03"
"system","zones memory",,,
"time","d32F","d32H","normF","normH"
23-03 13:54:36,159767,3141,483744,22688
23-03 13:54:37,159767,3141,483737,22688
23-03 13:54:38,159767,3141,488990,22688
23-03 13:54:39,159767,3141,486757,22688
23-03 13:54:40,159767,3141,486844,22688
23-03 13:54:41,159767,3141,487495,22688
23-03 13:54:42,159767,3141,487722,22688
23-03 13:54:43,159767,3141,487736,22688
23-03 13:54:44,159767,3141,487708,22688
23-03 13:54:45,159767,3141,488529,22688
23-03 13:54:46,159767,3141,488305,22688
23-03 13:54:47,159767,3141,488263,22688
23-03 13:54:48,159767,3141,507955,22688
23-03 13:54:49,159767,3141,507678,22688
23-03 13:54:50,159767,3141,510015,22688
23-03 13:54:51,159767,3141,509989,22688
23-03 13:54:52,159767,3141,509820,22688
23-03 13:54:53,159767,3141,509652,22688
23-03 13:54:54,159767,3141,505959,22688
23-03 13:54:55,159767,3141,505550,22688
23-03 13:54:56,159767,3141,505536,22688
23-03 13:54:57,159767,3141,476117,22688
23-03 13:54:58,159767,3141,476008,22688
23-03 13:54:59,159767,3141,479620,22688
23-03 13:55:00,159767,3141,478949,22688
23-03 13:55:01,159767,3141,478284,22688
23-03 13:55:02,159767,3141,475241,22688
23-03 13:55:03,159767,3141,474947,22688
23-03 13:55:04,159767,3141,474716,22688
23-03 13:55:05,159767,3141,474376,22688
23-03 13:55:06,159767,3141,478194,22688
23-03 13:55:07,159767,3141,477958,22688
23-03 13:55:08,159767,3141,477612,22688
23-03 13:55:09,159767,3141,471721,22688
23-03 13:55:10,159767,3141,472207,22688
23-03 13:55:11,159767,3141,472035,22688
23-03 13:55:12,159767,3141,472743,22688
23-03 13:55:13,159767,3141,472575,22688
23-03 13:55:14,159767,3141,472288,22688
23-03 13:55:15,159767,3141,466072,22688
23-03 13:55:16,159767,3141,503972,22688
23-03 13:55:17,159767,3141,501411,22688
23-03 13:55:18,159767,3141,501187,22688
23-03 13:55:19,159767,3141,500774,22688
23-03 13:55:20,159767,3141,499549,22688
