"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/zones_cpu_disk_swap_unix_tcp_sys_int_lock.csv --zones --cpu --disk --swap --unix --tcp --sys --int --lock 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"zones memory",,,,"total cpu usage",,,,,"dsk/total",,"swap",,"unix sockets",,,,"tcp sockets",,,,,"system",,"interrupts",,,"file locks",,,
"d32F","d32H","normF","normH","usr","sys","idl","wai","stl","read","writ","used","free","dgm","str","lis","act","lis","act","syn","tim","clo","int","csw","138","139","140","pos","lck","rea","wri"
159767,3141,498690,22688,4.312,1.589,94.001,0.097,0,119995.742,1061308.578,108527616,914878464,56,981,55,926,7,18,0,7,2,1469.266,6205.188,0.000,44.063,0.018,83,12,13,82
159767,3141,507026,22688,10.323,4.229,85.323,0.124,0,0,0,108527616,914878464,56,981,55,926,7,18,0,7,2,2808,8206,0,128,0,83,12,13,82
159767,3141,506789,22688,8.081,2.904,88.889,0.126,0,122880,0,108527616,914878464,56,981,55,926,7,18,0,7,2,2670,6560,0,128,0,83,12,13,82
159767,3141,506299,22688,12.657,3.008,84.211,0.125,0,0,4743168,108527616,914878464,56,981,55,926,7,18,0,7,2,2665,6040,0,153,0,83,12,13,82
159767,3141,506012,22688,7.935,2.393,89.673,0,0,0,0,108527616,914878464,56,981,55,926,7,18,0,7,2,2593,5602,0,117,0,83,12,13,82
159767,3141,505909,22688,9.080,2.736,88.060,0.124,0,0,0,108527616,914878464,56,981,55,926,7,18,0,7,2,2415,5584,0,118,0,83,12,13,82
159767,3141,506257,22688,8.470,2.781,88.748,0,0,0,0,108527616,914878464,56,981,55,926,7,18,0,6,2,2597,6965,0,115,0,83,12,13,82
159767,3141,502183,22688,8.842,3.611,87.298,0.249,0,0,0,108527616,914878464,56,981,55,926,7,18,0,6,2,2535,7235,0,113,0,83,12,13,82
159767,3141,506726,22688,8.761,3.379,87.610,0.250,0,0,5120000,108527616,914878464,56,981,55,926,7,18,0,6,2,2558,6092,0,124,0,83,12,13,82
