"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/zones_udp_unix_io_cpu_load_int.csv --zones --udp --unix --io --cpu --load --int 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"zones memory",,,,"udp",,"unix sockets",,,,"io/total",,"total cpu usage",,,,,"load avg",,,"interrupts",,
"d32F","d32H","normF","normH","lis","act","dgm","str","lis","act","read","writ","usr","sys","idl","wai","stl","1m","5m","15m","138","139","140"
159767,3141,496016,22688,25,14,56,981,55,926,5.479,48.513,4.312,1.589,94.001,0.097,0,1.860,1.150,1.110,0.000,44.063,0.018
159767,3141,507151,22688,25,14,56,981,55,926,0,0,11.510,4.332,84.035,0.124,0,1.710,1.130,1.100,0,128,0
159767,3141,506789,22688,25,14,56,981,55,926,6,0,7.868,3.046,88.959,0.127,0,1.710,1.130,1.100,0,127,0
159767,3141,506299,22688,25,14,56,981,55,926,0,114,12.750,3,84.125,0.125,0,1.710,1.130,1.100,0,154,0
159767,3141,506012,22688,25,14,56,981,55,926,0,0,7.828,2.273,89.899,0,0,1.710,1.130,1.100,0,117,0
159767,3141,505909,22688,25,14,56,981,55,926,0,0,8.989,2.747,88.140,0.125,0,1.710,1.130,1.100,0,117,0
159767,3141,506127,22688,25,14,56,981,55,926,0,0,8.636,2.753,88.611,0,0,1.740,1.150,1.110,0,118,0
159767,3141,502183,22688,25,14,56,981,55,926,0,0,8.614,3.620,87.516,0.250,0,1.740,1.150,1.110,0,111,0
159767,3141,506726,22688,25,14,56,981,55,926,0,124,8.864,3.496,87.391,0.250,0,1.740,1.150,1.110,0,125,0
159767,3141,506570,22688,25,14,56,981,55,926,0,0,8.864,3.246,87.765,0.125,0,1.740,1.150,1.110,0,148,0
159767,3141,504276,22688,25,14,56,981,55,926,0,34,8.228,4.177,87.468,0.127,0,1.740,1.150,1.110,0,151,0
159767,3141,503718,22688,25,14,56,981,55,926,0,0,9.476,3.242,87.282,0,0,1.600,1.130,1.100,0,171,0
159767,3141,503689,22688,25,14,56,981,55,926,0,0,7.895,2.757,89.223,0.125,0,1.600,1.130,1.100,0,122,0
159767,3141,503767,22688,25,14,56,981,55,926,0,901,9.273,3.008,87.594,0.125,0,1.600,1.130,1.100,0,117,0
159767,3141,506084,22688,25,14,56,981,55,926,0,785,9.193,3.354,87.453,0,0,1.600,1.130,1.100,0,120,0
159767,3141,508633,22688,25,14,56,981,55,926,0,14,8.271,3.133,88.471,0.125,0,1.600,1.130,1.100,0,160,0
159767,3141,508289,22688,25,14,56,981,55,926,0,0,8.772,2.882,88.346,0,0,1.550,1.120,1.100,0,119,0
159767,3141,508187,22688,25,14,56,981,55,926,0,30,8.944,3.354,87.453,0.248,0,1.550,1.120,1.100,0,121,0
159767,3141,509926,22688,25,17,56,981,55,926,0,60,8.438,3.652,87.783,0.126,0,1.550,1.120,1.100,0,123,0
159767,3141,508396,22688,25,15,56,981,55,926,0,152,9.023,2.843,88.010,0.124,0,1.550,1.120,1.100,0,155,0
159767,3141,504956,22688,25,15,56,981,55,926,0,22,9.826,4.229,85.821,0.124,0,1.550,1.120,1.100,0,112,0
159767,3141,503785,22688,25,15,56,981,55,926,10,0,10.161,4.089,85.626,0.124,0,1.430,1.110,1.090,0,176,0
159767,3141,498430,22688,25,15,56,981,55,926,0,0,9.363,2.996,87.640,0,0,1.430,1.110,1.090,0,119,0
159767,3141,504490,22688,25,15,56,981,55,926,0,0,8.593,2.740,88.543,0.125,0,1.430,1.110,1.090,0,121,0
159767,3141,504003,22688,25,15,56,981,55,926,0,306,8.853,2.618,88.529,0,0,1.430,1.110,1.090,0,118,0
159767,3141,503714,22688,25,15,56,981,55,926,0,22,9.305,2.978,87.593,0.124,0,1.430,1.110,1.090,0,122,0
159767,3141,503294,22688,25,15,56,981,55,926,0,0,9.158,3.342,87.376,0.124,0,1.390,1.100,1.090,0,113,0
159767,3141,502933,22688,25,15,56,981,55,926,0,0,9.023,2.506,88.471,0,0,1.390,1.100,1.090,0,159,0
159767,3141,502877,22688,25,15,56,981,55,926,0,0,9.804,2.328,87.745,0.123,0,1.390,1.100,1.090,0,117,0
159767,3141,499191,22688,25,15,56,981,55,926,0,538,9.701,3.358,86.816,0.124,0,1.390,1.100,1.090,0,117,0
159767,3141,498952,22688,25,15,56,983,55,928,0,0,9.506,3.333,87.160,0,0,1.390,1.100,1.090,0,117,0
159767,3141,498714,22688,25,15,56,983,55,928,0,0,9.227,2.868,87.781,0.125,0,1.440,1.120,1.100,0,112,0
159767,3141,498433,22688,25,15,56,983,55,928,0,0,9.068,3.727,87.205,0,0,1.440,1.120,1.100,0,145,0
159767,3141,498341,22688,25,15,56,983,55,928,0,0,9.926,2.854,86.973,0.248,0,1.440,1.120,1.100,0,155,0
159767,3141,498310,22688,25,15,56,983,55,928,0,108,9.158,2.970,87.129,0.743,0,1.440,1.120,1.100,0,119,0
159767,3141,498142,22688,25,15,56,983,55,928,0,0,10.025,2.723,87.252,0,0,1.440,1.120,1.100,0,117,0
159767,3141,499286,22688,25,15,56,983,55,928,0,0,8.728,2.743,88.404,0.125,0,1.400,1.120,1.100,0,119,0
159767,3141,499606,22688,25,15,56,983,55,928,0,0,9.340,3.362,87.298,0,0,1.400,1.120,1.100,0,119,0
159767,3141,499386,22688,25,15,56,983,55,928,0,0,8.712,2.525,88.636,0.126,0,1.400,1.120,1.100,0,120,0
159767,3141,499034,22688,25,15,56,983,55,928,0,116,10.316,2.791,86.165,0.728,0,1.400,1.120,1.100,0,153,0
159767,3141,492944,22688,25,15,56,983,55,928,0,0,9.877,3.210,86.790,0.123,0,1.400,1.120,1.100,0,139,0
159767,3141,492776,22688,25,15,56,983,55,928,0,0,8.250,3.250,88.500,0,0,1.290,1.100,1.090,0,120,0
159767,3141,492877,22688,25,15,56,983,55,928,0,0,10.891,3.465,85.520,0.124,0,1.290,1.100,1.090,0,135,0
159767,3141,496493,22688,25,15,56,983,55,928,0,0,9.348,3.198,87.208,0.246,0,1.290,1.100,1.090,0,150,0
159767,3141,500506,22688,25,15,56,983,55,928,0,34,9.068,3.230,86.957,0.745,0,1.290,1.100,1.090,0,116,0
159767,3141,500160,22688,25,15,56,983,55,928,0,0,9.963,2.952,86.962,0.123,0,1.290,1.100,1.090,0,156,0
159767,3141,500380,22688,25,15,56,983,55,928,0,0,9.606,2.833,87.562,0,0,1.270,1.100,1.090,0,119,0
159767,3141,500382,22688,25,15,56,985,55,930,0,0,8.889,3.827,87.160,0.123,0,1.270,1.100,1.090,0,132,0
159767,3141,500898,22688,25,14,56,983,55,928,0,66,12.576,3.663,83.516,0.244,0,1.270,1.100,1.090,0,135,0
159767,3141,509711,22688,25,14,56,983,55,928,0,84,9.780,4.156,86.064,0,0,1.270,1.100,1.090,0,119,0
159767,3141,509335,22688,25,14,56,981,55,926,0,40,10.675,3.436,85.767,0.123,0,1.270,1.100,1.090,0,115,0
159767,3141,513045,22688,25,14,56,981,55,926,0,0,9.988,3.620,86.267,0.125,0,1.250,1.090,1.090,0,182,0
159767,3141,511858,22688,25,14,56,981,55,926,0,0,11.165,4.005,84.830,0,0,1.250,1.090,1.090,0,119,0
159767,3141,511909,22688,25,14,56,981,55,926,0,0,10.370,3.457,86.049,0.123,0,1.250,1.090,1.090,0,138,0
159767,3141,511676,22688,25,14,56,981,55,926,0,440,8.571,3.975,87.081,0.373,0,1.250,1.090,1.090,0,127,0
159767,3141,511612,22688,25,14,56,981,55,926,0,30,9.902,3.423,86.553,0.122,0,1.250,1.090,1.090,0,120,0
159767,3141,511626,22688,25,14,56,981,55,926,0,0,9.804,3.309,86.887,0,0,1.710,1.190,1.120,0,123,0
159767,3141,510975,22688,25,14,56,981,55,926,0,0,9.890,3.663,86.325,0.122,0,1.710,1.190,1.120,0,158,0
159767,3141,506082,22688,25,14,56,981,55,926,0,0,10.625,3.375,86,0,0,1.710,1.190,1.120,0,116,0
159767,3141,505044,22688,25,14,56,981,55,926,0,0,10.513,3.545,85.819,0.122,0,1.710,1.190,1.120,0,118,0
159767,3141,504284,22688,25,14,56,981,55,926,0,296,9.271,3.337,87.268,0.124,0,1.710,1.190,1.120,0,115,0
159767,3141,504054,22688,25,14,56,981,55,926,0,0,9.577,3.607,86.816,0,0,1.570,1.170,1.110,0,114,0
159767,3141,503747,22688,25,14,56,981,55,926,0,0,9.158,3.907,86.813,0.122,0,1.570,1.170,1.110,0,118,0
159767,3141,503541,22688,25,14,56,981,55,926,0,0,10.161,3.222,86.617,0,0,1.570,1.170,1.110,0,166,0
159767,3141,503201,22688,25,14,56,981,55,926,0,0,9.741,3.329,86.806,0.123,0,1.570,1.170,1.110,0,166,0
159767,3141,503314,22688,25,14,56,981,55,926,0,390,9.406,3.342,87.005,0.248,0,1.570,1.170,1.110,0,114,0
159767,3141,503319,22688,25,14,56,981,55,926,0,32,9.571,3.681,86.626,0.123,0,1.440,1.150,1.110,0,118,0
159767,3141,498158,22688,25,14,56,981,55,926,0,0,9.413,4.523,85.941,0.122,0,1.440,1.150,1.110,0,123,0
159767,3141,493568,22688,25,14,56,985,55,930,0,0,11.794,3.686,84.521,0,0,1.440,1.150,1.110,0,130,0
159767,3141,493465,22688,25,14,56,985,55,930,0,0,9.741,2.836,87.300,0.123,0,1.440,1.150,1.110,0,152,0
159767,3141,486951,22688,25,14,56,985,55,930,0,88,9.889,2.967,86.774,0.371,0,1.440,1.150,1.110,0,132,0
159767,3141,488078,22688,25,14,56,985,55,930,0,16,8.924,3.790,87.164,0.122,0,1.330,1.130,1.100,0,131,0
159767,3141,488239,22688,25,14,56,985,55,930,0,0,9.542,3.717,86.617,0.124,0,1.330,1.130,1.100,0,136,0
159767,3141,498015,22688,25,14,56,985,55,930,0,0,9.670,3.672,86.659,0,0,1.330,1.130,1.100,0,118,0
159767,3141,493726,22688,25,15,56,985,55,930,0,0,10.260,3.956,85.661,0.124,0,1.330,1.130,1.100,0,154,0
159767,3141,486324,22688,25,16,56,999,55,944,0,58,12.915,5.658,81.181,0.246,0,1.330,1.130,1.100,0,198,0
159767,3141,478612,22688,25,17,56,999,55,944,0,378,17.466,4.182,77.737,0.615,0,1.300,1.130,1.100,0,155,0
159767,3141,481519,22688,25,17,56,999,55,944,0,0,9.023,4.203,86.650,0.124,0,1.300,1.130,1.100,0,132,0
159767,3141,481960,22688,25,17,56,999,55,944,0,122,9.926,3.676,86.152,0.245,0,1.300,1.130,1.100,0,125,0
159767,3141,479034,22688,25,17,56,999,55,944,0,170,14.007,3.898,81.851,0.244,0,1.300,1.130,1.100,0,149,0
159767,3141,479648,22688,25,17,56,999,55,944,0,44,10.316,3.398,86.165,0.121,0,1.300,1.130,1.100,0,116,0
159767,3141,484409,22688,25,17,56,999,55,944,0,0,10.366,4.634,84.878,0.122,0,1.440,1.160,1.110,0,157,0
159767,3141,483658,22688,25,17,56,999,55,944,0,0,9.582,4.177,86.241,0,0,1.440,1.160,1.110,0,114,0
