percentile,500.wrk
0.000000,9.535
0.100000,12.575
0.200000,13.175
0.300000,13.671
0.400000,14.135
0.500000,14.607
0.550000,14.887
0.600000,15.191
0.650000,15.511
0.700000,15.887
0.750000,16.399
0.775000,16.687
0.800000,17.055
0.825000,17.439
0.850000,17.951
0.875000,18.527
0.887500,18.863
0.900000,19.279
0.912500,19.807
0.925000,20.367
0.937500,20.991
0.943750,21.391
0.950000,21.823
0.956250,22.255
0.962500,22.751
0.968750,23.407
0.971875,23.775
0.975000,24.127
0.978125,24.559
0.981250,25.183
0.984375,25.791
0.985938,26.191
0.987500,26.655
0.989062,27.279
0.990625,28.079
0.992188,28.783
0.992969,29.103
0.993750,29.807
0.994531,30.319
0.995313,30.975
0.996094,31.519
0.996484,31.791
0.996875,33.087
0.997266,33.375
0.997656,34.463
0.998047,35.391
0.998242,36.479
0.998437,36.607
0.998633,38.495
0.998828,39.327
0.999023,41.023
0.999121,41.631
0.999219,43.135
0.999316,44.895
0.999414,44.895
0.999512,48.799
0.999561,48.799
0.999609,55.551
0.999658,55.551
0.999707,58.655
0.999756,58.655
0.999780,58.655
0.999805,60.959
0.999829,60.959
0.999854,60.959
0.999878,60.959
0.999890,60.959
0.999902,70.527
1.000000,70.527
